#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:72951-73136|+   -             62 29492                -             59   2.8e-27   92.2   3.4   1   1   4.8e-30     3e-27   92.1   3.4     1    56     1    56     1    59 0.94 NODE_6_length_183174_cov_88.861183_65 # 72951 # 73136 # 1 # ID=6_65;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_7_length_162800_cov_68.413407:42000-42245|+   -             82 29492                -             59     0.064   10.9   7.8   1   2   0.00025      0.16    9.7   3.0     8    29     4    25     2    47 0.77 NODE_7_length_162800_cov_68.413407_42 # 42000 # 42245 # 1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
NODE_7_length_162800_cov_68.413407:42000-42245|+   -             82 29492                -             59     0.064   10.9   7.8   2   2     0.018        11    3.8   0.2    34    51    58    75    55    80 0.75 NODE_7_length_162800_cov_68.413407_42 # 42000 # 42245 # 1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
NODE_2_length_304403_cov_65.784473:296512-296754|- -             81 29492                -             59      0.25    9.1  15.6   1   2   0.00046      0.28    8.9   4.6     7    27     3    23     2    41 0.85 NODE_2_length_304403_cov_65.784473_280 # 296512 # 296754 # -1 # ID=2_280;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_2_length_304403_cov_65.784473:296512-296754|- -             81 29492                -             59      0.25    9.1  15.6   2   2     0.098        60    1.4   7.1    34    51    57    75    27    79 0.64 NODE_2_length_304403_cov_65.784473_280 # 296512 # 296754 # -1 # ID=2_280;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_2_length_304403_cov_65.784473:291699-291941|- -             81 29492                -             59      0.26    9.0  16.1   1   2   0.00045      0.27    8.9   6.6     7    49     3    43     2    50 0.75 NODE_2_length_304403_cov_65.784473_272 # 291699 # 291941 # -1 # ID=2_272;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_304403_cov_65.784473:291699-291941|- -             81 29492                -             59      0.26    9.0  16.1   2   2      0.16     1e+02    0.7   7.7    33    51    57    75    29    79 0.72 NODE_2_length_304403_cov_65.784473_272 # 291699 # 291941 # -1 # ID=2_272;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_3_length_223274_cov_181.317177:52883-53131|-  -             83 29492                -             59       5.2    4.8  15.5   1   2    0.0056       3.4    5.4   5.2     8    27     4    23     2    49 0.81 NODE_3_length_223274_cov_181.317177_52 # 52883 # 53131 # -1 # ID=3_52;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_3_length_223274_cov_181.317177:52883-53131|-  -             83 29492                -             59       5.2    4.8  15.5   2   2      0.09        56    1.5   6.6    34    51    58    75    29    80 0.85 NODE_3_length_223274_cov_181.317177_52 # 52883 # 53131 # -1 # ID=3_52;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29492at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:16:58 2026
# [ok]
