#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 19779                -            467  2.3e-273  904.4   2.4   1   1  4.2e-276  2.6e-273  904.2   2.4     1   467     2   469     2   469 0.99 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 19779                -            467   1.5e-10   37.9   1.5   1   2   2.1e-11   1.3e-08   31.5   1.2    20   145     3   131     1   181 0.78 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 19779                -            467   1.5e-10   37.9   1.5   2   2    0.0033       2.1    4.5   0.0   266   297   306   337   298   470 0.69 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 19779                -            467   4.8e-10   36.3   0.5   1   3    0.0091       5.6    3.1   0.0    32   142    60   185    35   231 0.64 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 19779                -            467   4.8e-10   36.3   0.5   2   3   5.7e-11   3.5e-08   30.1   0.1   254   338   579   662   546   734 0.71 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 19779                -            467   4.8e-10   36.3   0.5   3   3      0.34   2.1e+02   -2.1   0.0   279   348   836   904   781   924 0.66 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 19779                -            467   5.3e-07   26.2   0.0   1   2      0.22   1.4e+02   -1.5   0.0    36   140    48   155    43   159 0.66 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 19779                -            467   5.3e-07   26.2   0.0   2   2   3.5e-09   2.1e-06   24.2   0.0   256   400   563   703   555   718 0.80 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 19779                -            467   1.7e-06   24.5   0.0   1   2       0.2   1.2e+02   -1.3   0.0    12    63    28    82    25   123 0.74 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 19779                -            467   1.7e-06   24.5   0.0   2   2   1.3e-08   7.8e-06   22.4   0.0   228   334   484   590   480   656 0.79 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19779at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/19779at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19779at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:16:41 2026
# [ok]
