ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	NODE_4_length_101830_cov_39.048283:19793-101830,NODE_128_length_1890_cov_31.050136:1-1890,NODE_67_length_9545_cov_35.344784:1-9545,NODE_137_length_1627_cov_88.714377:1627-1,NODE_44_length_19664_cov_36.992299:19664-1,NODE_129_length_1846_cov_34.289782:1-1846,NODE_110_length_2963_cov_35.254127:1-2963,NODE_36_length_23986_cov_34.471021:23986-1,NODE_38_length_23628_cov_35.195393:1-23628,NODE_26_length_34327_cov_44.144053:1-34327,NODE_109_length_3137_cov_37.311486:3137-1,NODE_25_length_34995_cov_34.880767:34995-1,NODE_143_length_1430_cov_26.994182:1430-1,NODE_95_length_4640_cov_32.138931:4640-1,NODE_134_length_1706_cov_32.893398:1-1706,NODE_66_length_10097_cov_32.714499:10097-1,NODE_183_length_535_cov_34.020833:1-535,NODE_77_length_7507_cov_32.367016:1-7507,NODE_81_length_6947_cov_31.135229:6947-1,NODE_40_length_20764_cov_33.573953:1-20764,NODE_54_length_14882_cov_35.020166:14882-1,NODE_42_length_20562_cov_34.293461:1-20562,NODE_19_length_49767_cov_34.796387:1-49767,NODE_51_length_15502_cov_33.356186:15502-1,NODE_32_length_28108_cov_33.161872:28108-1,NODE_12_length_78125_cov_33.572102:78125-1,NODE_7_length_86709_cov_33.100688:86709-1,NODE_33_length_26464_cov_31.883600:1-26464,NODE_2_length_109676_cov_33.984218:109676-1,NODE_182_length_545_cov_44.200000:545-1,NODE_184_length_534_cov_44.409186:534-1,NODE_151_length_1243_cov_70.395623:1-1243,NODE_130_length_1843_cov_63.401007:1843-1,NODE_59_length_13626_cov_32.416624:1-13626,NODE_73_length_8298_cov_42.905738:8298-1,NODE_166_length_751_cov_136.962644:751-1,NODE_170_length_701_cov_22.475232:701-1,NODE_1_length_114283_cov_31.103635:114283-1,NODE_29_length_31200_cov_30.116648:1-31200,NODE_148_length_1366_cov_175.423341:1366-1,NODE_28_length_32648_cov_29.742705:1-32648,NODE_6_length_99885_cov_29.307212:1-99885,NODE_189_length_504_cov_204.590200:1-504,NODE_22_length_43520_cov_30.536294:1-43520,NODE_62_length_11564_cov_29.703623:1-11564,NODE_18_length_49813_cov_28.127015:49813-1,NODE_27_length_32680_cov_27.796444:1-32680,NODE_60_length_13509_cov_28.953917:13509-1,NODE_144_length_1408_cov_19.941611:1408-1,NODE_153_length_1164_cov_23.688007:1164-1,NODE_141_length_1466_cov_88.443657:1466-1,NODE_113_length_2836_cov_24.729234:2836-1,NODE_145_length_1407_cov_170.153846:1-1407,NODE_41_length_20569_cov_30.148630:20569-1,NODE_117_length_2723_cov_64.175787:2723-1,NODE_108_length_3203_cov_28.981893:3203-1,NODE_114_length_2781_cov_63.063830:1-2781,NODE_84_length_6399_cov_26.085120:1-6399,NODE_72_length_8429_cov_27.915094:8429-1,NODE_53_length_15342_cov_25.132073:1-15342,NODE_50_length_15759_cov_27.340168:1-15759,NODE_147_length_1371_cov_26.648176:1371-1,NODE_88_length_5136_cov_26.487699:5136-1,NODE_160_length_988_cov_22.383708:1-988,NODE_52_length_15383_cov_27.136547:15383-1,NODE_165_length_763_cov_53.176554:1-763,NODE_87_length_5146_cov_26.061874:1-5146,NODE_179_length_576_cov_604.213052:576-1,NODE_70_length_9072_cov_27.069203:1-9072,NODE_175_length_592_cov_36.985102:1-592,NODE_187_length_513_cov_53.873362:1-513,NODE_48_length_16564_cov_27.910594:1-16564,NODE_186_length_519_cov_31.982759:519-1,NODE_155_length_1085_cov_35.802913:1-1085,NODE_159_length_1009_cov_24.606918:1009-1,NODE_176_length_589_cov_29.646067:1-589,NODE_10_length_83811_cov_29.795656:1-83811,NODE_8_length_86165_cov_28.227035:86165-1,NODE_57_length_14190_cov_27.549204:1-14190,NODE_76_length_7712_cov_25.731096:7712-1,NODE_24_length_38318_cov_25.692235:38318-1,NODE_3_length_106498_cov_28.709525:106498-1,NODE_23_length_43480_cov_29.402948:1-43480,NODE_68_length_9374_cov_26.562721:1-9374,NODE_58_length_13923_cov_28.107802:1-13923,NODE_34_length_25980_cov_30.418284:25980-1,NODE_158_length_1019_cov_274.173237:1-1019,NODE_5_length_100374_cov_29.640417:100374-1,NODE_11_length_80003_cov_31.743608:80003-1,NODE_15_length_55108_cov_29.376128:1-55108,NODE_122_length_2513_cov_27.766477:1-2513,NODE_43_length_19960_cov_28.697915:19960-1,NODE_55_length_14649_cov_31.139852:1-14649,NODE_116_length_2764_cov_30.359911:2764-1,NODE_63_length_11496_cov_31.110392:11496-1,NODE_20_length_45277_cov_34.462408:45277-1,NODE_79_length_7021_cov_30.596325:1-7021,NODE_61_length_12422_cov_26.478370:1-12422,NODE_37_length_23788_cov_33.341002:23788-1,NODE_181_length_549_cov_145.299595:549-1,NODE_90_length_4989_cov_69.316376:1-4989,NODE_45_length_18747_cov_36.225016:1-18747,NODE_97_length_4435_cov_38.848858:4435-1,NODE_46_length_18735_cov_33.806049:1-18735,NODE_47_length_17117_cov_34.327980:17117-1,NODE_31_length_29314_cov_34.815612:29314-1,NODE_14_length_56501_cov_33.217624:1-56501,NODE_104_length_3551_cov_206.191362:3551-1,NODE_9_length_85202_cov_37.123657:1-58889,NODE_9_length_85202_cov_37.123657:58890-85202,NODE_112_length_2886_cov_42.225009:1-2886,NODE_13_length_59599_cov_35.538241:59599-1,NODE_16_length_53957_cov_35.398816:53957-1,NODE_98_length_4330_cov_32.002573:4330-1,NODE_21_length_44893_cov_38.330769:44893-1,NODE_17_length_53451_cov_37.688722:1-53451,NODE_4_length_101830_cov_39.048283:1-19792
gene-EfmE745_RS00005		1	1335	complete	NODE_4_length_101830_cov_39.048283:19793-21127
gene-EfmE745_RS00010		1533	2663	complete	NODE_4_length_101830_cov_39.048283:21325-22455
gene-EfmE745_RS00015		2892	3134	complete	NODE_4_length_101830_cov_39.048283:22684-22926
gene-EfmE745_RS00020		3121	4245	complete	NODE_4_length_101830_cov_39.048283:22913-24037
gene-EfmE745_RS00025		4242	6188	complete	NODE_4_length_101830_cov_39.048283:24034-25980
gene-EfmE745_RS00030		6208	8679	complete	NODE_4_length_101830_cov_39.048283:26000-28471
gene-EfmE745_RS00035		8915	9214	complete	NODE_4_length_101830_cov_39.048283:28707-29006
gene-EfmE745_RS00040		9264	9776	complete	NODE_4_length_101830_cov_39.048283:29056-29568
