ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	tig00000028:1-8162,tig00000038:8-6196,tig00000030:12320-1,tig00000040:5732-1,tig00000037:12715-14293,tig00000020:1-5643,tig00000037:1-12714,tig00000017:7307-7,tig00000005:10447-15071,tig00000007:12922-3,tig00000025:8400-1,tig00000015:4-12681,tig00000009:1-9745,tig00000039:9965-1,tig00000004:9035-1,tig00000021:5023-1,tig00000024:3779-1,tig00000027:8839-24,tig00000019:13638-1,tig00000023:1233-1,tig00000033:1-5830,tig00000001:23096-4,tig00000006:1-14603,tig00000032:1-4658,tig00000034:8546-1,tig00000003:1-9501,tig00000016:14394-1,tig00000014:1-8234,tig00000005:10446-1
gene-EfmE745_RS00030		6208	8679	partial	tig00000028:1-395
gene-EfmE745_RS00035		8915	9214	complete	tig00000028:631-930
gene-EfmE745_RS00040		9264	9776	complete	tig00000028:980-1492
gene-EfmE745_RS00045		9802	10038	complete	tig00000028:1518-1754
gene-EfmE745_RS00050		10181	12154	complete	tig00000028:1897-3870
gene-EfmE745_RS00055		12160	12612	complete	tig00000028:3876-4328
gene-EfmE745_RS00060		12886	14253	complete	tig00000028:4602-5969
gene-EfmE745_RS00065		15033	16325	complete	tig00000028:6749-8041
gene-EfmE745_RS00410		74694	75632	partial	tig00000038:8-488
gene-EfmE745_RS00415		75660	76040	complete	tig00000038:516-896
gene-EfmE745_RS00420		76312	77151	complete	tig00000038:1168-2007
gene-EfmE745_RS00425		77127	77996	complete	tig00000038:1983-2852
gene-EfmE745_RS00430		77986	78783	complete	tig00000038:2842-3639
gene-EfmE745_RS00435		78986	79732	complete	tig00000038:3842-4588
gene-EfmE745_RS15685		80339	80533	complete	tig00000038:5195-5389
gene-EfmE745_RS00440		80691	81497	complete	tig00000038:5547-6353
gene-EfmE745_RS00495		91610	93292	partial	tig00000030:12320-11868
gene-EfmE745_RS00500		93409	95445	complete	tig00000030:11751-9715
gene-EfmE745_RS00505		95494	96495	complete	tig00000030:9666-8665
gene-EfmE745_RS00510		96617	96859	complete	tig00000030:8543-8301
gene-EfmE745_RS00515		97238	98425	complete	tig00000030:7922-6735
gene-EfmE745_RS00520		98747	99751	complete	tig00000030:6413-5409
gene-EfmE745_RS00525		99752	100696	complete	tig00000030:5408-4464
gene-EfmE745_RS00530		100696	101658	complete	tig00000030:4464-3502
gene-EfmE745_RS00535		101685	102599	complete	tig00000030:3475-2561
gene-EfmE745_RS00540		102625	104406	complete	tig00000030:2535-754
gene-EfmE745_RS00545		104754	105440	complete	tig00000030:406--280
