#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_79_length_7021_cov_30.596325:1856-2923|-    -            356 21546                -            358  7.4e-190  627.7  12.8   1   1  1.4e-192  8.3e-190  627.5  12.8     1   354     1   354     1   355 1.00 NODE_79_length_7021_cov_30.596325_4 # 1856 # 2923 # -1 # ID=79_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_31_length_29314_cov_34.815612:12200-13279|- -            360 21546                -            358   1.9e-09   34.2   3.7   1   2      0.79   4.9e+02   -3.3   2.6    14    54    30    70    19   101 0.67 NODE_31_length_29314_cov_34.815612_14 # 12200 # 13279 # -1 # ID=31_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_31_length_29314_cov_34.815612:12200-13279|- -            360 21546                -            358   1.9e-09   34.2   3.7   2   2   3.1e-12   1.9e-09   34.2   3.7   128   340   145   345   119   354 0.76 NODE_31_length_29314_cov_34.815612_14 # 12200 # 13279 # -1 # ID=31_14;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_8_length_86165_cov_28.227035:29751-31487|+  -            579 21546                -            358     2e-07   27.6  10.0   1   3     0.034        21    1.2   0.6    36   118     8    91     2   125 0.55 NODE_8_length_86165_cov_28.227035_32 # 29751 # 31487 # 1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_8_length_86165_cov_28.227035:29751-31487|+  -            579 21546                -            358     2e-07   27.6  10.0   2   3    0.0039       2.4    4.3   0.7    49   140   288   384   272   392 0.67 NODE_8_length_86165_cov_28.227035_32 # 29751 # 31487 # 1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_8_length_86165_cov_28.227035:29751-31487|+  -            579 21546                -            358     2e-07   27.6  10.0   3   3   6.1e-10   3.8e-07   26.7   0.1   268   356   473   573   428   575 0.70 NODE_8_length_86165_cov_28.227035_32 # 29751 # 31487 # 1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NODE_4_length_101830_cov_39.048283:2888-4096|+   -            403 21546                -            358   5.8e-06   22.8   1.9   1   2   0.00017      0.11    8.8   0.1    34   100    63   130    28   176 0.68 NODE_4_length_101830_cov_39.048283_2 # 2888 # 4096 # 1 # ID=4_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
NODE_4_length_101830_cov_39.048283:2888-4096|+   -            403 21546                -            358   5.8e-06   22.8   1.9   2   2   7.6e-06    0.0047   13.2   0.2   221   304   233   321   207   331 0.83 NODE_4_length_101830_cov_39.048283_2 # 2888 # 4096 # 1 # ID=4_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
NODE_58_length_13923_cov_28.107802:6989-7423|-   -            145 21546                -            358   0.00029   17.2   1.8   1   1   5.5e-07   0.00034   17.0   1.8    19   120     8   108     2   139 0.66 NODE_58_length_13923_cov_28.107802_7 # 6989 # 7423 # -1 # ID=58_7;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.379
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21546at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21546at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:35 2026
# [ok]
