#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_55_length_14649_cov_31.139852:599-2104|-    -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_55_length_14649_cov_31.139852_1 # 599 # 2104 # -1 # ID=55_1;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_46_length_18735_cov_33.806049:13998-15833|- -            612 21416                -            488   3.2e-49  165.5  13.4   1   3   5.1e-08   1.4e-05   21.5   3.3   109   261   101   251     8   269 0.74 NODE_46_length_18735_cov_33.806049_24 # 13998 # 15833 # -1 # ID=46_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_46_length_18735_cov_33.806049:13998-15833|- -            612 21416                -            488   3.2e-49  165.5  13.4   2   3      0.38   1.1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 NODE_46_length_18735_cov_33.806049_24 # 13998 # 15833 # -1 # ID=46_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_46_length_18735_cov_33.806049:13998-15833|- -            612 21416                -            488   3.2e-49  165.5  13.4   3   3   5.8e-47   1.6e-44  150.0   0.4   263   486   376   601   355   603 0.91 NODE_46_length_18735_cov_33.806049_24 # 13998 # 15833 # -1 # ID=46_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_106498_cov_28.709525:36270-37610|+ -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   4.9e-05     0.014   11.7   0.8   131   216   123   214    73   218 0.74 NODE_3_length_106498_cov_28.709525_34 # 36270 # 37610 # 1 # ID=3_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_3_length_106498_cov_28.709525:36270-37610|+ -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.6e-43   4.4e-41  138.7   1.1   265   487   220   442   215   443 0.92 NODE_3_length_106498_cov_28.709525_34 # 36270 # 37610 # 1 # ID=3_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_41_length_20569_cov_30.148630:15306-17042|+ -            579 21416                -            488   5.3e-41  138.4   1.1   1   3       1.2   3.3e+02   -2.7   0.3   106   143    72   107    33   115 0.53 NODE_41_length_20569_cov_30.148630_20 # 15306 # 17042 # 1 # ID=41_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_41_length_20569_cov_30.148630:15306-17042|+ -            579 21416                -            488   5.3e-41  138.4   1.1   2   3     0.082        23    1.1   0.1   199   271   177   249   166   273 0.67 NODE_41_length_20569_cov_30.148630_20 # 15306 # 17042 # 1 # ID=41_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_41_length_20569_cov_30.148630:15306-17042|+ -            579 21416                -            488   5.3e-41  138.4   1.1   3   3   1.9e-43   5.3e-41  138.4   1.1   256   486   350   576   343   578 0.94 NODE_41_length_20569_cov_30.148630_20 # 15306 # 17042 # 1 # ID=41_20;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_52_length_15383_cov_27.136547:10896-12344|- -            483 21416                -            488   1.2e-36  124.0   4.3   1   1   6.6e-39   1.8e-36  123.4   4.3   195   486   180   475   162   477 0.84 NODE_52_length_15383_cov_27.136547_10 # 10896 # 12344 # -1 # ID=52_10;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_19_length_49767_cov_34.796387:13950-14993|+ -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   5.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 NODE_19_length_49767_cov_34.796387_16 # 13950 # 14993 # 1 # ID=19_16;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
