#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_59599_cov_35.538241:32687-33586|+ -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_13_length_59599_cov_35.538241_29 # 32687 # 33586 # 1 # ID=13_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_3_length_106498_cov_28.709525:3244-4014|+   -            257 18171                -            288   0.00035   17.7   0.0   1   1   2.5e-06   0.00065   16.8   0.0   153   183    38    67     8    81 0.85 NODE_3_length_106498_cov_28.709525_5 # 3244 # 4014 # 1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_44_length_19664_cov_36.992299:1683-2438|-   -            252 18171                -            288   0.00042   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 NODE_44_length_19664_cov_36.992299_3 # 1683 # 2438 # -1 # ID=44_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_44_length_19664_cov_36.992299:1683-2438|-   -            252 18171                -            288   0.00042   17.5   0.2   2   2      0.64   1.6e+02   -0.9   0.1   114   159   167   213   143   244 0.70 NODE_44_length_19664_cov_36.992299_3 # 1683 # 2438 # -1 # ID=44_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_32_length_28108_cov_33.161872:15937-16683|- -            249 18171                -            288    0.0017   15.4   0.2   1   2    0.0013      0.33    8.0   0.0   148   182    28    62    10    81 0.80 NODE_32_length_28108_cov_33.161872_17 # 15937 # 16683 # -1 # ID=32_17;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_32_length_28108_cov_33.161872:15937-16683|- -            249 18171                -            288    0.0017   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 NODE_32_length_28108_cov_33.161872_17 # 15937 # 16683 # -1 # ID=32_17;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_17_length_53451_cov_37.688722:22-762|-      -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.24    8.4   0.0   150   172    26    48     9    77 0.77 NODE_17_length_53451_cov_37.688722_1 # 22 # 762 # -1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_17_length_53451_cov_37.688722:22-762|-      -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.4    4.6   0.0   112   152   163   203   119   214 0.85 NODE_17_length_53451_cov_37.688722_1 # 22 # 762 # -1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_7_length_86709_cov_33.100688:81579-82217|-  -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05     0.005   13.9   0.0   136   172    13    51     6    91 0.79 NODE_7_length_86709_cov_33.100688_79 # 81579 # 82217 # -1 # ID=7_79;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 18171                -            288    0.0041   14.2   1.5   1   2   0.00014     0.037   11.1   0.1   147   182    29    64     1    87 0.75 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 18171                -            288    0.0041   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
