#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_22_length_43520_cov_30.536294:21069-21776|+ -            236 17381                -            234    9e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 NODE_22_length_43520_cov_30.536294_26 # 21069 # 21776 # 1 # ID=22_26;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_85_length_5986_cov_36.258472:697-1431|+     -            245 17381                -            234   7.8e-32  108.3   0.1   1   1   3.5e-34     9e-32  108.1   0.1     6   230     9   235     4   239 0.92 NODE_85_length_5986_cov_36.258472_1 # 697 # 1431 # 1 # ID=85_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_15_length_55108_cov_29.376128:33460-34179|+ -            240 17381                -            234   6.3e-29   98.8   0.0   1   1     3e-31   7.6e-29   98.5   0.0     5   221     1   222     1   230 0.91 NODE_15_length_55108_cov_29.376128_28 # 33460 # 34179 # 1 # ID=15_28;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_7_length_86709_cov_33.100688:63598-64299|-  -            234 17381                -            234   3.9e-26   89.7   0.7   1   1   1.9e-28   4.8e-26   89.4   0.7     6   225     6   222     1   230 0.89 NODE_7_length_86709_cov_33.100688_61 # 63598 # 64299 # -1 # ID=7_61;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_83_length_6416_cov_32.711838:4251-4985|+    -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 NODE_83_length_6416_cov_32.711838_6 # 4251 # 4985 # 1 # ID=83_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NODE_36_length_23986_cov_34.471021:4364-5077|-   -            238 17381                -            234   4.1e-15   53.6   0.2   1   1   2.1e-17   5.4e-15   53.2   0.2    13   230     9   228     3   231 0.88 NODE_36_length_23986_cov_34.471021_7 # 4364 # 5077 # -1 # ID=36_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_114283_cov_31.103635:98298-99377|- -            360 17381                -            234   5.6e-14   49.9   0.2   1   1   3.9e-16   9.9e-14   49.1   0.2     8    78     4    74     1    89 0.92 NODE_1_length_114283_cov_31.103635_92 # 98298 # 99377 # -1 # ID=1_92;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_83_length_6416_cov_32.711838:4969-5667|+    -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.8e-12   45.0   0.0    11    92    12    94     6   200 0.83 NODE_83_length_6416_cov_32.711838_7 # 4969 # 5667 # 1 # ID=83_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_5_length_100374_cov_29.640417:50961-52385|+ -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14     2e-11   41.5   0.0     4    72     9    77     6    84 0.95 NODE_5_length_100374_cov_29.640417_49 # 50961 # 52385 # 1 # ID=5_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_47_length_17117_cov_34.327980:12186-12830|+ -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 NODE_47_length_17117_cov_34.327980_11 # 12186 # 12830 # 1 # ID=47_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_9_length_85202_cov_37.123657:34534-35580|+  -            349 17381                -            234   8.1e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 NODE_9_length_85202_cov_37.123657_27 # 34534 # 35580 # 1 # ID=9_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_6_length_99885_cov_29.307212:80941-82335|-  -            465 17381                -            234   5.3e-07   27.1   0.0   1   1   4.9e-09   1.3e-06   25.8   0.0     6    98    23   115    19   136 0.82 NODE_6_length_99885_cov_29.307212_79 # 80941 # 82335 # -1 # ID=6_79;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/17381at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/17381at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:14 2026
# [ok]
