#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_20_length_45277_cov_34.462408:38605-39132|+ -            176 18111                -            174     3e-98  324.1   2.4   1   1  6.5e-101   3.3e-98  324.0   2.4     1   174     1   174     1   174 0.99 NODE_20_length_45277_cov_34.462408_40 # 38605 # 39132 # 1 # ID=20_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_29_length_31200_cov_30.116648:24828-25592|+ -            255 18111                -            174   1.3e-08   32.2   0.0   1   2    0.0037       1.9    5.7   0.0    27    77     3    51     1    81 0.78 NODE_29_length_31200_cov_30.116648_25 # 24828 # 25592 # 1 # ID=29_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_29_length_31200_cov_30.116648:24828-25592|+ -            255 18111                -            174   1.3e-08   32.2   0.0   2   2   6.4e-09   3.3e-06   24.5   0.1    92   136   181   225   177   230 0.94 NODE_29_length_31200_cov_30.116648_25 # 24828 # 25592 # 1 # ID=29_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_38_length_23628_cov_35.195393:21707-22402|+ -            232 18111                -            174   4.7e-05   20.7   0.0   1   2      0.61   3.1e+02   -1.5   0.1    27    42     3    18     1    25 0.82 NODE_38_length_23628_cov_35.195393_21 # 21707 # 22402 # 1 # ID=38_21;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
NODE_38_length_23628_cov_35.195393:21707-22402|+ -            232 18111                -            174   4.7e-05   20.7   0.0   2   2   2.9e-07   0.00015   19.1   0.0    61   134   118   197    99   203 0.79 NODE_38_length_23628_cov_35.195393_21 # 21707 # 22402 # 1 # ID=38_21;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
NODE_14_length_56501_cov_33.217624:5494-6201|+   -            236 18111                -            174   0.00073   16.8   0.0   1   2      0.87   4.5e+02   -2.0   0.0    27    44     2    19     1    31 0.81 NODE_14_length_56501_cov_33.217624_5 # 5494 # 6201 # 1 # ID=14_5;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_14_length_56501_cov_33.217624:5494-6201|+   -            236 18111                -            174   0.00073   16.8   0.0   2   2   5.7e-06    0.0029   14.9   0.0    48   132   104   199    96   205 0.80 NODE_14_length_56501_cov_33.217624_5 # 5494 # 6201 # 1 # ID=14_5;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_18_length_49813_cov_28.127015:9759-10454|-  -            232 18111                -            174    0.0028   14.9   0.0   1   3     0.021        11    3.3   0.0    27    40     2    15     1    36 0.91 NODE_18_length_49813_cov_28.127015_10 # 9759 # 10454 # -1 # ID=18_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NODE_18_length_49813_cov_28.127015:9759-10454|-  -            232 18111                -            174    0.0028   14.9   0.0   2   3       1.3   6.6e+02   -2.6   0.0    75   106    60    91    42   103 0.68 NODE_18_length_49813_cov_28.127015_10 # 9759 # 10454 # -1 # ID=18_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NODE_18_length_49813_cov_28.127015:9759-10454|-  -            232 18111                -            174    0.0028   14.9   0.0   3   3   0.00032      0.17    9.1   0.0   102   139   159   196   140   223 0.83 NODE_18_length_49813_cov_28.127015_10 # 9759 # 10454 # -1 # ID=18_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.300
NODE_24_length_38318_cov_25.692235:17004-17717|- -            238 18111                -            174     0.022   12.0   0.0   1   1   0.00011     0.059   10.6   0.0    54   138    98   190    85   199 0.76 NODE_24_length_38318_cov_25.692235_27 # 17004 # 17717 # -1 # ID=24_27;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.345
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18111at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:18 2026
# [ok]
