#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 19956                -            366    1e-245  811.6   6.7   1   1  2.5e-248  1.1e-245  811.4   6.7     1   366     1   366     1   366 1.00 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_58_length_13923_cov_28.107802:10144-11457|- -            438 19956                -            366   9.2e-18   61.5   0.1   1   2   5.1e-17   2.2e-14   50.4   0.0     5   138   163   273   159   290 0.87 NODE_58_length_13923_cov_28.107802_11 # 10144 # 11457 # -1 # ID=58_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_58_length_13923_cov_28.107802:10144-11457|- -            438 19956                -            366   9.2e-18   61.5   0.1   2   2    0.0085       3.7    3.6   0.0   254   302   312   360   294   384 0.78 NODE_58_length_13923_cov_28.107802_11 # 10144 # 11457 # -1 # ID=58_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   5.1e-05   19.6   4.2   1   5   2.4e-05     0.011   12.0   0.0     4    23     5    24     1    34 0.89 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   5.1e-05   19.6   4.2   2   5       0.4   1.7e+02   -1.9   0.0   219   252    66   101    59   115 0.75 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   5.1e-05   19.6   4.2   3   5    0.0016       0.7    6.0   0.0     6    22   178   194   174   200 0.88 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   5.1e-05   19.6   4.2   4   5      0.25   1.1e+02   -1.2   0.0   222   252   246   276   235   285 0.79 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   5.1e-05   19.6   4.2   5   5      0.17        76   -0.7   0.1   167   167   295   295   246   364 0.53 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 19956                -            366    0.0012   15.1   0.0   1   1   4.8e-06    0.0021   14.3   0.0     5    39   196   230   193   257 0.93 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_11_length_80003_cov_31.743608:39509-40369|+ -            287 19956                -            366    0.0076   12.5   0.0   1   1   2.8e-05     0.012   11.8   0.0     2    34   120   153   119   159 0.80 NODE_11_length_80003_cov_31.743608_43 # 39509 # 40369 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_20_length_45277_cov_34.462408:39129-40238|+ -            370 19956                -            366    0.0099   12.1   0.0   1   1   3.9e-05     0.017   11.3   0.0     7    29   169   191   165   211 0.81 NODE_20_length_45277_cov_34.462408_41 # 39129 # 40238 # 1 # ID=20_41;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 19956                -            366     0.038   10.2   0.0   1   1   0.00013     0.055    9.6   0.0     6    44     4    42     1    59 0.83 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19956at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:27 2026
# [ok]
