#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_83811_cov_29.795656:10165-11127|+ -            321 19602                -            320    5e-198  654.1   7.0   1   1  1.3e-200  5.6e-198  653.9   7.0     1   319     1   319     1   320 1.00 NODE_10_length_83811_cov_29.795656_13 # 10165 # 11127 # 1 # ID=10_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
NODE_22_length_43520_cov_30.536294:19074-19958|+ -            295 19602                -            320   5.3e-29   98.7   1.7   1   2     6e-19   2.6e-16   57.0   0.5    36   169    23   159     7   175 0.87 NODE_22_length_43520_cov_30.536294_23 # 19074 # 19958 # 1 # ID=22_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_22_length_43520_cov_30.536294:19074-19958|+ -            295 19602                -            320   5.3e-29   98.7   1.7   2   2   4.1e-14   1.8e-11   41.1   0.0   217   314   186   284   170   290 0.87 NODE_22_length_43520_cov_30.536294_23 # 19074 # 19958 # 1 # ID=22_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_9_length_85202_cov_37.123657:29538-30395|-  -            286 19602                -            320   5.8e-23   78.9   0.2   1   2   7.4e-19   3.3e-16   56.7   0.5     7   189     4   179     2   189 0.79 NODE_9_length_85202_cov_37.123657_24 # 29538 # 30395 # -1 # ID=9_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_9_length_85202_cov_37.123657:29538-30395|-  -            286 19602                -            320   5.8e-23   78.9   0.2   2   2   1.5e-07   6.7e-05   19.5   0.0   244   317   205   280   195   283 0.77 NODE_9_length_85202_cov_37.123657_24 # 29538 # 30395 # -1 # ID=9_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_53_length_15342_cov_25.132073:6951-7823|+   -            291 19602                -            320     5e-22   75.8   0.3   1   2   3.5e-20   1.5e-17   61.1   0.3    35   197    23   191     5   203 0.83 NODE_53_length_15342_cov_25.132073_8 # 6951 # 7823 # 1 # ID=53_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_53_length_15342_cov_25.132073:6951-7823|+   -            291 19602                -            320     5e-22   75.8   0.3   2   2   1.3e-05    0.0059   13.1   0.0   244   318   209   285   193   287 0.80 NODE_53_length_15342_cov_25.132073_8 # 6951 # 7823 # 1 # ID=53_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_33_length_26464_cov_31.883600:18473-19351|+ -            293 19602                -            320   4.5e-21   72.7   0.1   1   2   7.3e-17   3.2e-14   50.1   0.1    39   189    27   183    16   194 0.83 NODE_33_length_26464_cov_31.883600_19 # 18473 # 19351 # 1 # ID=33_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_33_length_26464_cov_31.883600:18473-19351|+ -            293 19602                -            320   4.5e-21   72.7   0.1   2   2   7.5e-08   3.3e-05   20.5   0.0   244   318   209   285   198   287 0.86 NODE_33_length_26464_cov_31.883600_19 # 18473 # 19351 # 1 # ID=33_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_77_length_7507_cov_32.367016:6485-7354|+    -            290 19602                -            320   7.8e-20   68.6   0.4   1   2   4.7e-17   2.1e-14   50.8   0.5    51   191    38   184     5   193 0.85 NODE_77_length_7507_cov_32.367016_8 # 6485 # 7354 # 1 # ID=77_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_77_length_7507_cov_32.367016:6485-7354|+    -            290 19602                -            320   7.8e-20   68.6   0.4   2   2   2.1e-06   0.00091   15.8   0.0   246   318   210   284   205   286 0.81 NODE_77_length_7507_cov_32.367016_8 # 6485 # 7354 # 1 # ID=77_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
