#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:686374-688566|- -            731 23539                -            736         0 1161.9  17.4   1   1         0         0 1161.8  17.4     2   736     2   729     1   729 0.99 NODE_1_length_1652082_cov_46.167482_690 # 686374 # 688566 # -1 # ID=1_690;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NODE_2_length_840748_cov_42.698360:257182-259221|+  -            680 23539                -            736   4.8e-33  111.7  10.1   1   3      0.27   1.6e+02   -2.5   0.2   628   690    34    98    31   106 0.59 NODE_2_length_840748_cov_42.698360_252 # 257182 # 259221 # 1 # ID=2_252;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_840748_cov_42.698360:257182-259221|+  -            680 23539                -            736   4.8e-33  111.7  10.1   2   3   0.00088      0.54    5.7   0.0    73    89   170   186   165   196 0.91 NODE_2_length_840748_cov_42.698360_252 # 257182 # 259221 # 1 # ID=2_252;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_840748_cov_42.698360:257182-259221|+  -            680 23539                -            736   4.8e-33  111.7  10.1   3   3     5e-35   3.1e-32  109.0   4.0   182   564   254   639   248   671 0.77 NODE_2_length_840748_cov_42.698360_252 # 257182 # 259221 # 1 # ID=2_252;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_840748_cov_42.698360:737873-740026|-  -            718 23539                -            736   4.3e-25   85.4  12.8   1   2     3e-05     0.019   10.6   0.1    11    90    18   100     9   139 0.68 NODE_2_length_840748_cov_42.698360_698 # 737873 # 740026 # -1 # ID=2_698;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
NODE_2_length_840748_cov_42.698360:737873-740026|-  -            718 23539                -            736   4.3e-25   85.4  12.8   2   2   6.5e-24     4e-21   72.3   9.5   219   602   285   707   276   714 0.74 NODE_2_length_840748_cov_42.698360_698 # 737873 # 740026 # -1 # ID=2_698;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
NODE_2_length_840748_cov_42.698360:393042-395423|+  -            794 23539                -            736     8e-21   71.3   9.9   1   1     2e-23   1.2e-20   70.7   9.9   256   555   319   599   288   636 0.80 NODE_2_length_840748_cov_42.698360_378 # 393042 # 395423 # 1 # ID=2_378;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_3_length_245057_cov_46.274867:182004-184175|-  -            724 23539                -            736   6.2e-12   41.9   9.9   1   2     0.092        57   -0.9   0.2    54   186    65   198    30   243 0.62 NODE_3_length_245057_cov_46.274867_193 # 182004 # 184175 # -1 # ID=3_193;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
NODE_3_length_245057_cov_46.274867:182004-184175|-  -            724 23539                -            736   6.2e-12   41.9   9.9   2   2   6.4e-14   3.9e-11   39.3   4.5   259   548   320   585   269   600 0.77 NODE_3_length_245057_cov_46.274867_193 # 182004 # 184175 # -1 # ID=3_193;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23539at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/23539at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23539at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:42 2026
# [ok]
