#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:53250-54698|-     -            483 23003                -            483  5.7e-236  781.5  18.8   1   1  2.9e-238  6.4e-236  781.4  18.8     1   481     1   481     1   482 1.00 NODE_1_length_1652082_cov_46.167482_70 # 53250 # 54698 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 23003                -            483     1e-63  213.5  13.5   1   2   1.5e-19   3.2e-17   60.1   6.4     8   255    16   262    11   290 0.76 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 23003                -            483     1e-63  213.5  13.5   2   2   3.8e-49   8.4e-47  157.7   0.6   247   480   369   606   359   608 0.90 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_1_length_1652082_cov_46.167482:1038763-1039806|- -            348 23003                -            483   2.5e-43  146.2  11.0   1   2       1.1   2.5e+02   -2.1   0.1     4    26    11    33     4    46 0.66 NODE_1_length_1652082_cov_46.167482_1021 # 1038763 # 1039806 # -1 # ID=1_1021;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:1038763-1039806|- -            348 23003                -            483   2.5e-43  146.2  11.0   2   2   1.4e-45     3e-43  146.0  10.5   177   476    56   346    15   347 0.91 NODE_1_length_1652082_cov_46.167482_1021 # 1038763 # 1039806 # -1 # ID=1_1021;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_2_length_840748_cov_42.698360:718069-719574|-    -            502 23003                -            483   6.5e-42  141.6  10.7   1   1   3.9e-44   8.7e-42  141.2  10.7    11   480    25   499    19   501 0.80 NODE_2_length_840748_cov_42.698360_683 # 718069 # 719574 # -1 # ID=2_683;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 23003                -            483   1.9e-39  133.5  11.2   1   2   0.00091       0.2    8.0   3.0   106   200   119   213    12   216 0.57 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 23003                -            483   1.9e-39  133.5  11.2   2   2   6.3e-41   1.4e-38  130.6   1.4   255   477   220   443   214   446 0.93 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 23003                -            483   1.5e-38  130.5  12.3   1   2   4.2e-07   9.3e-05   19.0   2.4    11   248    11   240     3   254 0.78 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 23003                -            483   1.5e-38  130.5  12.3   2   2   9.4e-37   2.1e-34  116.8   2.5   248   476   352   577   347   578 0.91 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:1422009-1423217|- -            403 23003                -            483   1.2e-37  127.5   1.5   1   1   7.9e-40   1.7e-37  127.0   1.5   199   480   107   389    63   391 0.84 NODE_1_length_1652082_cov_46.167482_1396 # 1422009 # 1423217 # -1 # ID=1_1396;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_7_length_35882_cov_232.232618:26591-27733|-      -            381 23003                -            483   7.1e-32  108.5   3.5   1   2       1.2   2.7e+02   -2.3   0.1     8    31    15    38    11    74 0.66 NODE_7_length_35882_cov_232.232618_34 # 26591 # 27733 # -1 # ID=7_34;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NODE_7_length_35882_cov_232.232618:26591-27733|-      -            381 23003                -            483   7.1e-32  108.5   3.5   2   2   3.2e-34   7.1e-32  108.5   3.5   217   477   114   371    60   377 0.83 NODE_7_length_35882_cov_232.232618_34 # 26591 # 27733 # -1 # ID=7_34;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:1547451-1548347|+ -            299 23003                -            483     2e-24   83.9   4.0   1   1   1.1e-26   2.3e-24   83.7   4.0   183   458     8   280     1   294 0.87 NODE_1_length_1652082_cov_46.167482_1496 # 1547451 # 1548347 # 1 # ID=1_1496;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:933249-934274|-   -            342 23003                -            483   3.7e-18   63.2   0.9   1   1   2.1e-20   4.6e-18   62.9   0.9   235   477    98   334    76   340 0.86 NODE_1_length_1652082_cov_46.167482_924 # 933249 # 934274 # -1 # ID=1_924;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_4_length_212759_cov_102.864112:124686-126005|+   -            440 23003                -            483   1.7e-16   57.7  32.2   1   2    0.0059       1.3    5.4   5.3    10   144    14   145     4   148 0.64 NODE_4_length_212759_cov_102.864112_122 # 124686 # 126005 # 1 # ID=4_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
