#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:143949-144287|- -            113 17357                -            112   8.5e-59  194.3  12.7   1   1   2.1e-61   9.4e-59  194.1  12.7     1   112     1   112     1   112 0.99 NODE_1_length_1652082_cov_46.167482_160 # 143949 # 144287 # -1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.336
NODE_4_length_212759_cov_102.864112:81275-82234|-   -            320 17357                -            112     0.013   13.2   0.2   1   1   5.9e-05     0.026   12.3   0.2    18    56     4    42     1    86 0.78 NODE_4_length_212759_cov_102.864112_81 # 81275 # 82234 # -1 # ID=4_81;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:151537-152832|+ -            432 17357                -            112     0.016   13.0   0.8   1   2    0.0008      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_1_length_1652082_cov_46.167482_166 # 151537 # 152832 # 1 # ID=1_166;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_1_length_1652082_cov_46.167482:151537-152832|+ -            432 17357                -            112     0.016   13.0   0.8   2   2      0.14        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_1_length_1652082_cov_46.167482_166 # 151537 # 152832 # 1 # ID=1_166;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_2_length_840748_cov_42.698360:736356-737651|+  -            432 17357                -            112     0.016   13.0   0.8   1   2    0.0008      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_2_length_840748_cov_42.698360_697 # 736356 # 737651 # 1 # ID=2_697;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_2_length_840748_cov_42.698360:736356-737651|+  -            432 17357                -            112     0.016   13.0   0.8   2   2      0.14        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_2_length_840748_cov_42.698360_697 # 736356 # 737651 # 1 # ID=2_697;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_3_length_245057_cov_46.274867:92631-93926|-    -            432 17357                -            112     0.016   13.0   0.8   1   2    0.0008      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_3_length_245057_cov_46.274867_122 # 92631 # 93926 # -1 # ID=3_122;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_3_length_245057_cov_46.274867:92631-93926|-    -            432 17357                -            112     0.016   13.0   0.8   2   2      0.14        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_3_length_245057_cov_46.274867_122 # 92631 # 93926 # -1 # ID=3_122;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_4_length_212759_cov_102.864112:58981-60276|-   -            432 17357                -            112     0.016   13.0   0.8   1   2    0.0008      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_4_length_212759_cov_102.864112_58 # 58981 # 60276 # -1 # ID=4_58;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_4_length_212759_cov_102.864112:58981-60276|-   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.14        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_4_length_212759_cov_102.864112_58 # 58981 # 60276 # -1 # ID=4_58;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_4_length_212759_cov_102.864112:23072-24379|-   -            436 17357                -            112     0.016   13.0   0.8   1   2   0.00081      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NODE_4_length_212759_cov_102.864112_22 # 23072 # 24379 # -1 # ID=4_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
