#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:730503-730688|+  -             62 29492                -             59   2.8e-27   92.2   3.4   1   1   4.8e-30     3e-27   92.1   3.4     1    56     1    56     1    59 0.94 NODE_2_length_840748_cov_42.698360_692 # 730503 # 730688 # 1 # ID=2_692;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:701135-701380|- -             82 29492                -             59     0.064   10.9   7.8   1   2   0.00025      0.16    9.7   3.0     8    29     4    25     2    47 0.77 NODE_1_length_1652082_cov_46.167482_707 # 701135 # 701380 # -1 # ID=1_707;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_1_length_1652082_cov_46.167482:701135-701380|- -             82 29492                -             59     0.064   10.9   7.8   2   2     0.018        11    3.8   0.2    34    51    58    75    55    80 0.75 NODE_1_length_1652082_cov_46.167482_707 # 701135 # 701380 # -1 # ID=1_707;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_2_length_840748_cov_42.698360:238090-238332|+  -             81 29492                -             59      0.25    9.1  15.6   1   2   0.00046      0.28    8.9   4.6     7    27     3    23     2    41 0.85 NODE_2_length_840748_cov_42.698360_231 # 238090 # 238332 # 1 # ID=2_231;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_2_length_840748_cov_42.698360:238090-238332|+  -             81 29492                -             59      0.25    9.1  15.6   2   2     0.098        60    1.4   7.1    34    51    57    75    27    79 0.64 NODE_2_length_840748_cov_42.698360_231 # 238090 # 238332 # 1 # ID=2_231;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_2_length_840748_cov_42.698360:242903-243145|+  -             81 29492                -             59      0.26    9.0  16.1   1   2   0.00045      0.27    8.9   6.6     7    49     3    43     2    50 0.75 NODE_2_length_840748_cov_42.698360_239 # 242903 # 243145 # 1 # ID=2_239;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_840748_cov_42.698360:242903-243145|+  -             81 29492                -             59      0.26    9.0  16.1   2   2      0.16     1e+02    0.7   7.7    33    51    57    75    29    79 0.72 NODE_2_length_840748_cov_42.698360_239 # 242903 # 243145 # 1 # ID=2_239;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_4_length_212759_cov_102.864112:69290-69538|+   -             83 29492                -             59       5.2    4.8  15.5   1   2    0.0056       3.5    5.4   5.2     8    27     4    23     2    49 0.81 NODE_4_length_212759_cov_102.864112_67 # 69290 # 69538 # 1 # ID=4_67;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_4_length_212759_cov_102.864112:69290-69538|+   -             83 29492                -             59       5.2    4.8  15.5   2   2      0.09        56    1.5   6.6    34    51    58    75    29    80 0.85 NODE_4_length_212759_cov_102.864112_67 # 69290 # 69538 # 1 # ID=4_67;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29492at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:52 2026
# [ok]
