#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:718069-719574|-    -            502 21416                -            489  6.1e-246  814.2  11.4   1   1  2.6e-248  7.2e-246  813.9  11.4     3   488     5   498     3   499 0.97 NODE_2_length_840748_cov_42.698360_683 # 718069 # 719574 # -1 # ID=2_683;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 21416                -            489   1.4e-59  199.5  12.2   1   2     5e-12   1.4e-09   34.6   3.2    25   259    13   251     2   260 0.66 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_245057_cov_46.274867:39634-41469|-      -            612 21416                -            489   1.4e-59  199.5  12.2   2   2   3.8e-53   1.1e-50  170.2   1.7   243   485   358   602   292   606 0.86 NODE_3_length_245057_cov_46.274867_67 # 39634 # 41469 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 21416                -            489   8.2e-52  173.9   9.6   1   2   1.7e-05    0.0047   13.1   1.8   127   214   123   214    12   217 0.69 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_2_length_840748_cov_42.698360:313594-314934|-    -            447 21416                -            489   8.2e-52  173.9   9.6   2   2   9.2e-52   2.6e-49  165.6   1.2   263   486   220   443   216   446 0.93 NODE_2_length_840748_cov_42.698360_304 # 313594 # 314934 # -1 # ID=2_304;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 21416                -            489   2.7e-49  165.6  14.6   1   2    0.0018       0.5    6.4   6.7    95   261    66   241    28   263 0.55 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:145581-147317|+   -            579 21416                -            489   2.7e-49  165.6  14.6   2   2   9.3e-51   2.6e-48  162.3   0.9   254   485   350   577   342   578 0.93 NODE_1_length_1652082_cov_46.167482_163 # 145581 # 147317 # 1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_1652082_cov_46.167482:1038763-1039806|- -            348 21416                -            489   3.8e-41  138.7   7.2   1   1   1.4e-43   3.8e-41  138.7   7.2   184   483    50   344    36   346 0.92 NODE_1_length_1652082_cov_46.167482_1021 # 1038763 # 1039806 # -1 # ID=1_1021;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:53250-54698|-     -            483 21416                -            489   1.7e-40  136.6  12.9   1   1   1.2e-42   3.3e-40  135.6  12.9    78   487    53   478    20   480 0.74 NODE_1_length_1652082_cov_46.167482_70 # 53250 # 54698 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_7_length_35882_cov_232.232618:26591-27733|-      -            381 21416                -            489   5.6e-29   98.6   4.1   1   1     2e-31   5.6e-29   98.6   4.1   178   486    66   371    49   373 0.81 NODE_7_length_35882_cov_232.232618_34 # 26591 # 27733 # -1 # ID=7_34;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:1422009-1423217|- -            403 21416                -            489   2.3e-27   93.3   1.7   1   1   1.1e-29   3.2e-27   92.8   1.7   257   488   157   388    83   389 0.80 NODE_1_length_1652082_cov_46.167482_1396 # 1422009 # 1423217 # -1 # ID=1_1396;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
