#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_30_length_28698_cov_56.930508:136-660|-       -            175 23784                -            172   4.5e-76  251.6   0.5   1   1   1.6e-78   5.2e-76  251.4   0.5     2   172     3   173     2   173 0.99 NODE_30_length_28698_cov_56.930508_1 # 136 # 660 # -1 # ID=30_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406
NODE_2_length_252901_cov_71.242866:48192-48734|+   -            181 23784                -            172   3.3e-10   37.2   0.0   1   2      0.64     2e+02   -1.2   0.0     7    26    32    51    28    55 0.85 NODE_2_length_252901_cov_71.242866_56 # 48192 # 48734 # 1 # ID=2_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.370
NODE_2_length_252901_cov_71.242866:48192-48734|+   -            181 23784                -            172   3.3e-10   37.2   0.0   2   2     3e-12   9.4e-10   35.7   0.0    93   167   102   175    64   179 0.89 NODE_2_length_252901_cov_71.242866_56 # 48192 # 48734 # 1 # ID=2_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.370
NODE_13_length_76137_cov_124.122359:55941-56462|+  -            174 23784                -            172   1.2e-09   35.4   0.0   1   1   5.1e-12   1.6e-09   35.0   0.0     8   147     6   150     3   170 0.75 NODE_13_length_76137_cov_124.122359_59 # 55941 # 56462 # 1 # ID=13_59;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.351
NODE_30_length_28698_cov_56.930508:4645-5208|-     -            188 23784                -            172   1.5e-08   31.8   0.0   1   2     0.019         6    3.8   0.0     8    52     2    46     1    79 0.88 NODE_30_length_28698_cov_56.930508_7 # 4645 # 5208 # -1 # ID=30_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
NODE_30_length_28698_cov_56.930508:4645-5208|-     -            188 23784                -            172   1.5e-08   31.8   0.0   2   2   2.5e-09   7.9e-07   26.2   0.0    93   149   116   171   115   183 0.90 NODE_30_length_28698_cov_56.930508_7 # 4645 # 5208 # -1 # ID=30_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
NODE_23_length_39921_cov_95.495462:150-593|-       -            148 23784                -            172   1.5e-08   31.8   0.9   1   1   1.3e-10     4e-08   30.4   0.9    58   160    48   136    25   143 0.83 NODE_23_length_39921_cov_95.495462_1 # 150 # 593 # -1 # ID=23_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.351
NODE_4_length_185058_cov_63.073482:108130-108597|- -            156 23784                -            172     5e-05   20.3   0.1   1   1   2.1e-07   6.6e-05   19.9   0.1    91   153    59   122    37   131 0.82 NODE_4_length_185058_cov_63.073482_100 # 108130 # 108597 # -1 # ID=4_100;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_43_length_10293_cov_51.372417:7041-7610|+     -            190 23784                -            172    0.0004   17.4   0.0   1   1   1.4e-06   0.00045   17.2   0.0    94   159   111   176    61   187 0.86 NODE_43_length_10293_cov_51.372417_6 # 7041 # 7610 # 1 # ID=43_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_8_length_123234_cov_76.327838:58568-59002|-   -            145 23784                -            172    0.0013   15.8   0.0   1   1   6.3e-06     0.002   15.1   0.0    94   146    76   124    73   131 0.82 NODE_8_length_123234_cov_76.327838_58 # 58568 # 59002 # -1 # ID=8_58;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.377
NODE_10_length_113754_cov_99.095655:15371-15859|-  -            163 23784                -            172    0.0047   13.9   0.3   1   2       1.3   3.9e+02   -2.1   0.0    38    38    33    33     4    72 0.51 NODE_10_length_113754_cov_99.095655_13 # 15371 # 15859 # -1 # ID=10_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
NODE_10_length_113754_cov_99.095655:15371-15859|-  -            163 23784                -            172    0.0047   13.9   0.3   2   2   2.7e-05    0.0084   13.1   0.1   120   150   111   141    86   159 0.75 NODE_10_length_113754_cov_99.095655_13 # 15371 # 15859 # -1 # ID=10_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
NODE_21_length_53836_cov_80.584707:34981-35415|-   -            145 23784                -            172     0.021   11.8   0.0   1   1   8.3e-05     0.026   11.5   0.0    93   150    68   123    27   135 0.84 NODE_21_length_53836_cov_80.584707_38 # 34981 # 35415 # -1 # ID=21_38;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23784at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:42:56 2026
# [ok]
