#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_22_length_43876_cov_92.621673:11643-12707|+   -            355 18059                -            345    6e-181  598.4   0.3   1   1  1.1e-183  6.7e-181  598.2   0.3     1   345     1   346     1   346 0.99 NODE_22_length_43876_cov_92.621673_13 # 11643 # 12707 # 1 # ID=22_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:69856-70875|-   -            340 18059                -            345   3.3e-06   23.8   0.4   1   3      0.65   4.1e+02   -2.8   0.0    31    55    35    57    19    64 0.70 NODE_3_length_193524_cov_75.578528_97 # 69856 # 70875 # -1 # ID=3_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
NODE_3_length_193524_cov_75.578528:69856-70875|-   -            340 18059                -            345   3.3e-06   23.8   0.4   2   3      0.15        94   -0.7   0.0   165   182   198   215   195   242 0.56 NODE_3_length_193524_cov_75.578528_97 # 69856 # 70875 # -1 # ID=3_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
NODE_3_length_193524_cov_75.578528:69856-70875|-   -            340 18059                -            345   3.3e-06   23.8   0.4   3   3     3e-08   1.9e-05   21.3   0.0   247   322   262   337   250   338 0.93 NODE_3_length_193524_cov_75.578528_97 # 69856 # 70875 # -1 # ID=3_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.436
NODE_4_length_185058_cov_63.073482:183678-184781|- -            368 18059                -            345   1.6e-05   21.5   0.0   1   2      0.33   2.1e+02   -1.9   0.0   166   209   223   263   219   268 0.65 NODE_4_length_185058_cov_63.073482_174 # 183678 # 184781 # -1 # ID=4_174;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_4_length_185058_cov_63.073482:183678-184781|- -            368 18059                -            345   1.6e-05   21.5   0.0   2   2   7.4e-08   4.7e-05   20.0   0.0   246   322   285   361   267   364 0.89 NODE_4_length_185058_cov_63.073482_174 # 183678 # 184781 # -1 # ID=4_174;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.412
NODE_1_length_304474_cov_63.252055:35443-36420|+   -            326 18059                -            345    0.0079   12.7   0.1   1   2      0.39   2.5e+02   -2.1   0.0    97   127   124   155   118   165 0.65 NODE_1_length_304474_cov_63.252055_33 # 35443 # 36420 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_304474_cov_63.252055:35443-36420|+   -            326 18059                -            345    0.0079   12.7   0.1   2   2   4.2e-05     0.026   10.9   0.0   245   277   198   230   182   244 0.85 NODE_1_length_304474_cov_63.252055_33 # 35443 # 36420 # 1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_52_length_1698_cov_52.659459:177-1661|+       -            495 18059                -            345     0.024   11.1   2.2   1   2      0.38   2.4e+02   -2.1   0.1    19    61    12    54     6    87 0.66 NODE_52_length_1698_cov_52.659459_1 # 177 # 1661 # 1 # ID=52_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
NODE_52_length_1698_cov_52.659459:177-1661|+       -            495 18059                -            345     0.024   11.1   2.2   2   2   4.7e-05      0.03   10.8   0.4   249   276   339   366   315   375 0.81 NODE_52_length_1698_cov_52.659459_1 # 177 # 1661 # 1 # ID=52_1;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18059at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18059at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18059at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:42:27 2026
# [ok]
