#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:25940-26125|+     -             62 29492                -             59   2.8e-27   92.2   3.4   1   1   4.8e-30     3e-27   92.1   3.4     1    56     1    56     1    59 0.94 tig00000001_pilon_17 # 25940 # 26125 # 1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001_pilon:1353337-1353582|+ -             82 29492                -             59     0.064   10.9   7.8   1   2   0.00025      0.16    9.7   3.0     8    29     4    25     2    47 0.77 tig00000001_pilon_1264 # 1353337 # 1353582 # 1 # ID=1_1264;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
tig00000001_pilon:1353337-1353582|+ -             82 29492                -             59     0.064   10.9   7.8   2   2     0.018        11    3.8   0.2    34    51    58    75    55    80 0.75 tig00000001_pilon_1264 # 1353337 # 1353582 # 1 # ID=1_1264;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
tig00000001_pilon:2298544-2298786|+ -             81 29492                -             59      0.25    9.1  15.6   1   2   0.00046      0.28    8.9   4.6     7    27     3    23     2    41 0.85 tig00000001_pilon_2208 # 2298544 # 2298786 # 1 # ID=1_2208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
tig00000001_pilon:2298544-2298786|+ -             81 29492                -             59      0.25    9.1  15.6   2   2     0.098        60    1.4   7.1    34    51    57    75    27    79 0.64 tig00000001_pilon_2208 # 2298544 # 2298786 # 1 # ID=1_2208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
tig00000001_pilon:2303357-2303599|+ -             81 29492                -             59      0.26    9.0  16.1   1   2   0.00045      0.28    8.9   6.6     7    49     3    43     2    50 0.75 tig00000001_pilon_2216 # 2303357 # 2303599 # 1 # ID=1_2216;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon:2303357-2303599|+ -             81 29492                -             59      0.26    9.0  16.1   2   2      0.16     1e+02    0.7   7.7    33    51    57    75    29    79 0.72 tig00000001_pilon_2216 # 2303357 # 2303599 # 1 # ID=1_2216;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000002_pilon:176225-176473|-   -             83 29492                -             59       5.2    4.8  15.5   1   2    0.0056       3.5    5.4   5.2     8    27     4    23     2    49 0.81 tig00000002_pilon_173 # 176225 # 176473 # -1 # ID=2_173;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000002_pilon:176225-176473|-   -             83 29492                -             59       5.2    4.8  15.5   2   2      0.09        56    1.5   6.6    34    51    58    75    29    80 0.85 tig00000002_pilon_173 # 176225 # 176473 # -1 # ID=2_173;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29492at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:04 2026
# [ok]
