#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:427973-428872|-   -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 tig00000001_pilon_395 # 427973 # 428872 # -1 # ID=1_395;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
tig00000001_pilon:2140916-2143732|+ -            939 28021                -            290   0.00025   18.2   0.0   1   2     0.037         5    4.1   0.0   151   169    25    43    10    63 0.79 tig00000001_pilon_2056 # 2140916 # 2143732 # 1 # ID=1_2056;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon:2140916-2143732|+ -            939 28021                -            290   0.00025   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 tig00000001_pilon_2056 # 2140916 # 2143732 # 1 # ID=1_2056;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon:1033111-1033812|+ -            234 28021                -            290   0.00062   16.9   0.0   1   1     7e-06   0.00094   16.3   0.0   125   172     6    53     2    66 0.78 tig00000001_pilon_968 # 1033111 # 1033812 # 1 # ID=1_968;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:1184974-1185612|+ -            213 28021                -            290   0.00087   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 tig00000001_pilon_1102 # 1184974 # 1185612 # 1 # ID=1_1102;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001_pilon:564895-566310|-   -            472 28021                -            290   0.00087   16.4   3.7   1   3   0.00017     0.023   11.7   0.1   148   172    25    49     4    64 0.74 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:564895-566310|-   -            472 28021                -            290   0.00087   16.4   3.7   2   3     0.028       3.7    4.5   0.3   150   176   277   303   194   315 0.69 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:564895-566310|-   -            472 28021                -            290   0.00087   16.4   3.7   3   3       2.1   2.8e+02   -1.7   0.0    75   119   420   463   412   471 0.76 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:643432-644829|-   -            466 28021                -            290   0.00094   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 tig00000001_pilon_583 # 643432 # 644829 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001_pilon:643432-644829|-   -            466 28021                -            290   0.00094   16.3   0.6   2   3    0.0048      0.65    7.0   0.0   149   184   223   259   190   266 0.79 tig00000001_pilon_583 # 643432 # 644829 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001_pilon:643432-644829|-   -            466 28021                -            290   0.00094   16.3   0.6   3   3      0.32        42    1.0   0.0   101   173   331   402   289   438 0.62 tig00000001_pilon_583 # 643432 # 644829 # -1 # ID=1_583;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
tig00000001_pilon:2407644-2408414|- -            257 28021                -            290   0.00098   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 tig00000001_pilon_2310 # 2407644 # 2408414 # -1 # ID=1_2310;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
