#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1611968-1613281|+ -            438 27810                -            433  3.8e-212  702.1   0.2   1   1  5.5e-215  4.3e-212  701.9   0.2     1   430     1   430     1   433 1.00 tig00000001_pilon_1529 # 1611968 # 1613281 # 1 # ID=1_1529;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon:353397-354902|+   -            502 27810                -            433   4.9e-12   42.7   0.0   1   2   0.00034      0.26    7.3   0.1    33    65   107   139    93   156 0.84 tig00000001_pilon_345 # 353397 # 354902 # 1 # ID=1_345;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:353397-354902|+   -            502 27810                -            433   4.9e-12   42.7   0.0   2   2   4.8e-12   3.7e-09   33.2   0.0   199   416   246   472   211   473 0.73 tig00000001_pilon_345 # 353397 # 354902 # 1 # ID=1_345;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:2226715-2228049|+ -            445 27810                -            433   8.4e-05   18.8   0.7   1   3      0.11        85   -1.0   0.0    50    68    14    32     2    36 0.82 tig00000001_pilon_2131 # 2226715 # 2228049 # 1 # ID=1_2131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001_pilon:2226715-2228049|+ -            445 27810                -            433   8.4e-05   18.8   0.7   2   3     0.012       9.6    2.2   0.1    34    62   100   128    78   136 0.84 tig00000001_pilon_2131 # 2226715 # 2228049 # 1 # ID=1_2131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001_pilon:2226715-2228049|+ -            445 27810                -            433   8.4e-05   18.8   0.7   3   3   3.9e-06     0.003   13.7   0.0   224   345   231   347   167   381 0.74 tig00000001_pilon_2131 # 2226715 # 2228049 # 1 # ID=1_2131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001_pilon:1369345-1370706|+ -            454 27810                -            433    0.0017   14.5   1.9   1   3   0.00037      0.29    7.2   0.1    33    62   106   135    97   142 0.77 tig00000001_pilon_1283 # 1369345 # 1370706 # 1 # ID=1_1283;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001_pilon:1369345-1370706|+ -            454 27810                -            433    0.0017   14.5   1.9   2   3   0.00061      0.47    6.5   0.1   207   276   230   296   176   318 0.70 tig00000001_pilon_1283 # 1369345 # 1370706 # 1 # ID=1_1283;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001_pilon:1369345-1370706|+ -            454 27810                -            433    0.0017   14.5   1.9   3   3      0.51   3.9e+02   -3.1   0.0   333   386   347   397   331   425 0.47 tig00000001_pilon_1283 # 1369345 # 1370706 # 1 # ID=1_1283;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27810at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27810at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27810at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:57:55 2026
# [ok]
