#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:52165-52692|-     -            176 18111                -            174     3e-98  324.1   2.4   1   1  6.5e-101   3.3e-98  324.0   2.4     1   174     1   174     1   174 0.99 tig00000001_pilon_39 # 52165 # 52692 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:1580422-1581186|+ -            255 18111                -            174   1.3e-08   32.2   0.0   1   2    0.0037       1.9    5.7   0.0    27    77     3    51     1    81 0.78 tig00000001_pilon_1504 # 1580422 # 1581186 # 1 # ID=1_1504;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001_pilon:1580422-1581186|+ -            255 18111                -            174   1.3e-08   32.2   0.0   2   2   6.4e-09   3.3e-06   24.5   0.1    92   136   181   225   177   230 0.94 tig00000001_pilon_1504 # 1580422 # 1581186 # 1 # ID=1_1504;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001_pilon:822637-823332|+   -            232 18111                -            174   4.7e-05   20.7   0.0   1   2      0.61   3.2e+02   -1.5   0.1    27    42     3    18     1    25 0.82 tig00000001_pilon_764 # 822637 # 823332 # 1 # ID=1_764;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001_pilon:822637-823332|+   -            232 18111                -            174   4.7e-05   20.7   0.0   2   2   2.9e-07   0.00015   19.1   0.0    61   134   118   197    99   203 0.79 tig00000001_pilon_764 # 822637 # 823332 # 1 # ID=1_764;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001_pilon:247645-248352|+   -            236 18111                -            174   0.00073   16.8   0.0   1   2      0.87   4.5e+02   -2.0   0.0    27    44     2    19     1    31 0.81 tig00000001_pilon_263 # 247645 # 248352 # 1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
tig00000001_pilon:247645-248352|+   -            236 18111                -            174   0.00073   16.8   0.0   2   2   5.7e-06    0.0029   14.9   0.0    48   132   104   199    96   205 0.80 tig00000001_pilon_263 # 247645 # 248352 # 1 # ID=1_263;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
tig00000001_pilon:1827472-1828167|+ -            232 18111                -            174    0.0028   14.9   0.0   1   3     0.021        11    3.3   0.0    27    40     2    15     1    36 0.91 tig00000001_pilon_1738 # 1827472 # 1828167 # 1 # ID=1_1738;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001_pilon:1827472-1828167|+ -            232 18111                -            174    0.0028   14.9   0.0   2   3       1.3   6.6e+02   -2.6   0.0    75   106    60    91    42   103 0.68 tig00000001_pilon_1738 # 1827472 # 1828167 # 1 # ID=1_1738;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001_pilon:1827472-1828167|+ -            232 18111                -            174    0.0028   14.9   0.0   3   3   0.00032      0.17    9.1   0.0   102   139   159   196   140   223 0.83 tig00000001_pilon_1738 # 1827472 # 1828167 # 1 # ID=1_1738;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001_pilon:2286037-2286750|+ -            238 18111                -            174     0.022   12.0   0.0   1   1   0.00011     0.059   10.6   0.0    54   138    98   190    85   199 0.76 tig00000001_pilon_2190 # 2286037 # 2286750 # 1 # ID=1_2190;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18111at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:54:15 2026
# [ok]
