#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1751168-1751875|+ -            236 17381                -            234  9.1e-143  471.4   0.8   1   1  3.9e-145    1e-142  471.2   0.8     1   234     1   235     1   235 0.99 tig00000001_pilon_1670 # 1751168 # 1751875 # 1 # ID=1_1670;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
tig00000002_pilon:96498-97232|-     -            245 17381                -            234   7.8e-32  108.3   0.1   1   1   3.5e-34     9e-32  108.1   0.1     6   230     9   235     4   239 0.92 tig00000002_pilon_98 # 96498 # 97232 # -1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001_pilon:2725101-2725820|+ -            240 17381                -            234   6.3e-29   98.8   0.0   1   1     3e-31   7.7e-29   98.5   0.0     5   221     1   222     1   230 0.91 tig00000001_pilon_2613 # 2725101 # 2725820 # 1 # ID=1_2613;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon:1202892-1203593|+ -            234 17381                -            234   3.9e-26   89.7   0.7   1   1   1.9e-28   4.8e-26   89.4   0.7     6   225     6   222     1   230 0.89 tig00000001_pilon_1120 # 1202892 # 1203593 # 1 # ID=1_1120;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000002_pilon:196565-197299|+   -            245 17381                -            234     1e-21   75.2   0.3   1   1     5e-24   1.3e-21   74.9   0.3    13   219     8   215     4   227 0.92 tig00000002_pilon_192 # 196565 # 197299 # 1 # ID=2_192;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
tig00000001_pilon:794896-795609|+   -            238 17381                -            234   4.2e-15   53.6   0.2   1   1   2.1e-17   5.4e-15   53.2   0.2    13   230     9   228     3   231 0.88 tig00000001_pilon_736 # 794896 # 795609 # 1 # ID=1_736;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001_pilon:1454532-1455611|+ -            360 17381                -            234   5.6e-14   49.9   0.2   1   1   3.9e-16     1e-13   49.1   0.2     8    78     4    74     1    89 0.92 tig00000001_pilon_1387 # 1454532 # 1455611 # 1 # ID=1_1387;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000002_pilon:197283-197981|+   -            233 17381                -            234     1e-12   45.8   0.0   1   1   6.8e-15   1.8e-12   45.0   0.0    11    92    12    94     6   200 0.83 tig00000002_pilon_193 # 197283 # 197981 # 1 # ID=2_193;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:2557190-2558614|- -            475 17381                -            234   1.1e-11   42.4   0.0   1   1   7.9e-14     2e-11   41.5   0.0     4    72     9    77     6    84 0.95 tig00000001_pilon_2454 # 2557190 # 2558614 # -1 # ID=1_2454;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001_pilon:197776-198420|-   -            215 17381                -            234   1.3e-11   42.2   0.1   1   1   8.9e-14   2.3e-11   41.4   0.1     6    74    10    78     6   110 0.87 tig00000001_pilon_213 # 197776 # 198420 # -1 # ID=1_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001_pilon:338468-339514|+   -            349 17381                -            234   8.2e-09   33.0   0.0   1   1   4.6e-11   1.2e-08   32.5   0.0     5    73     3    71     1    88 0.92 tig00000001_pilon_334 # 338468 # 339514 # 1 # ID=1_334;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
