#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2130115-2131620|- -            502 21416                -            489  6.1e-246  814.2  11.4   1   1  2.6e-248  7.2e-246  813.9  11.4     3   488     5   498     3   499 0.97 NZ_CP014529.1_2072 # 2130115 # 2131620 # -1 # ID=1_2072;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NZ_CP014529.1:2304399-2306234|- -            612 21416                -            489   1.4e-59  199.5  12.2   1   2     5e-12   1.4e-09   34.6   3.2    25   259    13   251     2   260 0.66 NZ_CP014529.1_2266 # 2304399 # 2306234 # -1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:2304399-2306234|- -            612 21416                -            489   1.4e-59  199.5  12.2   2   2   3.8e-53   1.1e-50  170.2   1.7   243   485   358   602   292   606 0.86 NZ_CP014529.1_2266 # 2304399 # 2306234 # -1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1725641-1726981|- -            447 21416                -            489   8.2e-52  173.9   9.6   1   2   1.7e-05    0.0047   13.1   1.8   127   214   123   214    12   217 0.69 NZ_CP014529.1_1693 # 1725641 # 1726981 # -1 # ID=1_1693;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NZ_CP014529.1:1725641-1726981|- -            447 21416                -            489   8.2e-52  173.9   9.6   2   2   9.2e-52   2.6e-49  165.6   1.2   263   486   220   443   216   446 0.93 NZ_CP014529.1_1693 # 1725641 # 1726981 # -1 # ID=1_1693;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NZ_CP014529.1:1258998-1260734|- -            579 21416                -            489   2.7e-49  165.6  14.6   1   2    0.0018      0.51    6.4   6.7    95   261    66   241    28   263 0.55 NZ_CP014529.1_1222 # 1258998 # 1260734 # -1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:1258998-1260734|- -            579 21416                -            489   2.7e-49  165.6  14.6   2   2   9.3e-51   2.6e-48  162.3   0.9   254   485   350   577   342   578 0.93 NZ_CP014529.1_1222 # 1258998 # 1260734 # -1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:366507-367550|+   -            348 21416                -            489   3.8e-41  138.7   7.2   1   1   1.4e-43   3.8e-41  138.7   7.2   184   483    50   344    36   346 0.92 NZ_CP014529.1_362 # 366507 # 367550 # 1 # ID=1_362;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:1351618-1353066|+ -            483 21416                -            489   1.7e-40  136.6  12.9   1   1   1.2e-42   3.3e-40  135.6  12.9    78   487    53   478    20   480 0.74 NZ_CP014529.1_1314 # 1351618 # 1353066 # 1 # ID=1_1314;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NZ_CP014531.1:8526-9668|-       -            381 21416                -            489   5.7e-29   98.6   4.1   1   1     2e-31   5.7e-29   98.6   4.1   178   486    66   371    49   373 0.81 NZ_CP014531.1_12 # 8526 # 9668 # -1 # ID=3_12;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NZ_CP014529.1:2748106-2749314|+ -            403 21416                -            489   2.3e-27   93.3   1.7   1   1   1.1e-29   3.2e-27   92.8   1.7   257   488   157   388    83   389 0.80 NZ_CP014529.1_2636 # 2748106 # 2749314 # 1 # ID=1_2636;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
