#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:47684-49246|+     -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:1912912-1914438|- -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 NZ_CP014529.1_1869 # 1912912 # 1914438 # -1 # ID=1_1869;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1845967-1846704|- -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 NZ_CP014529.1_1807 # 1845967 # 1846704 # -1 # ID=1_1807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:1488005-1488742|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   6.9e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 NZ_CP014529.1_1464 # 1488005 # 1488742 # -1 # ID=1_1464;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:508786-509829|+   -            348 18543                -            519   7.6e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 NZ_CP014529.1_491 # 508786 # 509829 # 1 # ID=1_491;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:156564-157304|-   -            247 18543                -            519   2.3e-35  119.4   1.6   1   1   6.9e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 NZ_CP014529.1_159 # 156564 # 157304 # -1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014529.1:571947-573020|+   -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.3e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 NZ_CP014529.1_549 # 571947 # 573020 # 1 # ID=1_549;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NZ_CP014529.1:201222-202397|-   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.7e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 NZ_CP014529.1_202 # 201222 # 202397 # -1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
NZ_CP014529.1:996345-997088|+   -            248 18543                -            519   7.3e-32  107.9   0.0   1   1   2.2e-33   8.8e-32  107.6   0.0     7   226     2   216     1   230 0.93 NZ_CP014529.1_970 # 996345 # 997088 # 1 # ID=1_970;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NZ_CP014529.1:1970794-1971486|- -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 NZ_CP014529.1_1927 # 1970794 # 1971486 # -1 # ID=1_1927;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NZ_CP014529.1:373571-374323|+   -            251 18543                -            519   5.3e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 NZ_CP014529.1_371 # 373571 # 374323 # 1 # ID=1_371;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
