#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2167668-2168777|- -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.1e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NZ_CP014529.1_2102 # 2167668 # 2168777 # -1 # ID=1_2102;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NZ_CP014529.1:2022058-2023368|- -            437 16872                -            369   4.3e-09   33.1   5.2   1   4   0.00021     0.082    9.2   0.1   167   224     6    61     3    63 0.69 NZ_CP014529.1_1977 # 2022058 # 2023368 # -1 # ID=1_1977;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:2022058-2023368|- -            437 16872                -            369   4.3e-09   33.1   5.2   2   4      0.31   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 NZ_CP014529.1_1977 # 2022058 # 2023368 # -1 # ID=1_1977;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:2022058-2023368|- -            437 16872                -            369   4.3e-09   33.1   5.2   3   4   1.4e-06   0.00054   16.3   0.1   166   230   176   239   156   257 0.77 NZ_CP014529.1_1977 # 2022058 # 2023368 # -1 # ID=1_1977;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:2022058-2023368|- -            437 16872                -            369   4.3e-09   33.1   5.2   4   4   0.00046      0.18    8.1   0.1   102   169   288   354   248   370 0.81 NZ_CP014529.1_1977 # 2022058 # 2023368 # -1 # ID=1_1977;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:2001460-2002320|- -            287 16872                -            369   1.8e-06   24.5   0.0   1   1   6.8e-09   2.6e-06   23.9   0.0    88   226    38   177    15   212 0.67 NZ_CP014529.1_1954 # 2001460 # 2002320 # -1 # ID=1_1954;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NZ_CP014529.1:1166582-1167481|+ -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   6.5e-08   2.5e-05   20.7   0.1   167   237     9    78     3   103 0.71 NZ_CP014529.1_1138 # 1166582 # 1167481 # 1 # ID=1_1138;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:2760042-2761439|- -            466 16872                -            369   0.00057   16.3   0.2   1   2   1.5e-06   0.00057   16.3   0.2   148   231   208   292   189   310 0.73 NZ_CP014529.1_2646 # 2760042 # 2761439 # -1 # ID=1_2646;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NZ_CP014529.1:2760042-2761439|- -            466 16872                -            369   0.00057   16.3   0.2   2   2       1.6   6.2e+02   -3.6   0.1   105   128   338   360   335   364 0.80 NZ_CP014529.1_2646 # 2760042 # 2761439 # -1 # ID=1_2646;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NZ_CP014529.1:2754202-2755302|- -            367 16872                -            369     0.004   13.5   0.1   1   2   6.1e-05     0.024   10.9   0.0   169   193     7    31     4    43 0.88 NZ_CP014529.1_2640 # 2754202 # 2755302 # -1 # ID=1_2640;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NZ_CP014529.1:2754202-2755302|- -            367 16872                -            369     0.004   13.5   0.1   2   2      0.15        58   -0.2   0.0   122   155   218   251   183   259 0.69 NZ_CP014529.1_2640 # 2754202 # 2755302 # -1 # ID=1_2640;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
