#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:669346-669990|+   -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 NZ_CP014529.1_641 # 669346 # 669990 # 1 # ID=1_641;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
NZ_CP014529.1:396840-397547|+   -            236 28730                -            213    0.0007   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 NZ_CP014529.1_390 # 396840 # 397547 # 1 # ID=1_390;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NZ_CP014529.1:396840-397547|+   -            236 28730                -            213    0.0007   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 NZ_CP014529.1_390 # 396840 # 397547 # 1 # ID=1_390;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NZ_CP014529.1:229826-230479|+   -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 NZ_CP014529.1_228 # 229826 # 230479 # 1 # ID=1_228;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
NZ_CP014529.1:229826-230479|+   -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.027   11.6   0.2   123   189   116   184   105   212 0.75 NZ_CP014529.1_228 # 229826 # 230479 # 1 # ID=1_228;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
NZ_CP014529.1:823992-825629|+   -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.8e+02   -3.2   0.0    58    87   184   214   175   218 0.67 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:823992-825629|+   -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:823992-825629|+   -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.5    3.8   0.0    53    76   461   484   427   499 0.89 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:2487601-2489385|+ -            595 28730                -            213    0.0035   14.5   0.2   1   2    0.0031      0.97    6.5   0.0     6    25   384   403   381   413 0.83 NZ_CP014529.1_2422 # 2487601 # 2489385 # 1 # ID=1_2422;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:2487601-2489385|+ -            595 28730                -            213    0.0035   14.5   0.2   2   2    0.0077       2.4    5.2   0.0    53    73   513   533   503   561 0.88 NZ_CP014529.1_2422 # 2487601 # 2489385 # 1 # ID=1_2422;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:557708-558409|+   -            234 28730                -            213    0.0038   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 NZ_CP014529.1_537 # 557708 # 558409 # 1 # ID=1_537;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
