#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1102767-1103474|+ -            236 17381                -            235    9e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 NZ_CP014529.1_1081 # 1102767 # 1103474 # 1 # ID=1_1081;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NZ_CP014530.1:68202-68936|-     -            245 17381                -            235   6.8e-36  121.4   0.3   1   1   3.3e-38   7.8e-36  121.2   0.3     5   231     8   235     4   239 0.94 NZ_CP014530.1_72 # 68202 # 68936 # -1 # ID=2_72;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014529.1:2076694-2077413|+ -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 NZ_CP014529.1_2025 # 2076694 # 2077413 # 1 # ID=1_2025;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:554490-555191|+   -            234 17381                -            235     4e-26   89.5   0.8   1   1     2e-28   4.7e-26   89.2   0.8     2   226     2   222     1   230 0.88 NZ_CP014529.1_532 # 554490 # 555191 # 1 # ID=1_532;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014530.1:168269-169003|+   -            245 17381                -            235   1.8e-24   84.1   0.6   1   1     1e-26   2.4e-24   83.6   0.6    13   220     8   215     5   223 0.93 NZ_CP014530.1_166 # 168269 # 169003 # 1 # ID=2_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.350
NZ_CP014529.1:146496-147209|+   -            238 17381                -            235   4.3e-18   63.2   0.3   1   1   2.3e-20   5.6e-18   62.8   0.3    12   232     8   229     3   231 0.90 NZ_CP014529.1_148 # 146496 # 147209 # 1 # ID=1_148;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NZ_CP014529.1:806131-807210|+   -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 NZ_CP014529.1_798 # 806131 # 807210 # 1 # ID=1_798;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NZ_CP014530.1:168987-169685|+   -            233 17381                -            235   1.6e-14   51.5   0.0   1   1   2.2e-16   5.2e-14   49.8   0.0    12    79    13    80     6   200 0.85 NZ_CP014530.1_167 # 168987 # 169685 # 1 # ID=2_167;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1908783-1910207|- -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.8e-12   44.2   0.0     3    72     8    77     6    83 0.95 NZ_CP014529.1_1866 # 1908783 # 1910207 # -1 # ID=1_1866;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NZ_CP014529.1:2314385-2315029|- -            215 17381                -            235   5.7e-12   43.1   0.2   1   1   3.1e-14   7.5e-12   42.7   0.2     6    74    10    78     5   132 0.90 NZ_CP014529.1_2277 # 2314385 # 2315029 # -1 # ID=1_2277;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NZ_CP014529.1:2455077-2456123|+ -            349 17381                -            235   2.6e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 NZ_CP014529.1_2398 # 2455077 # 2456123 # 1 # ID=1_2398;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
