#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_80003_cov_31.743608:39509-40369|+ -            287 20420                -            282  3.5e-156  516.0   0.3   1   1  1.2e-158    4e-156  515.8   0.3     1   281     1   281     1   282 1.00 NODE_11_length_80003_cov_31.743608_43 # 39509 # 40369 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 20420                -            282   4.6e-18   62.8   0.0   1   3   1.2e-10   4.2e-08   30.1   0.0   124   175     7    61     3    65 0.90 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 20420                -            282   4.6e-18   62.8   0.0   2   3   2.4e-10   8.1e-08   29.2   0.0    10   158    69   212    65   242 0.78 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 20420                -            282   4.6e-18   62.8   0.0   3   3      0.39   1.3e+02   -1.1   0.0    24    65   258   301   238   316 0.63 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 20420                -            282   7.1e-11   39.2   1.4   1   2   4.7e-09   1.6e-06   24.9   0.1   111   175   218   285   191   298 0.76 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 20420                -            282   7.1e-11   39.2   1.4   2   2   2.1e-05    0.0073   12.9   0.1    21    90   304   373   298   384 0.87 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 20420                -            282   1.8e-10   37.9   0.1   1   2   1.8e-12   6.2e-10   36.1   0.1   124   180    10    69     4    83 0.85 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 20420                -            282   1.8e-10   37.9   0.1   2   2      0.51   1.8e+02   -1.4   0.0    22    97    84   163    75   171 0.58 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_20_length_45277_cov_34.462408:39129-40238|+ -            370 20420                -            282   1.9e-09   34.5   0.1   1   1   1.5e-11   5.2e-09   33.1   0.1    27   188    77   237    67   262 0.73 NODE_20_length_45277_cov_34.462408_41 # 39129 # 40238 # 1 # ID=20_41;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_8_length_86165_cov_28.227035:65050-65637|-  -            196 20420                -            282   7.8e-09   32.5   0.0   1   2     5e-11   1.7e-08   31.4   0.0   126   186    29    90    25   129 0.87 NODE_8_length_86165_cov_28.227035_60 # 65050 # 65637 # -1 # ID=8_60;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_8_length_86165_cov_28.227035:65050-65637|-  -            196 20420                -            282   7.8e-09   32.5   0.0   2   2      0.62   2.1e+02   -1.7   0.0    27    62   109   146    92   163 0.63 NODE_8_length_86165_cov_28.227035_60 # 65050 # 65637 # -1 # ID=8_60;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 20420                -            282   3.8e-05   20.4   3.2   1   2   8.5e-06    0.0029   14.2   0.1    91   143   161   216   153   226 0.71 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 20420                -            282   3.8e-05   20.4   3.2   2   2    0.0035       1.2    5.6   0.4     3    67   252   322   250   358 0.69 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 20420                -            282   9.1e-05   19.2   0.2   1   2   2.1e-06    0.0007   16.3   0.1   121   155     3    36     1    40 0.84 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 20420                -            282   9.1e-05   19.2   0.2   2   2      0.13        45    0.5   0.0    49   103   198   257   191   275 0.70 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282   0.00029   17.5   0.1   1   3   8.4e-07   0.00029   17.5   0.1   124   176     4    57     1    75 0.83 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
