#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_58_length_13923_cov_28.107802:10144-11457|- -            438 19956                -            366   1.3e-17   61.1   0.1   1   2   1.7e-16   6.4e-14   48.9   0.0     5   134   163   269   159   287 0.86 NODE_58_length_13923_cov_28.107802_11 # 10144 # 11457 # -1 # ID=58_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_58_length_13923_cov_28.107802:10144-11457|- -            438 19956                -            366   1.3e-17   61.1   0.1   2   2    0.0046       1.8    4.7   0.0   250   303   302   361   291   381 0.81 NODE_58_length_13923_cov_28.107802_11 # 10144 # 11457 # -1 # ID=58_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   1   6   1.8e-05    0.0068   12.6   0.0     4    23     5    24     1    33 0.88 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   2   6      0.38   1.4e+02   -1.6   0.0   218   252    65   101    60   117 0.77 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   3   6    0.0013       0.5    6.5   0.0     6    22   178   194   174   200 0.88 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   4   6      0.78     3e+02   -2.6   0.0   222   252   246   276   238   286 0.77 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   5   6      0.26     1e+02   -1.1   0.1   187   250   310   339   255   371 0.59 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_11_length_80003_cov_31.743608:18461-19771|+ -            437 19956                -            366   4.2e-05   19.9   4.9   6   6      0.85   3.2e+02   -2.8   0.0   197   226   388   418   365   431 0.72 NODE_11_length_80003_cov_31.743608_20 # 18461 # 19771 # 1 # ID=11_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 19956                -            366   0.00075   15.8   0.0   1   2   4.6e-06    0.0018   14.5   0.0     5    39   196   230   193   257 0.94 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_28_length_32648_cov_29.742705:31346-32575|+ -            410 19956                -            366   0.00075   15.8   0.0   2   2      0.53     2e+02   -2.1   0.0    94   127   270   303   239   374 0.73 NODE_28_length_32648_cov_29.742705_30 # 31346 # 32575 # 1 # ID=28_30;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_20_length_45277_cov_34.462408:39129-40238|+ -            370 19956                -            366    0.0068   12.6   0.1   1   2      0.56   2.2e+02   -2.2   0.0   199   251   100   155    68   160 0.68 NODE_20_length_45277_cov_34.462408_41 # 39129 # 40238 # 1 # ID=20_41;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_20_length_45277_cov_34.462408:39129-40238|+ -            370 19956                -            366    0.0068   12.6   0.1   2   2   4.6e-05     0.018   11.3   0.0     7    28   169   190   165   210 0.81 NODE_20_length_45277_cov_34.462408_41 # 39129 # 40238 # 1 # ID=20_41;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 19956                -            366    0.0071   12.6   0.1   1   2     5e-05     0.019   11.1   0.1     6    24    10    28     6    69 0.79 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
