#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_59599_cov_35.538241:32687-33586|+ -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_13_length_59599_cov_35.538241_29 # 32687 # 33586 # 1 # ID=13_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_10_length_83811_cov_29.795656:73751-76567|+ -            939 28021                -            290   0.00025   18.2   0.0   1   2     0.037         5    4.1   0.0   151   169    25    43    10    63 0.79 NODE_10_length_83811_cov_29.795656_71 # 73751 # 76567 # 1 # ID=10_71;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_10_length_83811_cov_29.795656:73751-76567|+ -            939 28021                -            290   0.00025   18.2   0.0   2   2    0.0002     0.027   11.5   0.0   140   184   618   664   609   694 0.75 NODE_10_length_83811_cov_29.795656_71 # 73751 # 76567 # 1 # ID=10_71;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_19_length_49767_cov_34.796387:32152-32853|+ -            234 28021                -            290   0.00061   16.9   0.0   1   1     7e-06   0.00094   16.3   0.0   125   172     6    53     2    66 0.78 NODE_19_length_49767_cov_34.796387_34 # 32152 # 32853 # 1 # ID=19_34;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_7_length_86709_cov_33.100688:81579-82217|-  -            213 28021                -            290   0.00087   16.4   0.0   1   1   1.1e-05    0.0015   15.7   0.0   137   175    13    53     7    89 0.79 NODE_7_length_86709_cov_33.100688_79 # 81579 # 82217 # -1 # ID=7_79;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 28021                -            290   0.00087   16.4   3.7   1   3   0.00017     0.023   11.7   0.1   148   172    25    49     4    64 0.74 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 28021                -            290   0.00087   16.4   3.7   2   3     0.028       3.7    4.5   0.3   150   176   277   303   194   315 0.69 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 28021                -            290   0.00087   16.4   3.7   3   3       2.1   2.8e+02   -1.7   0.0    75   119   420   463   412   471 0.76 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 28021                -            290   0.00093   16.3   0.6   1   3     0.019       2.5    5.1   0.0     8    82    27   103    20   180 0.84 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 28021                -            290   0.00093   16.3   0.6   2   3    0.0048      0.64    7.0   0.0   149   184   223   259   190   266 0.79 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_4_length_101830_cov_39.048283:14824-16221|- -            466 28021                -            290   0.00093   16.3   0.6   3   3      0.32        42    1.0   0.0   101   173   331   402   289   438 0.62 NODE_4_length_101830_cov_39.048283_12 # 14824 # 16221 # -1 # ID=4_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
