#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_63_length_11496_cov_31.110392:9152-11305|+  -            718 27469                -            714         0 1066.3  14.3   1   1         0         0 1066.1  14.3     6   713    12   716     6   717 0.97 NODE_63_length_11496_cov_31.110392_7 # 9152 # 11305 # 1 # ID=63_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
NODE_2_length_109676_cov_33.984218:35801-37993|- -            731 27469                -            714   1.1e-24   84.2  16.0   1   3   7.3e-07   0.00056   15.7   0.6    36   131    28   136     1   181 0.65 NODE_2_length_109676_cov_33.984218_42 # 35801 # 37993 # -1 # ID=2_42;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NODE_2_length_109676_cov_33.984218:35801-37993|- -            731 27469                -            714   1.1e-24   84.2  16.0   2   3   7.3e-17   5.6e-14   48.8   0.3   282   488   210   414   200   429 0.82 NODE_2_length_109676_cov_33.984218_42 # 35801 # 37993 # -1 # ID=2_42;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NODE_2_length_109676_cov_33.984218:35801-37993|- -            731 27469                -            714   1.1e-24   84.2  16.0   3   3   1.5e-10   1.2e-07   27.9   3.9   545   685   444   579   409   606 0.74 NODE_2_length_109676_cov_33.984218_42 # 35801 # 37993 # -1 # ID=2_42;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
NODE_3_length_106498_cov_28.709525:91983-94022|- -            680 27469                -            714   3.6e-19   66.0   9.3   1   2     0.024        19    0.8   0.0    71    94   163   186   154   217 0.86 NODE_3_length_106498_cov_28.709525_86 # 91983 # 94022 # -1 # ID=3_86;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_3_length_106498_cov_28.709525:91983-94022|- -            680 27469                -            714   3.6e-19   66.0   9.3   2   2     5e-18   3.8e-15   52.7   8.5   280   698   293   669   267   679 0.74 NODE_3_length_106498_cov_28.709525_86 # 91983 # 94022 # -1 # ID=3_86;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_9_length_85202_cov_37.123657:26228-28399|-  -            724 27469                -            714   1.2e-10   37.8   2.3   1   3      0.33   2.5e+02   -2.9   0.0   140   184    61   104    46   114 0.74 NODE_9_length_85202_cov_37.123657_22 # 26228 # 28399 # -1 # ID=9_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
NODE_9_length_85202_cov_37.123657:26228-28399|-  -            724 27469                -            714   1.2e-10   37.8   2.3   2   3   1.5e-06    0.0012   14.7   0.0   288   424   283   421   277   458 0.68 NODE_9_length_85202_cov_37.123657_22 # 26228 # 28399 # -1 # ID=9_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
NODE_9_length_85202_cov_37.123657:26228-28399|-  -            724 27469                -            714   1.2e-10   37.8   2.3   3   3     1e-08   7.7e-06   21.9   0.5   553   671   499   602   478   611 0.74 NODE_9_length_85202_cov_37.123657_22 # 26228 # 28399 # -1 # ID=9_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.416
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27469at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27469at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27469at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:06 2026
# [ok]
