#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_38_length_23628_cov_35.195393:11017-13143|+ -            709 19543                -            709         0 1444.5  18.7   1   1         0         0 1444.3  18.7     1   708     1   706     1   707 0.99 NODE_38_length_23628_cov_35.195393_13 # 11017 # 13143 # 1 # ID=38_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_11_length_80003_cov_31.743608:17050-18279|+ -            410 19543                -            709   1.7e-37  126.6  18.1   1   4   4.3e-05     0.019   10.7   4.6   620   684    19    84     3   102 0.81 NODE_11_length_80003_cov_31.743608_19 # 17050 # 18279 # 1 # ID=11_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_11_length_80003_cov_31.743608:17050-18279|+ -            410 19543                -            709   1.7e-37  126.6  18.1   2   4   2.5e-06    0.0011   14.8   0.8   614   708   104   195    98   196 0.92 NODE_11_length_80003_cov_31.743608_19 # 17050 # 18279 # 1 # ID=11_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_11_length_80003_cov_31.743608:17050-18279|+ -            410 19543                -            709   1.7e-37  126.6  18.1   3   4   4.3e-16   1.9e-13   47.1   0.1   619   696   195   272   194   280 0.93 NODE_11_length_80003_cov_31.743608_19 # 17050 # 18279 # 1 # ID=11_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_11_length_80003_cov_31.743608:17050-18279|+ -            410 19543                -            709   1.7e-37  126.6  18.1   4   4     8e-21   3.5e-18   62.7   0.0   621   707   282   369   279   371 0.92 NODE_11_length_80003_cov_31.743608_19 # 17050 # 18279 # 1 # ID=11_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_13_length_59599_cov_35.538241:51037-51507|+ -            157 19543                -            709   1.6e-17   60.5   0.2   1   1   4.3e-20   1.9e-17   60.3   0.2   625   704     3    82     1    87 0.91 NODE_13_length_59599_cov_35.538241_45 # 51037 # 51507 # 1 # ID=13_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.410
NODE_29_length_31200_cov_30.116648:30021-30401|+ -            127 19543                -            709   6.5e-12   42.0   0.0   1   1   1.7e-14   7.7e-12   41.7   0.0   626   701     4    80     1    85 0.92 NODE_29_length_31200_cov_30.116648_31 # 30021 # 30401 # 1 # ID=29_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.344
NODE_8_length_86165_cov_28.227035:12791-14971|-  -            727 19543                -            709   1.1e-11   41.2   0.1   1   2       2.5   1.1e+03   -5.0   2.6   237   268    87   118    43   174 0.51 NODE_8_length_86165_cov_28.227035_14 # 12791 # 14971 # -1 # ID=8_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_8_length_86165_cov_28.227035:12791-14971|-  -            727 19543                -            709   1.1e-11   41.2   0.1   2   2   2.5e-14   1.1e-11   41.2   0.1   623   693   647   718   640   723 0.92 NODE_8_length_86165_cov_28.227035_14 # 12791 # 14971 # -1 # ID=8_14;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_22_length_43520_cov_30.536294:5985-8342|+   -            786 19543                -            709   0.00022   17.1   0.4   1   1   8.8e-07   0.00039   16.3   0.4   626   687   636   708   604   722 0.75 NODE_22_length_43520_cov_30.536294_8 # 5985 # 8342 # 1 # ID=22_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_34_length_25980_cov_30.418284:16939-18294|+ -            452 19543                -            709     0.001   14.9   0.7   1   1   1.5e-05    0.0064   12.3   0.5    23   220    20   235     7   253 0.64 NODE_34_length_25980_cov_30.418284_12 # 16939 # 18294 # 1 # ID=34_12;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
