All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     contigs       
# contigs (>= 0 bp)          227           
# contigs (>= 1000 bp)       46            
# contigs (>= 5000 bp)       40            
# contigs (>= 10000 bp)      36            
# contigs (>= 25000 bp)      30            
# contigs (>= 50000 bp)      17            
Total length (>= 0 bp)       3141990       
Total length (>= 1000 bp)    3127357       
Total length (>= 5000 bp)    3114259       
Total length (>= 10000 bp)   3083130       
Total length (>= 25000 bp)   2992699       
Total length (>= 50000 bp)   2543935       
# contigs                    47            
Largest contig               385945        
Total length                 3128256       
Reference length             3168410       
GC (%)                       37.71         
Reference GC (%)             37.70         
N50                          162800        
NG50                         162800        
N90                          31737         
NG90                         31036         
auN                          169706.4      
auNG                         167555.6      
L50                          7             
LG50                         7             
L90                          24            
LG90                         26            
# misassemblies              4             
# misassembled contigs       3             
Misassembled contigs length  307283        
# local misassemblies        0             
# scaffold gap ext. mis.     0             
# scaffold gap loc. mis.     0             
# unaligned mis. contigs     0             
# unaligned contigs          2 + 0 part    
Unaligned length             4989          
Genome fraction (%)          98.139        
Duplication ratio            1.003         
# N's per 100 kbp            0.00          
# mismatches per 100 kbp     50.81         
# indels per 100 kbp         7.28          
# genomic features           3335 + 17 part
Largest alignment            385945        
Total aligned length         3119273       
NA50                         128639        
NGA50                        128639        
NA90                         31036         
NGA90                        29482         
auNA                         161113.9      
auNGA                        159072.0      
LA50                         8             
LGA50                        8             
LA90                         26            
LGA90                        27            
