#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1390796-1392532|- -            579 1614                 -            563  9.4e-216  715.1  16.0   1   1  5.6e-218  1.1e-215  714.9  16.0     9   562    10   577     2   578 0.94 contig_2_pilon_1328 # 1390796 # 1392532 # -1 # ID=5_1328;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:331157-332992|+   -            612 1614                 -            563   1.6e-79  265.4  12.1   1   1   1.8e-81   3.7e-79  264.2  12.0   133   562   156   602     9   603 0.82 contig_1_pilon_288 # 331157 # 332992 # 1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
contig_1_pilon:505771-507276|+   -            502 1614                 -            563   1.3e-53  179.9   9.4   1   3      0.13        26    0.6   0.0   158   201    28    73    17    99 0.60 contig_1_pilon_482 # 505771 # 507276 # 1 # ID=1_482;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
contig_1_pilon:505771-507276|+   -            502 1614                 -            563   1.3e-53  179.9   9.4   2   3   0.00041     0.082    8.9   0.1   116   239   152   276   123   277 0.74 contig_1_pilon_482 # 505771 # 507276 # 1 # ID=1_482;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
contig_1_pilon:505771-507276|+   -            502 1614                 -            563   1.3e-53  179.9   9.4   3   3   3.3e-54   6.6e-52  174.2   4.4   342   562   272   495   263   496 0.95 contig_1_pilon_482 # 505771 # 507276 # 1 # ID=1_482;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
contig_1_pilon:1284325-1285773|- -            483 1614                 -            563   7.5e-48  160.8  16.6   1   2   1.4e-06   0.00028   17.0   4.0    38   244    49   260     3   262 0.72 contig_1_pilon_1240 # 1284325 # 1285773 # -1 # ID=1_1240;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
contig_1_pilon:1284325-1285773|- -            483 1614                 -            563   7.5e-48  160.8  16.6   2   2     9e-48   1.8e-45  153.0   6.1   336   561   248   475   247   477 0.93 contig_1_pilon_1240 # 1284325 # 1285773 # -1 # ID=1_1240;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
contig_2_pilon:498305-499348|+   -            348 1614                 -            563   2.9e-46  155.6   9.3   1   1   2.1e-48   4.2e-46  155.1   9.3   336   562   121   346   102   347 0.92 contig_2_pilon_468 # 498305 # 499348 # 1 # ID=5_468;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1_pilon:910410-911750|+   -            447 1614                 -            563   3.8e-44  148.6  11.5   1   2     7e-05     0.014   11.4   0.9   125   184   154   213    98   218 0.87 contig_1_pilon_861 # 910410 # 911750 # 1 # ID=1_861;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
contig_1_pilon:910410-911750|+   -            447 1614                 -            563   3.8e-44  148.6  11.5   2   2   1.2e-44   2.5e-42  142.6   3.6   342   562   219   442   199   443 0.89 contig_1_pilon_861 # 910410 # 911750 # 1 # ID=1_861;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
contig_2_pilon:114894-116102|+   -            403 1614                 -            563   4.4e-41  138.5   1.8   1   2       0.3        60   -0.6   0.0   159   226    82   150    44   156 0.80 contig_2_pilon_91 # 114894 # 116102 # 1 # ID=5_91;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
contig_2_pilon:114894-116102|+   -            403 1614                 -            563   4.4e-41  138.5   1.8   2   2   2.2e-43   4.4e-41  138.5   1.8   338   562   158   385   149   386 0.93 contig_2_pilon_91 # 114894 # 116102 # 1 # ID=5_91;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
contig_10_pilon:10643-11785|-    -            381 1614                 -            563   3.7e-39  132.1   0.1   1   3      0.58   1.2e+02   -1.6   0.2   156   178    12    34     2    72 0.51 contig_10_pilon_15 # 10643 # 11785 # -1 # ID=2_15;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
contig_10_pilon:10643-11785|-    -            381 1614                 -            563   3.7e-39  132.1   0.1   2   3    0.0097         2    4.3   1.8   160   238    74   149    60   150 0.79 contig_10_pilon_15 # 10643 # 11785 # -1 # ID=2_15;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
contig_10_pilon:10643-11785|-    -            381 1614                 -            563   3.7e-39  132.1   0.1   3   3   1.8e-41   3.7e-39  132.1   0.1   341   562   148   370   145   371 0.93 contig_10_pilon_15 # 10643 # 11785 # -1 # ID=2_15;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
contig_2_pilon:603839-604864|+   -            342 1614                 -            563   1.6e-28   97.1   1.1   1   1   1.3e-30   2.6e-28   96.3   0.9   344   562   119   333   111   334 0.89 contig_2_pilon_565 # 603839 # 604864 # 1 # ID=5_565;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_1_pilon:14186-15082|+     -            299 1614                 -            563   4.2e-23   79.1   2.7   1   2      0.21        42   -0.1   0.2    13   238     6    79     1    89 0.38 contig_1_pilon_18 # 14186 # 15082 # 1 # ID=1_18;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
contig_1_pilon:14186-15082|+     -            299 1614                 -            563   4.2e-23   79.1   2.7   2   2   2.1e-25   4.2e-23   79.1   2.7   350   545    87   281    73   295 0.87 contig_1_pilon_18 # 14186 # 15082 # 1 # ID=1_18;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
contig_11_pilon:113544-114863|+  -            440 1614                 -            563   2.9e-16   56.5  12.8   1   3      0.61   1.2e+02   -1.6   3.8   154   221     9    76     2    98 0.59 contig_11_pilon_113 # 113544 # 114863 # 1 # ID=3_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
contig_11_pilon:113544-114863|+  -            440 1614                 -            563   2.9e-16   56.5  12.8   2   3    0.0014      0.28    7.1   9.3   144   232   128   217    41   225 0.62 contig_11_pilon_113 # 113544 # 114863 # 1 # ID=3_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
contig_11_pilon:113544-114863|+  -            440 1614                 -            563   2.9e-16   56.5  12.8   3   3   1.5e-18   2.9e-16   56.5  12.8   336   483   224   369   212   416 0.90 contig_11_pilon_113 # 113544 # 114863 # 1 # ID=3_113;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
contig_1_pilon:1077453-1079189|+ -            579 1614                 -            563   2.5e-07   27.1  17.7   1   3      0.44        89   -1.2   0.3    49    53    52    56     3   112 0.49 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_1_pilon:1077453-1079189|+ -            579 1614                 -            563   2.5e-07   27.1  17.7   2   3   3.2e-06   0.00065   15.8   3.1    77   242   203   374   145   384 0.67 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_1_pilon:1077453-1079189|+ -            579 1614                 -            563   2.5e-07   27.1  17.7   3   3   2.7e-07   5.4e-05   19.4   1.7   414   562   433   568   394   569 0.77 contig_1_pilon_1032 # 1077453 # 1079189 # 1 # ID=1_1032;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
contig_1_pilon:684624-685409|-   -            262 1614                 -            563   9.4e-07   25.2   3.3   1   2      0.18        36    0.1   0.6   219   268    34    85    29   108 0.66 contig_1_pilon_649 # 684624 # 685409 # -1 # ID=1_649;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
contig_1_pilon:684624-685409|-   -            262 1614                 -            563   9.4e-07   25.2   3.3   2   2   4.6e-09   9.4e-07   25.2   3.3   448   563   132   248    77   248 0.79 contig_1_pilon_649 # 684624 # 685409 # -1 # ID=1_649;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
contig_1_pilon:425476-426543|+   -            356 1614                 -            563   5.2e-05   19.4   8.8   1   2   1.4e-06   0.00029   17.0   3.5   396   505   199   312   195   315 0.72 contig_1_pilon_406 # 425476 # 426543 # 1 # ID=1_406;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_1_pilon:425476-426543|+   -            356 1614                 -            563   5.2e-05   19.4   8.8   2   2    0.0054       1.1    5.1   0.4   528   562   317   351   309   352 0.89 contig_1_pilon_406 # 425476 # 426543 # 1 # ID=1_406;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_2_pilon:273308-275416|+   -            703 1614                 -            563   0.00091   15.3   1.6   1   2   5.3e-06    0.0011   15.1   0.2   459   511    25    75    10    81 0.90 contig_2_pilon_251 # 273308 # 275416 # 1 # ID=5_251;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_2_pilon:273308-275416|+   -            703 1614                 -            563   0.00091   15.3   1.6   2   2         2   4.1e+02   -3.4   0.1   192   219   294   321   289   334 0.56 contig_2_pilon_251 # 273308 # 275416 # 1 # ID=5_251;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/1614at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/1614at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/1614at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:21 2026
# [ok]
