#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1290828-1291256|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.2e-76   2.1e-73  242.4   9.7     2   139     4   142     3   142 0.97 contig_2_pilon_1236 # 1290828 # 1291256 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_1_pilon:821405-821851|+   -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   5.3e-29   1.2e-26   90.8   1.4     2   139     3   140     2   141 0.90 contig_1_pilon_778 # 821405 # 821851 # 1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
contig_1_pilon:599018-599485|+   -            156 29046                -            140   1.8e-23   80.6   3.6   1   1   9.4e-26   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 contig_1_pilon_560 # 599018 # 599485 # 1 # ID=1_560;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_1_pilon:341245-342384|-   -            380 29046                -            140     0.047   11.2   7.0   1   2   9.5e-05     0.022   12.2   2.9     3    80    49   126    47   138 0.90 contig_1_pilon_297 # 341245 # 342384 # -1 # ID=1_297;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
contig_1_pilon:341245-342384|-   -            380 29046                -            140     0.047   11.2   7.0   2   2      0.64   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 contig_1_pilon_297 # 341245 # 342384 # -1 # ID=1_297;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
contig_11_pilon:42309-42989|-    -            227 29046                -            140     0.053   11.0   2.3   1   2    0.0016      0.37    8.3   0.2    36    68    24    57     4    92 0.86 contig_11_pilon_46 # 42309 # 42989 # -1 # ID=3_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_11_pilon:42309-42989|-    -            227 29046                -            140     0.053   11.0   2.3   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_11_pilon_46 # 42309 # 42989 # -1 # ID=3_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_10_pilon:12585-13265|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_pilon_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:12585-13265|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:17550-18230|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_pilon_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:17550-18230|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:22535-23215|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_pilon_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:22535-23215|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:25280-25960|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_pilon_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:25280-25960|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10_pilon:6872-7552|+      -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_pilon_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:6872-7552|+      -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8_pilon:5739-6419|-       -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0019      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_8_pilon_8 # 5739 # 6419 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8_pilon:5739-6419|-       -            227 29046                -            140     0.099   10.1   3.6   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_8_pilon_8 # 5739 # 6419 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10_pilon:1439-2119|+      -            227 29046                -            140      0.17    9.4   4.5   1   2     0.002      0.47    7.9   0.8    36    68    24    57     4    89 0.84 contig_10_pilon_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_10_pilon:1439-2119|+      -            227 29046                -            140      0.17    9.4   4.5   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_pilon_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_11_pilon:15418-16098|+    -            227 29046                -            140      0.17    9.4   3.9   1   2    0.0027      0.64    7.5   0.6    36    68    24    57     4    91 0.84 contig_11_pilon_16 # 15418 # 16098 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_11_pilon:15418-16098|+    -            227 29046                -            140      0.17    9.4   3.9   2   2     0.081        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_11_pilon_16 # 15418 # 16098 # 1 # ID=3_16;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:50 2026
# [ok]
