#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:357229-358293|-   -            355 28228                -            346  7.4e-163  538.8   0.2   1   1  1.4e-165  8.4e-163  538.6   0.2     1   345     1   345     1   346 0.99 contig_2_pilon_330 # 357229 # 358293 # -1 # ID=5_330;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.452
contig_2_pilon:1155834-1156937|+ -            368 28228                -            346   3.4e-06   23.6   0.0   1   2      0.22   1.4e+02   -1.4   0.0   165   209   222   263   219   268 0.70 contig_2_pilon_1109 # 1155834 # 1156937 # 1 # ID=5_1109;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_2_pilon:1155834-1156937|+ -            368 28228                -            346   3.4e-06   23.6   0.0   2   2     2e-08   1.2e-05   21.8   0.0   242   322   280   360   266   364 0.86 contig_2_pilon_1109 # 1155834 # 1156937 # 1 # ID=5_1109;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_1_pilon:301728-302747|+   -            340 28228                -            346   4.9e-06   23.1   0.1   1   2      0.22   1.3e+02   -1.3   0.0   179   276   212   234   197   239 0.60 contig_1_pilon_257 # 301728 # 302747 # 1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
contig_1_pilon:301728-302747|+   -            340 28228                -            346   4.9e-06   23.1   0.1   2   2   3.3e-08     2e-05   21.1   0.0   243   324   257   338   249   338 0.92 contig_1_pilon_257 # 301728 # 302747 # 1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.434
contig_1_pilon:725943-726920|+   -            326 28228                -            346   0.00048   16.5   0.5   1   3       0.4   2.4e+02   -2.2   0.0    21    55     5    39     2    46 0.88 contig_1_pilon_687 # 725943 # 726920 # 1 # ID=1_687;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_1_pilon:725943-726920|+   -            326 28228                -            346   0.00048   16.5   0.5   2   3      0.23   1.4e+02   -1.4   0.0    97   127   124   155   115   164 0.69 contig_1_pilon_687 # 725943 # 726920 # 1 # ID=1_687;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_1_pilon:725943-726920|+   -            326 28228                -            346   0.00048   16.5   0.5   3   3   4.1e-06    0.0025   14.2   0.0   249   280   201   232   189   249 0.86 contig_1_pilon_687 # 725943 # 726920 # 1 # ID=1_687;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_2_pilon:118216-119700|-   -            495 28228                -            346     0.005   13.2   1.7   1   2      0.91   5.5e+02   -3.4   0.0    21    61    14    54     6    87 0.63 contig_2_pilon_93 # 118216 # 119700 # -1 # ID=5_93;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
contig_2_pilon:118216-119700|-   -            495 28228                -            346     0.005   13.2   1.7   2   2   9.8e-06    0.0059   12.9   0.3   243   277   330   366   313   375 0.77 contig_2_pilon_93 # 118216 # 119700 # -1 # ID=5_93;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28228at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28228at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28228at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:47 2026
# [ok]
