#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:315984-317396|+   -            471 27917                -            458  8.6e-212  701.4   3.4   1   1  1.9e-214  9.8e-212  701.2   3.4     1   457    21   468    21   469 0.99 contig_2_pilon_292 # 315984 # 317396 # 1 # ID=5_292;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_2_pilon:852741-854102|+   -            454 27917                -            458   6.1e-28   95.4   1.6   1   1   1.8e-30   9.2e-28   94.8   1.6   105   377   113   371   103   429 0.82 contig_2_pilon_801 # 852741 # 854102 # 1 # ID=5_801;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
contig_1_pilon:165880-167385|-   -            502 27917                -            458   5.7e-18   62.5   0.2   1   2   2.5e-13   1.2e-10   38.3   0.2    22   129    33   138    18   145 0.84 contig_1_pilon_145 # 165880 # 167385 # -1 # ID=1_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:165880-167385|-   -            502 27917                -            458   5.7e-18   62.5   0.2   2   2     3e-08   1.5e-05   21.5   0.0   228   441   255   471   241   481 0.72 contig_1_pilon_145 # 165880 # 167385 # -1 # ID=1_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_2_pilon:971917-973269|-   -            451 27917                -            458   1.6e-12   44.6   0.7   1   2   1.3e-06   0.00065   16.1   0.1   105   197    50   143    43   230 0.67 contig_2_pilon_935 # 971917 # 973269 # -1 # ID=5_935;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_2_pilon:971917-973269|-   -            451 27917                -            458   1.6e-12   44.6   0.7   2   2   6.4e-10   3.2e-07   27.0   0.0   255   319   246   307   237   353 0.79 contig_2_pilon_935 # 971917 # 973269 # -1 # ID=5_935;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_1_pilon:1057749-1059083|- -            445 27917                -            458   5.9e-11   39.3   0.3   1   3      0.14        72   -0.5   0.0    21    63    47    89    36    96 0.87 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:1057749-1059083|- -            445 27917                -            458   5.9e-11   39.3   0.3   2   3   0.00072      0.36    7.1   0.0   105   127   106   128    99   135 0.89 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:1057749-1059083|- -            445 27917                -            458   5.9e-11   39.3   0.3   3   3   1.9e-10   9.7e-08   28.8   0.0   179   347   166   330   161   371 0.82 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_2_pilon:1095365-1096678|+ -            438 27917                -            458   7.1e-06   22.6   0.9   1   2      0.11        55   -0.1   0.0   104   128    39    63    23    70 0.81 contig_2_pilon_1046 # 1095365 # 1096678 # 1 # ID=5_1046;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
contig_2_pilon:1095365-1096678|+ -            438 27917                -            458   7.1e-06   22.6   0.9   2   2   6.6e-08   3.3e-05   20.4   0.2   156   294   137   273   127   298 0.80 contig_2_pilon_1046 # 1095365 # 1096678 # 1 # ID=5_1046;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27917at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:46 2026
# [ok]
