#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:971917-973269|-   -            451 18664                -            447  1.1e-269  891.8   0.9   1   1  2.1e-272  1.3e-269  891.6   0.9     1   447     1   447     1   447 1.00 contig_2_pilon_935 # 971917 # 973269 # -1 # ID=5_935;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
contig_2_pilon:315984-317396|+   -            471 18664                -            447     4e-16   56.1   0.2   1   2   4.5e-07   0.00027   17.1   0.4    50   144   121   214   102   261 0.65 contig_2_pilon_292 # 315984 # 317396 # 1 # ID=5_292;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_2_pilon:315984-317396|+   -            471 18664                -            447     4e-16   56.1   0.2   2   2     6e-13   3.6e-10   36.5   0.0   247   349   271   375   265   417 0.85 contig_2_pilon_292 # 315984 # 317396 # 1 # ID=5_292;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_2_pilon:852741-854102|+   -            454 18664                -            447   6.4e-13   45.5   0.4   1   2   1.9e-08   1.2e-05   21.6   0.1    49   143   112   200    99   227 0.84 contig_2_pilon_801 # 852741 # 854102 # 1 # ID=5_801;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
contig_2_pilon:852741-854102|+   -            454 18664                -            447   6.4e-13   45.5   0.4   2   2   1.2e-08   7.6e-06   22.2   0.0   263   315   274   327   265   403 0.86 contig_2_pilon_801 # 852741 # 854102 # 1 # ID=5_801;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
contig_1_pilon:1057749-1059083|- -            445 18664                -            447   3.4e-05   20.1   5.5   1   3   0.00024      0.15    8.1   0.0    42    72    98   128    89   147 0.87 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:1057749-1059083|- -            445 18664                -            447   3.4e-05   20.1   5.5   2   3   0.00011     0.064    9.3   1.8   125   195   166   235   160   246 0.79 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:1057749-1059083|- -            445 18664                -            447   3.4e-05   20.1   5.5   3   3    0.0082         5    3.0   0.1   262   292   259   289   232   329 0.80 contig_1_pilon_1011 # 1057749 # 1059083 # -1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:165880-167385|-   -            502 18664                -            447     0.006   12.7   0.2   1   2     0.026        16    1.4   0.2    47    74   111   138    96   153 0.81 contig_1_pilon_145 # 165880 # 167385 # -1 # ID=1_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:165880-167385|-   -            502 18664                -            447     0.006   12.7   0.2   2   2   0.00015     0.088    8.8   0.0   249   333   292   376   283   393 0.83 contig_1_pilon_145 # 165880 # 167385 # -1 # ID=1_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.387
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18664at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/18664at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18664at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:30 2026
# [ok]
