#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1393826-1394164|+ -            113 17357                -            112   8.4e-59  194.3  12.7   1   1   1.8e-61   9.2e-59  194.1  12.7     1   112     1   112     1   112 0.99 contig_2_pilon_1331 # 1393826 # 1394164 # 1 # ID=5_1331;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.333
contig_11_pilon:70134-71093|-    -            320 17357                -            112     0.013   13.2   0.2   1   1   5.1e-05     0.026   12.3   0.2    18    56     4    42     1    86 0.78 contig_11_pilon_73 # 70134 # 71093 # -1 # ID=3_73;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.373
contig_11_pilon:47840-49135|-    -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 contig_11_pilon_50 # 47840 # 49135 # -1 # ID=3_50;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_11_pilon:47840-49135|-    -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        61    1.5   0.2    56    89   290   325   275   348 0.56 contig_11_pilon_50 # 47840 # 49135 # -1 # ID=3_50;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_1_pilon:278698-279993|+   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 contig_1_pilon_232 # 278698 # 279993 # 1 # ID=1_232;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_1_pilon:278698-279993|+   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        61    1.5   0.2    56    89   290   325   275   348 0.56 contig_1_pilon_232 # 278698 # 279993 # 1 # ID=1_232;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
contig_1_pilon:487694-488989|-   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 contig_1_pilon_468 # 487694 # 488989 # -1 # ID=1_468;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_1_pilon:487694-488989|-   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        61    1.5   0.2    56    89   290   325   275   348 0.56 contig_1_pilon_468 # 487694 # 488989 # -1 # ID=1_468;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_2_pilon:1385281-1386576|- -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 contig_2_pilon_1325 # 1385281 # 1386576 # -1 # ID=5_1325;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
contig_2_pilon:1385281-1386576|- -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        61    1.5   0.2    56    89   290   325   275   348 0.56 contig_2_pilon_1325 # 1385281 # 1386576 # -1 # ID=5_1325;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/17357at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:24 2026
# [ok]
