#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:849547-851739|+ -            731 23539                -            736         0 1161.9  17.4   1   1         0         0 1161.8  17.4     2   736     2   729     1   729 0.99 contig_2_pilon_799 # 849547 # 851739 # 1 # ID=5_799;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.388
contig_1_pilon:966123-968162|- -            680 23539                -            736   4.7e-33  111.7  10.1   1   3      0.27   1.6e+02   -2.5   0.2   628   690    34    98    31   106 0.59 contig_1_pilon_913 # 966123 # 968162 # -1 # ID=1_913;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
contig_1_pilon:966123-968162|- -            680 23539                -            736   4.7e-33  111.7  10.1   2   3   0.00088      0.53    5.7   0.0    73    89   170   186   165   196 0.91 contig_1_pilon_913 # 966123 # 968162 # -1 # ID=1_913;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
contig_1_pilon:966123-968162|- -            680 23539                -            736   4.7e-33  111.7  10.1   3   3     5e-35     3e-32  109.0   4.0   182   564   254   639   248   671 0.77 contig_1_pilon_913 # 966123 # 968162 # -1 # ID=1_913;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
contig_1_pilon:485319-487472|+ -            718 23539                -            736   4.3e-25   85.4  12.8   1   2     3e-05     0.018   10.6   0.1    11    90    18   100     9   139 0.68 contig_1_pilon_467 # 485319 # 487472 # 1 # ID=1_467;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
contig_1_pilon:485319-487472|+ -            718 23539                -            736   4.3e-25   85.4  12.8   2   2   6.5e-24   3.9e-21   72.3   9.5   219   602   285   707   276   714 0.74 contig_1_pilon_467 # 485319 # 487472 # 1 # ID=1_467;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=11-12bp;gc_cont=0.404
contig_1_pilon:829921-832302|- -            794 23539                -            736   7.9e-21   71.3   9.9   1   1     2e-23   1.2e-20   70.7   9.9   256   555   319   599   288   636 0.80 contig_1_pilon_787 # 829921 # 832302 # -1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1_pilon:188449-190620|+ -            724 23539                -            736   6.1e-12   41.9   9.9   1   2     0.092        56   -0.9   0.2    54   186    65   198    30   243 0.62 contig_1_pilon_161 # 188449 # 190620 # 1 # ID=1_161;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
contig_1_pilon:188449-190620|+ -            724 23539                -            736   6.1e-12   41.9   9.9   2   2   6.4e-14   3.9e-11   39.3   4.5   259   548   320   585   269   600 0.77 contig_1_pilon_161 # 188449 # 190620 # 1 # ID=1_161;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23539at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/23539at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23539at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:41 2026
# [ok]
