#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_127392_cov_103.596228:122917-124653|+ -            579 1614                 -            563  9.8e-216  715.1  16.0   1   1  5.6e-218  1.2e-215  714.9  16.0     9   562    10   577     2   578 0.94 NODE_7_length_127392_cov_103.596228_128 # 122917 # 124653 # 1 # ID=7_128;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_3_length_193524_cov_75.578528:39612-41447|-    -            612 1614                 -            563   1.7e-79  265.4  12.1   1   1   1.8e-81   3.8e-79  264.2  12.0   133   562   156   602     9   603 0.82 NODE_3_length_193524_cov_75.578528_67 # 39612 # 41447 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 1614                 -            563   1.3e-53  179.9   9.4   1   3      0.13        27    0.6   0.0   158   201    28    73    17    99 0.60 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 1614                 -            563   1.3e-53  179.9   9.4   2   3   0.00041     0.085    8.9   0.1   116   239   152   276   123   277 0.74 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 1614                 -            563   1.3e-53  179.9   9.4   3   3   3.3e-54   6.9e-52  174.2   4.4   342   562   272   495   263   496 0.95 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_7_length_127392_cov_103.596228:30586-32034|-   -            483 1614                 -            563   7.8e-48  160.8  16.6   1   2   1.4e-06   0.00029   17.0   4.0    38   244    49   260     3   262 0.72 NODE_7_length_127392_cov_103.596228_36 # 30586 # 32034 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_7_length_127392_cov_103.596228:30586-32034|-   -            483 1614                 -            563   7.8e-48  160.8  16.6   2   2     9e-48   1.9e-45  153.0   6.1   336   561   248   475   247   477 0.93 NODE_7_length_127392_cov_103.596228_36 # 30586 # 32034 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_14_length_67873_cov_82.007916:55457-56500|-    -            348 1614                 -            563   3.1e-46  155.6   9.3   1   1   2.1e-48   4.3e-46  155.1   9.3   336   562   121   346   102   347 0.92 NODE_14_length_67873_cov_82.007916_48 # 55457 # 56500 # -1 # ID=14_48;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_304474_cov_63.252055:219910-221250|+  -            447 1614                 -            563     4e-44  148.6  11.5   1   2     7e-05     0.015   11.4   0.9   125   184   154   213    98   218 0.87 NODE_1_length_304474_cov_63.252055_206 # 219910 # 221250 # 1 # ID=1_206;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_304474_cov_63.252055:219910-221250|+  -            447 1614                 -            563     4e-44  148.6  11.5   2   2   1.2e-44   2.6e-42  142.6   3.6   342   562   219   442   199   443 0.89 NODE_1_length_304474_cov_63.252055_206 # 219910 # 221250 # 1 # ID=1_206;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_37_length_17573_cov_153.551824:1616-2824|-     -            403 1614                 -            563   4.6e-41  138.5   1.8   1   2       0.3        63   -0.6   0.0   159   226    82   150    44   156 0.80 NODE_37_length_17573_cov_153.551824_2 # 1616 # 2824 # -1 # ID=37_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
