#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_304474_cov_63.252055:32453-33979|+   -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 NODE_1_length_304474_cov_63.252055_31 # 32453 # 33979 # 1 # ID=1_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_1_length_304474_cov_63.252055:100187-100924|+ -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 NODE_1_length_304474_cov_63.252055_93 # 100187 # 100924 # 1 # ID=1_93;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_2_length_252901_cov_71.242866:98700-99437|-   -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   6.9e-40   2.8e-38  129.1   1.4     9   221     7   218     2   228 0.92 NODE_2_length_252901_cov_71.242866_102 # 98700 # 99437 # -1 # ID=2_102;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_19_length_58687_cov_59.880605:4557-5600|+     -            348 18543                -            519   7.7e-38  127.6   1.3   1   1   3.4e-39   1.4e-37  126.8   1.3     6   232     6   236     2   258 0.87 NODE_19_length_58687_cov_59.880605_6 # 4557 # 5600 # 1 # ID=19_6;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_10_length_113754_cov_99.095655:36744-37484|+  -            247 18543                -            519   2.4e-35  119.4   1.6   1   1   6.9e-37   2.8e-35  119.2   1.6     4   218     3   216     1   227 0.91 NODE_10_length_113754_cov_99.095655_35 # 36744 # 37484 # 1 # ID=10_35;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_38_length_14421_cov_57.112802:8652-9725|+     -            358 18543                -            519   2.3e-33  112.9   1.8   1   1   7.3e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 NODE_38_length_14421_cov_57.112802_7 # 8652 # 9725 # 1 # ID=38_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_22_length_43876_cov_92.621673:35741-36916|+   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.7e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 NODE_22_length_43876_cov_92.621673_35 # 35741 # 36916 # 1 # ID=22_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_20_length_58283_cov_65.610712:20636-21379|-   -            248 18543                -            519   7.4e-32  107.9   0.0   1   1   2.2e-33     9e-32  107.6   0.0     7   226     2   216     1   230 0.93 NODE_20_length_58283_cov_65.610712_28 # 20636 # 21379 # -1 # ID=20_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_9_length_122393_cov_61.758630:23747-24439|-   -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.6e-31  105.3   0.2     6   225     4   222     1   229 0.90 NODE_9_length_122393_cov_61.758630_28 # 23747 # 24439 # -1 # ID=9_28;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_14_length_67873_cov_82.007916:48684-49436|-   -            251 18543                -            519   5.3e-31  105.0   0.3   1   1   1.5e-32   5.9e-31  104.9   0.3     4   201     2   205     1   236 0.87 NODE_14_length_67873_cov_82.007916_39 # 48684 # 49436 # -1 # ID=14_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_193524_cov_75.578528:48216-49409|-   -            398 18543                -            519   2.5e-30  102.8   0.5   1   2   6.3e-32   2.5e-30  102.8   0.5    11   223    32   245    21   282 0.85 NODE_3_length_193524_cov_75.578528_76 # 48216 # 49409 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_3_length_193524_cov_75.578528:48216-49409|-   -            398 18543                -            519   2.5e-30  102.8   0.5   2   2         7   2.8e+02   -2.9   0.1   446   485   335   378   296   383 0.70 NODE_3_length_193524_cov_75.578528_76 # 48216 # 49409 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_12_length_79680_cov_63.087599:46300-47217|-   -            306 18543                -            519   1.4e-29  100.4   2.2   1   1   7.8e-31   3.2e-29   99.2   2.2     4   230     6   221     3   283 0.86 NODE_12_length_79680_cov_63.087599_52 # 46300 # 47217 # -1 # ID=12_52;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_3_length_193524_cov_75.578528:78348-79280|-   -            311 18543                -            519     2e-29   99.9   0.5   1   1   6.2e-31   2.5e-29   99.5   0.5     6   223     2   214     1   229 0.93 NODE_3_length_193524_cov_75.578528_107 # 78348 # 79280 # -1 # ID=3_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_12_length_79680_cov_63.087599:40582-41517|-   -            312 18543                -            519   3.7e-29   99.0   0.1   1   1   1.1e-30   4.6e-29   98.7   0.1     6   231     4   225     1   235 0.90 NODE_12_length_79680_cov_63.087599_46 # 40582 # 41517 # -1 # ID=12_46;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_11_length_94214_cov_54.858857:15208-15975|+   -            256 18543                -            519     1e-28   97.5   0.5   1   1   2.9e-30   1.2e-28   97.3   0.5     5   216     3   218     1   240 0.84 NODE_11_length_94214_cov_54.858857_16 # 15208 # 15975 # 1 # ID=11_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_14_length_67873_cov_82.007916:37597-38298|-   -            234 18543                -            519   4.2e-28   95.5   0.2   1   1     2e-28   7.9e-27   91.3   0.2    17   219    18   215     2   226 0.83 NODE_14_length_67873_cov_82.007916_30 # 37597 # 38298 # -1 # ID=14_30;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_304474_cov_63.252055:217244-217930|- -            229 18543                -            519   3.2e-27   92.6   0.1   1   1   9.2e-29   3.7e-27   92.4   0.1     5   206     3   207     1   219 0.88 NODE_1_length_304474_cov_63.252055_203 # 217244 # 217930 # -1 # ID=1_203;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18543                -            519   9.3e-27   91.1   6.2   1   2   8.3e-15   3.3e-13   46.3   0.2    21   226    18   224     1   238 0.79 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18543                -            519   9.3e-27   91.1   6.2   2   2   4.7e-15   1.9e-13   47.1   1.3    23   219   270   447   254   465 0.84 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_5_length_181677_cov_163.395180:78902-79933|+  -            344 18543                -            519   2.9e-26   89.4   0.3   1   1   2.3e-27   9.4e-26   87.7   0.3    26   226    22   217     3   230 0.90 NODE_5_length_181677_cov_163.395180_84 # 78902 # 79933 # 1 # ID=5_84;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            519   1.3e-25   87.3   4.1   1   4   6.9e-12   2.8e-10   36.7   0.2     6    66     3    63     1    70 0.93 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            519   1.3e-25   87.3   4.1   2   4   8.2e-08   3.3e-06   23.3   0.0   402   483   158   236   134   267 0.83 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            519   1.3e-25   87.3   4.1   3   4   2.9e-06   0.00012   18.1   0.0    25    66   339   380   335   391 0.90 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 18543                -            519   1.3e-25   87.3   4.1   4   4    0.0037      0.15    7.9   0.0   400   441   434   475   402   507 0.79 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_6_length_133129_cov_71.626923:96818-97453|-   -            212 18543                -            519   2.4e-25   86.4   0.1   1   1     7e-27   2.8e-25   86.2   0.1     7   211     2   203     1   207 0.90 NODE_6_length_133129_cov_71.626923_85 # 96818 # 97453 # -1 # ID=6_85;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_5_length_181677_cov_163.395180:64035-64691|+  -            219 18543                -            519     9e-25   84.5   3.0   1   1   2.5e-25     1e-23   81.0   3.0     6   224     3   210     1   216 0.84 NODE_5_length_181677_cov_163.395180_68 # 64035 # 64691 # 1 # ID=5_68;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_4_length_185058_cov_63.073482:173877-174545|- -            223 18543                -            519   1.2e-24   84.0   0.4   1   1   3.6e-26   1.4e-24   83.8   0.4     6   207     3   206     1   217 0.87 NODE_4_length_185058_cov_63.073482_166 # 173877 # 174545 # -1 # ID=4_166;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_14_length_67873_cov_82.007916:57313-59649|+   -            779 18543                -            519   1.3e-24   84.0   0.4   1   2     1e-25   4.1e-24   82.3   0.4     9   219     4   217     1   223 0.81 NODE_14_length_67873_cov_82.007916_50 # 57313 # 59649 # 1 # ID=14_50;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_14_length_67873_cov_82.007916:57313-59649|+   -            779 18543                -            519   1.3e-24   84.0   0.4   2   2       3.2   1.3e+02   -1.8   0.0   267   296   453   482   438   507 0.73 NODE_14_length_67873_cov_82.007916_50 # 57313 # 59649 # 1 # ID=14_50;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 18543                -            519   1.4e-24   83.9   0.2   1   1   4.5e-26   1.8e-24   83.5   0.2    23   236    26   246    17   251 0.85 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_3_length_193524_cov_75.578528:141192-141929|- -            246 18543                -            519   1.5e-24   83.7   0.1   1   1   5.1e-26   2.1e-24   83.3   0.1    10   219     6   210     2   218 0.93 NODE_3_length_193524_cov_75.578528_164 # 141192 # 141929 # -1 # ID=3_164;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_4_length_185058_cov_63.073482:163667-164566|- -            300 18543                -            519   2.5e-24   83.0   0.9   1   1   8.5e-26   3.4e-24   82.6   0.9     7   229     2   216     1   255 0.93 NODE_4_length_185058_cov_63.073482_157 # 163667 # 164566 # -1 # ID=4_157;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_17_length_62801_cov_60.881707:1133-2755|-     -            541 18543                -            519   5.7e-24   81.9   0.1   1   4   4.3e-12   1.7e-10   37.4   0.0     7    67     2    62     1   103 0.91 NODE_17_length_62801_cov_60.881707_2 # 1133 # 2755 # -1 # ID=17_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_17_length_62801_cov_60.881707:1133-2755|-     -            541 18543                -            519   5.7e-24   81.9   0.1   2   4   2.3e-08   9.4e-07   25.0   0.0   394   481   146   230   125   265 0.84 NODE_17_length_62801_cov_60.881707_2 # 1133 # 2755 # -1 # ID=17_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_17_length_62801_cov_60.881707:1133-2755|-     -            541 18543                -            519   5.7e-24   81.9   0.1   3   4     0.037       1.5    4.6   0.0     8    64   321   377   316   393 0.85 NODE_17_length_62801_cov_60.881707_2 # 1133 # 2755 # -1 # ID=17_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_17_length_62801_cov_60.881707:1133-2755|-     -            541 18543                -            519   5.7e-24   81.9   0.1   4   4    0.0011     0.045    9.6   0.0   400   478   436   511   419   528 0.66 NODE_17_length_62801_cov_60.881707_2 # 1133 # 2755 # -1 # ID=17_2;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 18543                -            519   2.4e-23   79.8   0.6   1   4   7.3e-11   2.9e-09   33.3   0.2     7    66     4    63     1    72 0.92 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 18543                -            519   2.4e-23   79.8   0.6   2   4   5.2e-06   0.00021   17.3   0.0   399   468   160   229   136   256 0.75 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 18543                -            519   2.4e-23   79.8   0.6   3   4   8.4e-06   0.00034   16.6   0.0     5    50   327   372   324   390 0.88 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 18543                -            519   2.4e-23   79.8   0.6   4   4    0.0045      0.18    7.6   0.0   403   462   445   501   426   560 0.77 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_17_length_62801_cov_60.881707:60156-61025|+   -            290 18543                -            519     5e-23   78.7   0.0   1   1   1.7e-24   6.8e-23   78.3   0.0    23   225    24   229    16   239 0.83 NODE_17_length_62801_cov_60.881707_73 # 60156 # 61025 # 1 # ID=17_73;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_3_length_193524_cov_75.578528:179544-181298|+ -            585 18543                -            519   5.4e-23   78.6   0.5   1   1   2.2e-24   8.7e-23   78.0   0.5    23   225   367   567   363   575 0.87 NODE_3_length_193524_cov_75.578528_191 # 179544 # 181298 # 1 # ID=3_191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            519   7.1e-23   78.2   3.3   1   3   5.7e-13   2.3e-11   40.3   1.0   274   466    17   218     1   236 0.77 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            519   7.1e-23   78.2   3.3   2   3   3.7e-07   1.5e-05   21.1   0.0     9    66   330   387   323   398 0.84 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 18543                -            519   7.1e-23   78.2   3.3   3   3   8.6e-05    0.0035   13.3   0.0   133   183   433   486   417   496 0.81 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
