#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_123234_cov_76.327838:83996-85105|+   -            370 16872                -            369    4e-224  740.7   0.0   1   1  1.3e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_8_length_123234_cov_76.327838_84 # 83996 # 85105 # 1 # ID=8_84;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_9_length_122393_cov_61.758630:75011-76321|-   -            437 16872                -            369   4.4e-09   33.1   5.2   1   4   0.00024     0.083    9.2   0.1   167   224     6    61     3    63 0.69 NODE_9_length_122393_cov_61.758630_78 # 75011 # 76321 # -1 # ID=9_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_61.758630:75011-76321|-   -            437 16872                -            369   4.4e-09   33.1   5.2   2   4      0.34   1.2e+02   -1.2   0.0    56   111    61   122    36   126 0.59 NODE_9_length_122393_cov_61.758630_78 # 75011 # 76321 # -1 # ID=9_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_61.758630:75011-76321|-   -            437 16872                -            369   4.4e-09   33.1   5.2   3   4   1.6e-06   0.00055   16.3   0.1   166   230   176   239   156   257 0.77 NODE_9_length_122393_cov_61.758630_78 # 75011 # 76321 # -1 # ID=9_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_61.758630:75011-76321|-   -            437 16872                -            369   4.4e-09   33.1   5.2   4   4   0.00052      0.18    8.1   0.1   102   169   288   354   248   370 0.81 NODE_9_length_122393_cov_61.758630_78 # 75011 # 76321 # -1 # ID=9_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_61.758630:54413-55273|-   -            287 16872                -            369   1.9e-06   24.5   0.0   1   1   7.7e-09   2.7e-06   23.9   0.0    88   226    38   177    15   212 0.67 NODE_9_length_122393_cov_61.758630_55 # 54413 # 55273 # -1 # ID=9_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_4_length_185058_cov_63.073482:41337-42236|-   -            300 16872                -            369   1.3e-05   21.7   0.2   1   1   7.3e-08   2.6e-05   20.7   0.1   167   237     9    78     3   103 0.71 NODE_4_length_185058_cov_63.073482_39 # 41337 # 42236 # -1 # ID=4_39;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_33_length_26158_cov_60.272498:17980-19377|+   -            466 16872                -            369   0.00058   16.3   0.2   1   2   1.7e-06   0.00058   16.3   0.2   148   231   208   292   189   310 0.73 NODE_33_length_26158_cov_60.272498_18 # 17980 # 19377 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_33_length_26158_cov_60.272498:17980-19377|+   -            466 16872                -            369   0.00058   16.3   0.2   2   2       1.8   6.4e+02   -3.6   0.1   105   128   338   360   335   364 0.80 NODE_33_length_26158_cov_60.272498_18 # 17980 # 19377 # 1 # ID=33_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_33_length_26158_cov_60.272498:24117-25217|+   -            367 16872                -            369    0.0041   13.5   0.1   1   2   6.9e-05     0.024   10.9   0.0   169   193     7    31     4    43 0.88 NODE_33_length_26158_cov_60.272498_24 # 24117 # 25217 # 1 # ID=33_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_33_length_26158_cov_60.272498:24117-25217|+   -            367 16872                -            369    0.0041   13.5   0.1   2   2      0.17        59   -0.2   0.0   122   155   218   251   183   259 0.69 NODE_33_length_26158_cov_60.272498_24 # 24117 # 25217 # 1 # ID=33_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
