#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_35_length_20136_cov_58.418942:15037-17007|+    -            657 27459                -            688         0 1213.6  24.8   1   1         0         0 1213.4  24.8    35   687     1   656     1   656 0.99 NODE_35_length_20136_cov_58.418942_14 # 15037 # 17007 # 1 # ID=35_14;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.409
NODE_15_length_64299_cov_124.206128:8924-11287|+    -            788 27459                -            688  6.2e-104  346.2   9.3   1   2  1.4e-106  6.2e-104  346.2   9.3     3   586     3   620     1   648 0.86 NODE_15_length_64299_cov_124.206128_10 # 8924 # 11287 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.302
NODE_15_length_64299_cov_124.206128:8924-11287|+    -            788 27459                -            688  6.2e-104  346.2   9.3   2   2       1.4   6.5e+02   -4.2   0.2   213   272   718   777   712   779 0.73 NODE_15_length_64299_cov_124.206128_10 # 8924 # 11287 # 1 # ID=15_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.302
NODE_1_length_304474_cov_63.252055:190829-193057|+  -            743 27459                -            688   8.4e-90  299.5  22.8   1   2   1.9e-92   8.4e-90  299.5  19.8     1   569     1   614     1   664 0.79 NODE_1_length_304474_cov_63.252055_181 # 190829 # 193057 # 1 # ID=1_181;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_1_length_304474_cov_63.252055:190829-193057|+  -            743 27459                -            688   8.4e-90  299.5  22.8   2   2     0.069        31    0.2   0.5   613   665   634   682   612   705 0.62 NODE_1_length_304474_cov_63.252055_181 # 190829 # 193057 # 1 # ID=1_181;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_25_length_37898_cov_141.568757:1059-3263|+     -            735 27459                -            688   5.2e-86  287.0  18.5   1   1   3.7e-88   1.6e-85  285.3  18.4     1   578     1   625     1   666 0.83 NODE_25_length_37898_cov_141.568757_2 # 1059 # 3263 # 1 # ID=25_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_5_length_181677_cov_163.395180:175718-177727|- -            670 27459                -            688   1.2e-84  282.5  20.6   1   1   9.7e-87   4.4e-84  280.6  20.6     1   580     1   627     1   667 0.81 NODE_5_length_181677_cov_163.395180_176 # 175718 # 177727 # -1 # ID=5_176;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_9_length_122393_cov_61.758630:50540-52618|-    -            693 27459                -            688   2.1e-50  169.3  12.0   1   2   1.1e-51   4.9e-49  164.8   5.3    88   636    66   643    13   655 0.80 NODE_9_length_122393_cov_61.758630_52 # 50540 # 52618 # -1 # ID=9_52;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.392
NODE_9_length_122393_cov_61.758630:50540-52618|-    -            693 27459                -            688   2.1e-50  169.3  12.0   2   2   0.00021     0.094    8.5   0.5   573   599   659   685   649   691 0.91 NODE_9_length_122393_cov_61.758630_52 # 50540 # 52618 # -1 # ID=9_52;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.392
NODE_11_length_94214_cov_54.858857:5751-6347|+      -            199 27459                -            688    0.0058   12.5   0.0   1   1   1.7e-05    0.0075   12.2   0.0    86   121   123   161   107   172 0.75 NODE_11_length_94214_cov_54.858857_6 # 5751 # 6347 # 1 # ID=11_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27459at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/run_enterococcaceae_odb12/hmmer_output/27459at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27459at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:45:46 2026
# [ok]
