#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_94214_cov_54.858857:67893-70691|+ -            933 27414                -            927         0 1924.4   3.3   1   1         0         0 1924.2   3.3     1   927     1   930     1   930 0.99 NODE_11_length_94214_cov_54.858857_70 # 67893 # 70691 # 1 # ID=11_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_20_length_58283_cov_65.610712:54467-57112|- -            882 27414                -            927   2.1e-93  311.3   7.5   1   3   4.4e-32   2.8e-29   99.0   0.1    24   250    17   239     5   251 0.90 NODE_20_length_58283_cov_65.610712_59 # 54467 # 57112 # -1 # ID=20_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_20_length_58283_cov_65.610712:54467-57112|- -            882 27414                -            927   2.1e-93  311.3   7.5   2   3   9.1e-26   5.7e-23   78.1   0.7   299   473   252   430   242   436 0.92 NODE_20_length_58283_cov_65.610712_59 # 54467 # 57112 # -1 # ID=20_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_20_length_58283_cov_65.610712:54467-57112|- -            882 27414                -            927   2.1e-93  311.3   7.5   3   3   1.3e-43   8.1e-41  137.2   0.1   514   814   439   738   431   775 0.82 NODE_20_length_58283_cov_65.610712_59 # 54467 # 57112 # -1 # ID=20_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   1   6     3e-17   1.9e-14   50.0   0.8    19   197     4   169     1   175 0.88 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   2   6     0.029        19    0.3   0.0   402   430   182   210   172   222 0.86 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   3   6   1.4e-09   9.1e-07   24.5   0.2   222   371   236   388   229   406 0.83 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   4   6   3.1e-06     0.002   13.5   0.5   442   474   411   440   388   445 0.69 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   5   6   1.5e-10   9.3e-08   27.8   0.0   569   619   552   602   508   620 0.80 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_28_length_29579_cov_95.650511:10874-13288|- -            805 27414                -            927   2.9e-36  122.1  16.7   6   6   5.1e-06    0.0032   12.8   0.1   685   788   639   737   624   775 0.76 NODE_28_length_29579_cov_95.650511_7 # 10874 # 13288 # -1 # ID=28_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_6_length_133129_cov_71.626923:76408-78417|- -            670 27414                -            927   1.3e-17   60.4   0.5   1   2   1.5e-12   9.6e-10   34.4   0.5    47   202     4   147     2   176 0.80 NODE_6_length_133129_cov_71.626923_69 # 76408 # 78417 # -1 # ID=6_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_6_length_133129_cov_71.626923:76408-78417|- -            670 27414                -            927   1.3e-17   60.4   0.5   2   2   3.7e-09   2.3e-06   23.2   0.0   522   782   234   499   191   518 0.73 NODE_6_length_133129_cov_71.626923_69 # 76408 # 78417 # -1 # ID=6_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_12_length_79680_cov_63.087599:6861-8273|-   -            471 27414                -            927   2.7e-08   29.6   0.0   1   2    0.0075       4.7    2.3   0.0    57    95    30    68    11    98 0.83 NODE_12_length_79680_cov_63.087599_10 # 6861 # 8273 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_12_length_79680_cov_63.087599:6861-8273|-   -            471 27414                -            927   2.7e-08   29.6   0.0   2   2     1e-09   6.4e-07   25.0   0.0   559   652   235   329   208   362 0.82 NODE_12_length_79680_cov_63.087599_10 # 6861 # 8273 # -1 # ID=12_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27414at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/run_enterococcaceae_odb12/hmmer_output/27414at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27414at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:45:45 2026
# [ok]
