#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:49360-49788|-   -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   7.8e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_4_length_185058_cov_63.073482_47 # 49360 # 49788 # -1 # ID=4_47;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_1_length_304474_cov_63.252055:130905-131351|+ -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   4.5e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 NODE_1_length_304474_cov_63.252055_124 # 130905 # 131351 # 1 # ID=1_124;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_9_length_122393_cov_61.758630:90859-91326|-   -            156 29046                -            140   1.9e-23   80.6   3.6   1   1     8e-26   2.3e-23   80.3   3.6     4   139     6   146     3   147 0.89 NODE_9_length_122393_cov_61.758630_95 # 90859 # 91326 # -1 # ID=9_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_3_length_193524_cov_75.578528:30220-31359|+   -            380 29046                -            140     0.049   11.2   7.0   1   2     8e-05     0.023   12.2   2.9     3    80    49   126    47   138 0.90 NODE_3_length_193524_cov_75.578528_58 # 30220 # 31359 # 1 # ID=3_58;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_3_length_193524_cov_75.578528:30220-31359|+   -            380 29046                -            140     0.049   11.2   7.0   2   2      0.54   1.6e+02   -0.2   0.1    21    52   164   195   157   198 0.85 NODE_3_length_193524_cov_75.578528_58 # 30220 # 31359 # 1 # ID=3_58;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_41_length_12946_cov_332.044296:1662-2342|-    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_41_length_12946_cov_332.044296_3 # 1662 # 2342 # -1 # ID=41_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:1662-2342|-    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_41_length_12946_cov_332.044296_3 # 1662 # 2342 # -1 # ID=41_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:4407-5087|-    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_41_length_12946_cov_332.044296_6 # 4407 # 5087 # -1 # ID=41_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_41_length_12946_cov_332.044296:4407-5087|-    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_41_length_12946_cov_332.044296_6 # 4407 # 5087 # -1 # ID=41_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_42_length_10417_cov_270.845628:4730-5410|+    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_42_length_10417_cov_270.845628_8 # 4730 # 5410 # 1 # ID=42_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_42_length_10417_cov_270.845628:4730-5410|+    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_42_length_10417_cov_270.845628_8 # 4730 # 5410 # 1 # ID=42_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
