#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_113754_cov_99.095655:28375-30501|-  -            709 9804305              -            706         0 1058.2  13.6   1   1         0         0 1058.0  13.6     2   704     2   705     1   707 0.97 NODE_10_length_113754_cov_99.095655_26 # 28375 # 30501 # -1 # ID=10_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_9_length_122393_cov_61.758630:76503-77732|-   -            410 9804305              -            706   1.8e-53  179.3  17.0   1   4   1.3e-07   5.1e-05   19.2   4.7   606   697     9   104     3   107 0.78 NODE_9_length_122393_cov_61.758630_79 # 76503 # 77732 # -1 # ID=9_79;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_61.758630:76503-77732|-   -            410 9804305              -            706   1.8e-53  179.3  17.0   2   4   1.2e-08   4.6e-06   22.6   0.4   609   705   103   195    98   196 0.93 NODE_9_length_122393_cov_61.758630_79 # 76503 # 77732 # -1 # ID=9_79;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_61.758630:76503-77732|-   -            410 9804305              -            706   1.8e-53  179.3  17.0   3   4   1.1e-21   4.3e-19   65.7   0.1   615   697   195   276   192   284 0.94 NODE_9_length_122393_cov_61.758630_79 # 76503 # 77732 # -1 # ID=9_79;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_61.758630:76503-77732|-   -            410 9804305              -            706   1.8e-53  179.3  17.0   4   4   2.1e-26   8.4e-24   81.3   0.1   616   704   281   369   278   371 0.95 NODE_9_length_122393_cov_61.758630_79 # 76503 # 77732 # -1 # ID=9_79;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_18_length_59342_cov_60.374412:50806-51276|+   -            157 9804305              -            706   8.3e-22   74.7   0.4   1   1   2.6e-24     1e-21   74.4   0.4   621   703     3    84     1    87 0.94 NODE_18_length_59342_cov_60.374412_45 # 50806 # 51276 # 1 # ID=18_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.410
NODE_6_length_133129_cov_71.626923:21691-22071|-   -            127 9804305              -            706   5.6e-18   62.0   0.0   1   1   1.7e-20   6.8e-18   61.7   0.0   621   699     3    81     1    86 0.95 NODE_6_length_133129_cov_71.626923_17 # 21691 # 22071 # -1 # ID=6_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
NODE_2_length_252901_cov_71.242866:185414-187594|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   1   2      0.68   2.7e+02   -3.0   2.6   216   295    81   143    47   188 0.51 NODE_2_length_252901_cov_71.242866_177 # 185414 # 187594 # 1 # ID=2_177;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_2_length_252901_cov_71.242866:185414-187594|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   2   2     3e-20   1.2e-17   60.9   0.2   619   693   647   721   642   726 0.94 NODE_2_length_252901_cov_71.242866_177 # 185414 # 187594 # 1 # ID=2_177;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_304474_cov_63.252055:104071-105426|+ -            452 9804305              -            706   8.7e-10   34.9   0.9   1   2   1.5e-08   5.9e-06   22.3   0.1   316   452     2   138     1   141 0.83 NODE_1_length_304474_cov_63.252055_98 # 104071 # 105426 # 1 # ID=1_98;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_304474_cov_63.252055:104071-105426|+ -            452 9804305              -            706   8.7e-10   34.9   0.9   2   2   5.4e-07   0.00021   17.1   0.3    82   235    81   250    74   279 0.71 NODE_1_length_304474_cov_63.252055_98 # 104071 # 105426 # 1 # ID=1_98;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_4_length_185058_cov_63.073482:118777-121134|- -            786 9804305              -            706   4.7e-09   32.5   0.4   1   1     2e-11   7.9e-09   31.8   0.4   615   690   631   715   605   730 0.73 NODE_4_length_185058_cov_63.073482_114 # 118777 # 121134 # -1 # ID=4_114;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_2_length_252901_cov_71.242866:74172-75347|+   -            392 9804305              -            706     0.023   10.4   8.6   1   3     0.046        18    0.8   2.2   194   325    16   157     7   171 0.61 NODE_2_length_252901_cov_71.242866_78 # 74172 # 75347 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_252901_cov_71.242866:74172-75347|+   -            392 9804305              -            706     0.023   10.4   8.6   2   3    0.0099       3.9    3.0   0.1   562   600   243   284   215   296 0.72 NODE_2_length_252901_cov_71.242866_78 # 74172 # 75347 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_252901_cov_71.242866:74172-75347|+   -            392 9804305              -            706     0.023   10.4   8.6   3   3   0.00014     0.054    9.2   0.0   550   613   298   360   288   379 0.79 NODE_2_length_252901_cov_71.242866_78 # 74172 # 75347 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9804305at2.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/auto_lineage/run_bacteria_odb12/hmmer_output/9804305at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9804305at2.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:43:20 2026
# [ok]
