#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_252901_cov_71.242866:39618-40580|+    -            321 19602                -            320  5.1e-198  654.1   7.0   1   1  1.3e-200  5.7e-198  653.9   7.0     1   319     1   319     1   320 1.00 NODE_2_length_252901_cov_71.242866_47 # 39618 # 40580 # 1 # ID=2_47;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
NODE_4_length_185058_cov_63.073482:107161-108045|-  -            295 19602                -            320   5.5e-29   98.7   1.7   1   2     6e-19   2.7e-16   57.0   0.5    36   169    23   159     7   175 0.87 NODE_4_length_185058_cov_63.073482_99 # 107161 # 108045 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_4_length_185058_cov_63.073482:107161-108045|-  -            295 19602                -            320   5.5e-29   98.7   1.7   2   2   4.1e-14   1.9e-11   41.1   0.0   217   314   186   284   170   290 0.87 NODE_4_length_185058_cov_63.073482_99 # 107161 # 108045 # -1 # ID=4_99;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_3_length_193524_cov_75.578528:185293-186150|-  -            286 19602                -            320     6e-23   78.9   0.2   1   2   7.4e-19   3.3e-16   56.7   0.5     7   189     4   179     2   189 0.79 NODE_3_length_193524_cov_75.578528_195 # 185293 # 186150 # -1 # ID=3_195;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_3_length_193524_cov_75.578528:185293-186150|-  -            286 19602                -            320     6e-23   78.9   0.2   2   2   1.5e-07   6.9e-05   19.5   0.0   244   317   205   280   195   283 0.77 NODE_3_length_193524_cov_75.578528_195 # 185293 # 186150 # -1 # ID=3_195;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_7_length_127392_cov_103.596228:73812-74684|-   -            291 19602                -            320   5.1e-22   75.8   0.3   1   2   3.5e-20   1.6e-17   61.1   0.3    35   197    23   191     5   203 0.83 NODE_7_length_127392_cov_103.596228_81 # 73812 # 74684 # -1 # ID=7_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_7_length_127392_cov_103.596228:73812-74684|-   -            291 19602                -            320   5.1e-22   75.8   0.3   2   2   1.3e-05     0.006   13.1   0.0   244   318   209   285   193   287 0.80 NODE_7_length_127392_cov_103.596228_81 # 73812 # 74684 # -1 # ID=7_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_29_length_29482_cov_87.199667:18451-19329|+    -            293 19602                -            320   4.6e-21   72.7   0.1   1   2   7.3e-17   3.3e-14   50.1   0.1    39   189    27   183    16   194 0.83 NODE_29_length_29482_cov_87.199667_19 # 18451 # 19329 # 1 # ID=29_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_29_length_29482_cov_87.199667:18451-19329|+    -            293 19602                -            320   4.6e-21   72.7   0.1   2   2   7.5e-08   3.4e-05   20.5   0.0   244   318   209   285   198   287 0.86 NODE_29_length_29482_cov_87.199667_19 # 18451 # 19329 # 1 # ID=29_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_13_length_76137_cov_124.122359:45076-45945|+   -            290 19602                -            320     8e-20   68.6   0.4   1   2   4.7e-17   2.1e-14   50.8   0.5    51   191    38   184     5   193 0.85 NODE_13_length_76137_cov_124.122359_47 # 45076 # 45945 # 1 # ID=13_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_13_length_76137_cov_124.122359:45076-45945|+   -            290 19602                -            320     8e-20   68.6   0.4   2   2   2.1e-06   0.00093   15.8   0.0   246   318   210   284   205   286 0.81 NODE_13_length_76137_cov_124.122359_47 # 45076 # 45945 # 1 # ID=13_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
