#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:144750-145259|+    -            170 22970                -            165     7e-64  212.3   0.5   1   1   2.5e-66   7.8e-64  212.1   0.5     1   165     1   166     1   166 0.98 NODE_2_length_840748_cov_42.698360_130 # 144750 # 145259 # 1 # ID=2_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_2_length_840748_cov_42.698360:612867-613547|-    -            227 22970                -            165   2.4e-05   21.9   0.6   1   2   0.00022     0.066   10.7   0.0     8    37    10    39     3    58 0.78 NODE_2_length_840748_cov_42.698360_590 # 612867 # 613547 # -1 # ID=2_590;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_2_length_840748_cov_42.698360:612867-613547|-    -            227 22970                -            165   2.4e-05   21.9   0.6   2   2   0.00048      0.15    9.6   0.2    68   161   112   214   102   218 0.74 NODE_2_length_840748_cov_42.698360_590 # 612867 # 613547 # -1 # ID=2_590;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_1_length_1652082_cov_46.167482:1008766-1009473|- -            236 22970                -            165   0.00029   18.4   0.6   1   2   0.00012     0.036   11.6   0.0     4    28     2    26     1    36 0.91 NODE_1_length_1652082_cov_46.167482_993 # 1008766 # 1009473 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:1008766-1009473|- -            236 22970                -            165   0.00029   18.4   0.6   2   2     0.013       3.9    4.9   0.2    93   142   124   170   112   207 0.67 NODE_1_length_1652082_cov_46.167482_993 # 1008766 # 1009473 # -1 # ID=1_993;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_1_length_1652082_cov_46.167482:180519-181058|-   -            180 22970                -            165    0.0015   16.1   0.5   1   2   1.6e-05     0.005   14.4   0.0     3    45     2    43     1    57 0.79 NODE_1_length_1652082_cov_46.167482_194 # 180519 # 181058 # -1 # ID=1_194;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.369
NODE_1_length_1652082_cov_46.167482:180519-181058|-   -            180 22970                -            165    0.0015   16.1   0.5   2   2      0.77   2.4e+02   -0.9   0.1    92   128    79   113    69   148 0.57 NODE_1_length_1652082_cov_46.167482_194 # 180519 # 181058 # -1 # ID=1_194;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.369
NODE_2_length_840748_cov_42.698360:110672-111922|+    -            417 22970                -            165    0.0026   15.3   0.0   1   2       5.2   1.6e+03   -3.5   0.0   113   132     8    27     6    28 0.83 NODE_2_length_840748_cov_42.698360_103 # 110672 # 111922 # 1 # ID=2_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_840748_cov_42.698360:110672-111922|+    -            417 22970                -            165    0.0026   15.3   0.0   2   2   3.1e-05    0.0097   13.4   0.0     3    35   113   145   111   157 0.86 NODE_2_length_840748_cov_42.698360_103 # 110672 # 111922 # 1 # ID=2_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_1_length_1652082_cov_46.167482:1175834-1176487|- -            218 22970                -            165    0.0027   15.2   0.1   1   2   0.00049      0.15    9.5   0.0     4    29     2    27     1    45 0.88 NODE_1_length_1652082_cov_46.167482_1153 # 1175834 # 1176487 # -1 # ID=1_1153;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:1175834-1176487|- -            218 22970                -            165    0.0027   15.2   0.1   2   2     0.037        11    3.4   0.1    95   150   126   185   119   203 0.76 NODE_1_length_1652082_cov_46.167482_1153 # 1175834 # 1176487 # -1 # ID=1_1153;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
