#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:246857-247285|- -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.9e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 NODE_1_length_1652082_cov_46.167482_254 # 246857 # 247285 # -1 # ID=1_254;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_2_length_840748_cov_42.698360:403493-403939|-  -            149 19279                -            138   4.5e-27   92.2   1.5   1   1   2.3e-29     5e-27   92.0   1.5     2   138     2   140     1   140 0.93 NODE_2_length_840748_cov_42.698360_387 # 403493 # 403939 # -1 # ID=2_387;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_2_length_840748_cov_42.698360:625859-626326|-  -            156 19279                -            138   3.5e-18   63.4   3.3   1   1   1.9e-20   4.2e-18   63.2   3.3     4   137     5   145     2   146 0.85 NODE_2_length_840748_cov_42.698360_605 # 625859 # 626326 # -1 # ID=2_605;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_4_length_212759_cov_102.864112:179203-179487|+ -             95 19279                -            138     0.017   12.5   0.2   1   1     8e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 NODE_4_length_212759_cov_102.864112_170 # 179203 # 179487 # 1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
NODE_4_length_212759_cov_102.864112:46412-47092|-   -            227 19279                -            138     0.028   11.9   1.8   1   2    0.0006      0.13    9.7   0.3    36    69    23    57     4    92 0.85 NODE_4_length_212759_cov_102.864112_46 # 46412 # 47092 # -1 # ID=4_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
NODE_4_length_212759_cov_102.864112:46412-47092|-   -            227 19279                -            138     0.028   11.9   1.8   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_4_length_212759_cov_102.864112_46 # 46412 # 47092 # -1 # ID=4_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
NODE_4_length_212759_cov_102.864112:26559-27239|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_4_length_212759_cov_102.864112_25 # 26559 # 27239 # 1 # ID=4_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_4_length_212759_cov_102.864112:26559-27239|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_4_length_212759_cov_102.864112_25 # 26559 # 27239 # 1 # ID=4_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_4_length_212759_cov_102.864112:53450-54130|-   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_4_length_212759_cov_102.864112_54 # 53450 # 54130 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_4_length_212759_cov_102.864112:53450-54130|-   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_4_length_212759_cov_102.864112_54 # 53450 # 54130 # -1 # ID=4_54;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_5_length_73637_cov_93.923133:5392-6072|-       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_5_length_73637_cov_93.923133_8 # 5392 # 6072 # -1 # ID=5_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_5_length_73637_cov_93.923133:5392-6072|-       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_5_length_73637_cov_93.923133_8 # 5392 # 6072 # -1 # ID=5_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:17387-18067|+    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_22 # 17387 # 18067 # 1 # ID=7_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
