#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:580686-582323|-   -            546 1507                 -            615         0 1028.2  18.0   1   1         0         0 1027.9  18.0    85   614    14   543     4   544 0.99 NODE_1_length_1652082_cov_46.167482_568 # 580686 # 582323 # -1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:433668-435428|-   -            587 1507                 -            615  6.7e-214  709.2  12.1   1   1  1.9e-215  7.5e-214  709.0  12.1    27   614     2   585     1   586 0.99 NODE_1_length_1652082_cov_46.167482_437 # 433668 # 435428 # -1 # ID=1_437;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_3_length_245057_cov_46.274867:222269-224053|+    -            595 1507                 -            615    3e-191  634.4  16.9   1   1  8.5e-193  3.3e-191  634.2  16.9    35   611    14   592     1   594 0.95 NODE_3_length_245057_cov_46.274867_222 # 222269 # 224053 # 1 # ID=3_222;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_3_length_245057_cov_46.274867:233947-235716|-    -            590 1507                 -            615  5.8e-174  577.3  16.2   1   1  1.6e-175  6.4e-174  577.1  16.2    30   610     5   586     1   589 0.96 NODE_3_length_245057_cov_46.274867_229 # 233947 # 235716 # -1 # ID=3_229;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.385
NODE_1_length_1652082_cov_46.167482:512899-514662|+   -            588 1507                 -            615  6.4e-170  563.9   6.8   1   1  1.9e-171  7.3e-170  563.8   6.8    30   612     8   586     1   587 0.95 NODE_1_length_1652082_cov_46.167482_504 # 512899 # 514662 # 1 # ID=1_504;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_1_length_1652082_cov_46.167482:258874-260658|-   -            595 1507                 -            615  2.5e-131  436.5  11.2   1   1  9.5e-133  3.7e-131  435.9  11.2    26   609    15   590     3   593 0.94 NODE_1_length_1652082_cov_46.167482_264 # 258874 # 260658 # -1 # ID=1_264;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_1_length_1652082_cov_46.167482:260658-262409|-   -            584 1507                 -            615  1.5e-115  384.3   4.1   1   1  4.8e-117  1.9e-115  384.0   4.1    46   612    19   575     2   578 0.91 NODE_1_length_1652082_cov_46.167482_265 # 260658 # 262409 # -1 # ID=1_265;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_1652082_cov_46.167482:511181-512896|+   -            572 1507                 -            615  4.4e-114  379.5  13.5   1   1  1.2e-115  4.8e-114  379.4  13.5    36   611     4   570     1   571 0.94 NODE_1_length_1652082_cov_46.167482_503 # 511181 # 512896 # 1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_1_length_1652082_cov_46.167482:435425-437155|-   -            577 1507                 -            615  1.2e-113  378.1   6.2   1   1  3.5e-115  1.3e-113  377.9   6.2    39   613     7   573     1   575 0.93 NODE_1_length_1652082_cov_46.167482_438 # 435425 # 437155 # -1 # ID=1_438;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
NODE_1_length_1652082_cov_46.167482:582574-584301|-   -            576 1507                 -            615  1.1e-111  371.6  18.8   1   1  3.2e-113  1.3e-111  371.4  18.8    53   613    12   572     2   574 0.94 NODE_1_length_1652082_cov_46.167482_570 # 582574 # 584301 # -1 # ID=1_570;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_245057_cov_46.274867:235719-237431|-    -            571 1507                 -            615   1.5e-99  331.6  15.9   1   1  4.3e-101   1.7e-99  331.4  15.9    35   609     3   565     1   570 0.90 NODE_3_length_245057_cov_46.274867_230 # 235719 # 237431 # -1 # ID=3_230;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.400
