#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1416021-1417121|+ -            367 19956                -            366    1e-245  811.6   6.7   1   1  2.5e-248  1.1e-245  811.4   6.7     1   366     1   366     1   366 1.00 NODE_1_length_1652082_cov_46.167482_1392 # 1416021 # 1417121 # 1 # ID=1_1392;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_2_length_840748_cov_42.698360:417368-418681|-    -            438 19956                -            366   9.2e-18   61.5   0.1   1   2   5.1e-17   2.2e-14   50.4   0.0     5   138   163   273   159   290 0.87 NODE_2_length_840748_cov_42.698360_401 # 417368 # 418681 # -1 # ID=2_401;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_2_length_840748_cov_42.698360:417368-418681|-    -            438 19956                -            366   9.2e-18   61.5   0.1   2   2    0.0085       3.7    3.6   0.0   254   302   312   360   294   384 0.78 NODE_2_length_840748_cov_42.698360_401 # 417368 # 418681 # -1 # ID=2_401;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 19956                -            366   5.2e-05   19.6   4.2   1   5   2.4e-05     0.011   12.0   0.0     4    23     5    24     1    34 0.89 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 19956                -            366   5.2e-05   19.6   4.2   2   5       0.4   1.8e+02   -1.9   0.0   219   252    66   101    59   115 0.75 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 19956                -            366   5.2e-05   19.6   4.2   3   5    0.0016      0.71    6.0   0.0     6    22   178   194   174   200 0.88 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 19956                -            366   5.2e-05   19.6   4.2   4   5      0.25   1.1e+02   -1.2   0.0   222   252   246   276   235   285 0.79 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:610011-611321|-    -            437 19956                -            366   5.2e-05   19.6   4.2   5   5      0.17        76   -0.7   0.1   167   167   295   295   246   364 0.53 NODE_2_length_840748_cov_42.698360_588 # 610011 # 611321 # -1 # ID=2_588;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_1652082_cov_46.167482:428354-429583|-   -            410 19956                -            366    0.0012   15.1   0.0   1   1   4.8e-06    0.0021   14.3   0.0     5    39   196   230   193   257 0.93 NODE_1_length_1652082_cov_46.167482_430 # 428354 # 429583 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_2_length_840748_cov_42.698360:589413-590273|-    -            287 19956                -            366    0.0076   12.5   0.0   1   1   2.8e-05     0.012   11.8   0.0     2    34   120   153   119   159 0.80 NODE_2_length_840748_cov_42.698360_565 # 589413 # 590273 # -1 # ID=2_565;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_2_length_840748_cov_42.698360:755622-756731|-    -            370 19956                -            366      0.01   12.1   0.0   1   1   3.9e-05     0.017   11.3   0.0     7    29   169   191   165   211 0.81 NODE_2_length_840748_cov_42.698360_713 # 755622 # 756731 # -1 # ID=2_713;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_3_length_245057_cov_46.274867:50492-52624|-      -            711 19956                -            366     0.038   10.2   0.0   1   1   0.00013     0.055    9.6   0.0     6    44     4    42     1    59 0.83 NODE_3_length_245057_cov_46.274867_79 # 50492 # 52624 # -1 # ID=3_79;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19956at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19956at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:18 2026
# [ok]
