#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1206647-1207318|+ -            224 18742                -            218  3.3e-133  439.5  18.7   1   1  1.1e-135  3.8e-133  439.3  18.7     1   218     4   221     4   221 0.99 NODE_1_length_1652082_cov_46.167482_1182 # 1206647 # 1207318 # 1 # ID=1_1182;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.433
NODE_1_length_1652082_cov_46.167482:1205095-1205736|+ -            214 18742                -            218   5.9e-57  190.2   9.6   1   1     2e-59   6.7e-57  190.0   9.6    12   215     3   205     1   208 0.97 NODE_1_length_1652082_cov_46.167482_1180 # 1205095 # 1205736 # 1 # ID=1_1180;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.427
NODE_2_length_840748_cov_42.698360:559436-560974|-    -            513 18742                -            218   2.3e-43  145.7  11.9   1   1   9.8e-46   3.4e-43  145.2  11.9     8   204     2   197     1   207 0.95 NODE_2_length_840748_cov_42.698360_539 # 559436 # 560974 # -1 # ID=2_539;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.392
NODE_3_length_245057_cov_46.274867:46518-48245|-      -            576 18742                -            218   5.9e-21   72.5   8.4   1   2   1.7e-23   5.9e-21   72.5   8.4    24   203    93   271    76   283 0.84 NODE_3_length_245057_cov_46.274867_75 # 46518 # 48245 # -1 # ID=3_75;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_3_length_245057_cov_46.274867:46518-48245|-      -            576 18742                -            218   5.9e-21   72.5   8.4   2   2       3.3   1.1e+03   -3.6   0.5   151   167   303   319   298   326 0.69 NODE_3_length_245057_cov_46.274867_75 # 46518 # 48245 # -1 # ID=3_75;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:895807-896493|-   -            229 18742                -            218   1.6e-07   28.6  12.6   1   1   6.3e-10   2.2e-07   28.1  12.6     9   197     8   210     2   227 0.73 NODE_1_length_1652082_cov_46.167482_891 # 895807 # 896493 # -1 # ID=1_891;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:832613-833293|-   -            227 18742                -            218     2e-07   28.3  14.2   1   1   7.3e-10   2.5e-07   27.9  14.2    20   204    26   216     2   225 0.66 NODE_1_length_1652082_cov_46.167482_833 # 832613 # 833293 # -1 # ID=1_833;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:779074-779901|-   -            276 18742                -            218   3.4e-07   27.5  13.3   1   1   3.2e-09   1.1e-06   25.8  13.2    24   176    59   218    34   249 0.83 NODE_1_length_1652082_cov_46.167482_781 # 779074 # 779901 # -1 # ID=1_781;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_2_length_840748_cov_42.698360:556180-556923|-    -            248 18742                -            218   4.1e-06   24.0   7.8   1   1   1.7e-08   5.7e-06   23.5   7.8    20   183    48   212    37   239 0.85 NODE_2_length_840748_cov_42.698360_535 # 556180 # 556923 # -1 # ID=2_535;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1247404-1248996|+ -            531 18742                -            218   0.00031   17.8  13.0   1   1   2.2e-06   0.00074   16.6  13.0     9   213   289   512   283   517 0.66 NODE_1_length_1652082_cov_46.167482_1221 # 1247404 # 1248996 # 1 # ID=1_1221;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.426
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18742at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18742at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18742at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:12 2026
# [ok]
