#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:832557-833969|+   -            471 27917                -            458  8.9e-212  701.4   3.4   1   1  1.9e-214    1e-211  701.2   3.4     1   457    21   468    21   469 0.99 tig00000001_782 # 832557 # 833969 # 1 # ID=1_782;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:1369299-1370660|+ -            454 27917                -            458   6.3e-28   95.4   1.6   1   1   1.8e-30   9.6e-28   94.8   1.6   105   377   113   371   103   429 0.82 tig00000001_1293 # 1369299 # 1370660 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001:353381-354886|+   -            502 27917                -            458   5.9e-18   62.5   0.2   1   2   2.5e-13   1.3e-10   38.3   0.2    22   129    33   138    18   145 0.84 tig00000001_350 # 353381 # 354886 # 1 # ID=1_350;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:353381-354886|+   -            502 27917                -            458   5.9e-18   62.5   0.2   2   2     3e-08   1.6e-05   21.5   0.0   228   441   255   471   241   481 0.72 tig00000001_350 # 353381 # 354886 # 1 # ID=1_350;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:1488474-1489826|- -            451 27917                -            458   1.6e-12   44.6   0.7   1   2   1.3e-06   0.00068   16.1   0.1   105   197    50   143    43   230 0.67 tig00000001_1428 # 1488474 # 1489826 # -1 # ID=1_1428;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:1488474-1489826|- -            451 27917                -            458   1.6e-12   44.6   0.7   2   2   6.4e-10   3.4e-07   27.0   0.0   255   319   246   307   237   353 0.79 tig00000001_1428 # 1488474 # 1489826 # -1 # ID=1_1428;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:2226635-2227969|+ -            445 27917                -            458   6.1e-11   39.3   0.3   1   3      0.14        74   -0.5   0.0    21    63    47    89    36    96 0.87 tig00000001_2152 # 2226635 # 2227969 # 1 # ID=1_2152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001:2226635-2227969|+ -            445 27917                -            458   6.1e-11   39.3   0.3   2   3   0.00072      0.38    7.1   0.0   105   127   106   128    99   135 0.89 tig00000001_2152 # 2226635 # 2227969 # 1 # ID=1_2152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001:2226635-2227969|+ -            445 27917                -            458   6.1e-11   39.3   0.3   3   3   1.9e-10     1e-07   28.8   0.0   179   347   166   330   161   371 0.82 tig00000001_2152 # 2226635 # 2227969 # 1 # ID=1_2152;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383
tig00000001:1611919-1613232|+ -            438 27917                -            458   7.4e-06   22.6   0.9   1   2      0.11        56   -0.1   0.0   104   128    39    63    23    70 0.81 tig00000001_1541 # 1611919 # 1613232 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001:1611919-1613232|+ -            438 27917                -            458   7.4e-06   22.6   0.9   2   2   6.6e-08   3.5e-05   20.4   0.2   156   294   137   273   127   298 0.80 tig00000001_1541 # 1611919 # 1613232 # 1 # ID=1_1541;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/27917at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:40 2026
# [ok]
