#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:696060-697622|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:2561231-2562757|- -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.7e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 tig00000001_2483 # 2561231 # 2562757 # -1 # ID=1_2483;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:2494287-2495024|- -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.4e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 tig00000001_2421 # 2494287 # 2495024 # -1 # ID=1_2421;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2136336-2137073|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   7.1e-40   2.8e-38  129.1   1.4     9   221     7   218     2   228 0.92 tig00000001_2072 # 2136336 # 2137073 # -1 # ID=1_2072;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001:1157149-1158192|+ -            348 18543                -            519   7.6e-38  127.6   1.3   1   1   3.5e-39   1.4e-37  126.8   1.3     6   232     6   236     2   258 0.87 tig00000001_1088 # 1157149 # 1158192 # 1 # ID=1_1088;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
tig00000001:804939-805679|-   -            247 18543                -            519   2.4e-35  119.4   1.6   1   1   7.2e-37   2.8e-35  119.2   1.6     4   218     3   216     1   227 0.91 tig00000001_753 # 804939 # 805679 # -1 # ID=1_753;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001:1220309-1221382|+ -            358 18543                -            519   2.3e-33  112.9   1.8   1   1   7.6e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 tig00000001_1146 # 1220309 # 1221382 # 1 # ID=1_1146;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
tig00000001:849593-850768|-   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1     6e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 tig00000001_798 # 849593 # 850768 # -1 # ID=1_798;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
tig00000001:1644694-1645437|+ -            248 18543                -            519   7.4e-32  107.9   0.0   1   1   2.3e-33   8.9e-32  107.6   0.0     7   226     2   216     1   230 0.93 tig00000001_1572 # 1644694 # 1645437 # 1 # ID=1_1572;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
tig00000001:2619113-2619805|- -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.2e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 tig00000001_2541 # 2619113 # 2619805 # -1 # ID=1_2541;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001:1021935-1022687|+ -            251 18543                -            519   5.3e-31  105.0   0.3   1   1   1.5e-32   5.9e-31  104.9   0.3     4   201     2   205     1   236 0.87 tig00000001_967 # 1021935 # 1022687 # 1 # ID=1_967;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
