#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1807375-1807803|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   8.5e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 tig00000001_1733 # 1807375 # 1807803 # 1 # ID=1_1733;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000001:2463860-2464306|- -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   4.9e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 tig00000001_2390 # 2463860 # 2464306 # -1 # ID=1_2390;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
tig00000001:2686224-2686691|- -            156 29046                -            140   1.9e-23   80.6   3.6   1   1   8.7e-26   2.3e-23   80.3   3.6     4   139     6   146     3   147 0.89 tig00000001_2608 # 2686224 # 2686691 # -1 # ID=1_2608;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
tig00000001:178391-179530|+   -            380 29046                -            140     0.049   11.2   7.0   1   2   8.7e-05     0.023   12.2   2.9     3    80    49   126    47   138 0.90 tig00000001_196 # 178391 # 179530 # 1 # ID=1_196;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
tig00000001:178391-179530|+   -            380 29046                -            140     0.049   11.2   7.0   2   2      0.59   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 tig00000001_196 # 178391 # 179530 # 1 # ID=1_196;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
tig00000002:191624-192304|+   -            227 29046                -            140     0.055   11.0   2.3   1   2    0.0015      0.39    8.3   0.2    36    68    24    57     4    92 0.86 tig00000002_186 # 191624 # 192304 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000002:191624-192304|+   -            227 29046                -            140     0.055   11.0   2.3   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000002_186 # 191624 # 192304 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:2137-2817|+       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:2137-2817|+       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:21866-22546|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:21866-22546|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:24611-25291|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:24611-25291|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:29596-30276|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:29596-30276|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005:34561-35241|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:34561-35241|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:7850-8530|-       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0018      0.47    8.0   0.3    36    68    24    57     4    77 0.84 tig00000005_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:7850-8530|-       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005:13283-13963|-     -            227 29046                -            140      0.17    9.4   4.5   1   2    0.0019      0.49    7.9   0.8    36    68    24    57     4    89 0.84 tig00000005_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005:13283-13963|-     -            227 29046                -            140      0.17    9.4   4.5   2   2     0.075        20    2.7   0.1     4    35   137   170   134   205 0.72 tig00000005_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:48 2026
# [ok]
