#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1751112-1751819|+ -            236 17381                -            235  9.2e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 tig00000001_1684 # 1751112 # 1751819 # 1 # ID=1_1684;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
tig00000002:96492-97226|-     -            245 17381                -            235   6.9e-36  121.4   0.3   1   1   3.3e-38   7.9e-36  121.2   0.3     5   231     8   235     4   239 0.94 tig00000002_98 # 96492 # 97226 # -1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001:2725012-2725731|+ -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 tig00000001_2639 # 2725012 # 2725731 # 1 # ID=1_2639;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000002:196788-197966|+   -            393 17381                -            235   6.5e-27   92.1   0.0   1   3   1.1e-13   2.6e-11   41.0   0.1    86   220     2   136     1   144 0.94 tig00000002_193 # 196788 # 197966 # 1 # ID=2_193;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
tig00000002:196788-197966|+   -            393 17381                -            235   6.5e-27   92.1   0.0   2   3   9.4e-16   2.3e-13   47.7   0.0    12    78   173   239   165   289 0.89 tig00000002_193 # 196788 # 197966 # 1 # ID=2_193;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
tig00000002:196788-197966|+   -            393 17381                -            235   6.5e-27   92.1   0.0   3   3       0.7   1.7e+02   -0.9   0.0   177   206   327   356   302   360 0.84 tig00000002_193 # 196788 # 197966 # 1 # ID=2_193;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.394
tig00000001:1202852-1203553|+ -            234 17381                -            235     4e-26   89.5   0.8   1   1     2e-28   4.7e-26   89.2   0.8     2   226     2   222     1   230 0.88 tig00000001_1129 # 1202852 # 1203553 # 1 # ID=1_1129;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:794871-795584|+   -            238 17381                -            235   4.4e-18   63.2   0.3   1   1   2.3e-20   5.7e-18   62.8   0.3    12   232     8   229     3   231 0.90 tig00000001_742 # 794871 # 795584 # 1 # ID=1_742;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:1454486-1455565|+ -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 tig00000001_1397 # 1454486 # 1455565 # 1 # ID=1_1397;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000001:2557102-2558526|- -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.8e-12   44.2   0.0     3    72     8    77     6    83 0.95 tig00000001_2480 # 2557102 # 2558526 # -1 # ID=1_2480;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001:197767-198411|-   -            215 17381                -            235   5.7e-12   43.1   0.2   1   1   3.1e-14   7.6e-12   42.7   0.2     6    74    10    78     5   132 0.90 tig00000001_216 # 197767 # 198411 # -1 # ID=1_216;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001:338452-339498|+   -            349 17381                -            235   2.6e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 tig00000001_339 # 338452 # 339498 # 1 # ID=1_339;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001:1708275-1709669|- -            465 17381                -            235     9e-08   29.4   0.0   1   1   8.4e-10     2e-07   28.3   0.0     4    99    21   116    18   135 0.87 tig00000001_1637 # 1708275 # 1709669 # -1 # ID=1_1637;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
tig00000002:196552-196833|+   -             94 17381                -            235     4e-06   24.0   0.1   1   1   1.9e-08   4.5e-06   23.8   0.1    13    60     8    55     4    70 0.89 tig00000002_192 # 196552 # 196833 # 1 # ID=2_192;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.316
tig00000001:886743-887429|-   -            229 17381                -            235    0.0025   14.9   0.5   1   1   1.5e-05    0.0037   14.3   0.5    10   132     9   125     5   147 0.83 tig00000001_833 # 886743 # 887429 # -1 # ID=1_833;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/17381at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:02 2026
# [ok]
