#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:60517-62022|-   -            502 21416                -            489  6.1e-246  814.2  11.4   1   1  2.8e-248  7.2e-246  813.9  11.4     3   488     5   498     3   499 0.97 NODE_6_length_183174_cov_88.861183_56 # 60517 # 62022 # -1 # ID=6_56;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_4_length_193524_cov_77.069373:152078-153913|+ -            612 21416                -            489   1.4e-59  199.5  12.2   1   2   5.5e-12   1.4e-09   34.6   3.2    25   259    13   251     2   260 0.66 NODE_4_length_193524_cov_77.069373_133 # 152078 # 153913 # 1 # ID=4_133;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_4_length_193524_cov_77.069373:152078-153913|+ -            612 21416                -            489   1.4e-59  199.5  12.2   2   2   4.2e-53   1.1e-50  170.2   1.7   243   485   358   602   292   606 0.86 NODE_4_length_193524_cov_77.069373_133 # 152078 # 153913 # 1 # ID=4_133;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_2_length_304403_cov_65.784473:219910-221250|+ -            447 21416                -            489   8.1e-52  173.9   9.6   1   2   1.8e-05    0.0047   13.1   1.8   127   214   123   214    12   217 0.69 NODE_2_length_304403_cov_65.784473_207 # 219910 # 221250 # 1 # ID=2_207;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_2_length_304403_cov_65.784473:219910-221250|+ -            447 21416                -            489   8.1e-52  173.9   9.6   2   2     1e-51   2.6e-49  165.6   1.2   263   486   220   443   216   446 0.93 NODE_2_length_304403_cov_65.784473_207 # 219910 # 221250 # 1 # ID=2_207;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_385945_cov_86.278628:2740-4476|-     -            579 21416                -            489   2.7e-49  165.6  14.6   1   2     0.002       0.5    6.4   6.7    95   261    66   241    28   263 0.55 NODE_1_length_385945_cov_86.278628_2 # 2740 # 4476 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_1_length_385945_cov_86.278628:2740-4476|-     -            579 21416                -            489   2.7e-49  165.6  14.6   2   2     1e-50   2.6e-48  162.3   0.9   254   485   350   577   342   578 0.93 NODE_1_length_385945_cov_86.278628_2 # 2740 # 4476 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_12_length_96937_cov_75.325559:84455-85498|-   -            348 21416                -            489   3.8e-41  138.7   7.2   1   1   1.5e-43   3.8e-41  138.7   7.2   184   483    50   344    36   346 0.92 NODE_12_length_96937_cov_75.325559_78 # 84455 # 85498 # -1 # ID=12_78;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_385945_cov_86.278628:95358-96806|+   -            483 21416                -            489   1.7e-40  136.6  12.9   1   1   1.3e-42   3.3e-40  135.6  12.9    78   487    53   478    20   480 0.74 NODE_1_length_385945_cov_86.278628_95 # 95358 # 96806 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_20_length_42062_cov_371.455566:37852-38994|+  -            381 21416                -            489   5.6e-29   98.6   4.1   1   1   2.2e-31   5.6e-29   98.6   4.1   178   486    66   371    49   373 0.81 NODE_20_length_42062_cov_371.455566_47 # 37852 # 38994 # 1 # ID=20_47;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:5429-6571|+    -            381 21416                -            489   5.6e-29   98.6   4.1   1   1   2.2e-31   5.6e-29   98.6   4.1   178   486    66   371    49   373 0.81 NODE_20_length_42062_cov_371.455566_7 # 5429 # 6571 # 1 # ID=20_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_31_length_17573_cov_156.005131:1616-2824|-    -            403 21416                -            489   2.3e-27   93.3   1.7   1   1   1.2e-29   3.2e-27   92.8   1.7   257   488   157   388    83   389 0.80 NODE_31_length_17573_cov_156.005131_2 # 1616 # 2824 # -1 # ID=31_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_25_length_31036_cov_54.889785:10511-11536|-   -            342 21416                -            489   4.7e-20   69.1   1.4   1   2      0.86   2.2e+02   -2.3   0.1    15    36     7    28     4    34 0.72 NODE_25_length_31036_cov_54.889785_10 # 10511 # 11536 # -1 # ID=25_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_25_length_31036_cov_54.889785:10511-11536|-   -            342 21416                -            489   4.7e-20   69.1   1.4   2   2     1e-21   2.6e-19   66.7   0.4   184   486    40   334    21   336 0.84 NODE_25_length_31036_cov_54.889785_10 # 10511 # 11536 # -1 # ID=25_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_13_length_81038_cov_67.502957:43955-44851|-   -            299 21416                -            489     1e-16   58.1   5.1   1   1   4.7e-19   1.2e-16   57.9   5.1   194   483     5   293     1   297 0.80 NODE_13_length_81038_cov_67.502957_49 # 43955 # 44851 # -1 # ID=13_49;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
