#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:135276-135704|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   1.1e-75   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_5_length_185063_cov_65.589034_128 # 135276 # 135704 # 1 # ID=5_128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NODE_2_length_304403_cov_65.784473:130905-131351|+ -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   6.2e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 NODE_2_length_304403_cov_65.784473_124 # 130905 # 131351 # 1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NODE_9_length_122393_cov_64.141746:31068-31535|+   -            156 29046                -            140   1.9e-23   80.6   3.6   1   1   1.1e-25   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 NODE_9_length_122393_cov_64.141746_23 # 31068 # 31535 # 1 # ID=9_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NODE_4_length_193524_cov_77.069373:162166-163305|- -            380 29046                -            140     0.048   11.2   7.0   1   2   0.00011     0.022   12.2   2.9     3    80    49   126    47   138 0.90 NODE_4_length_193524_cov_77.069373_142 # 162166 # 163305 # -1 # ID=4_142;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_4_length_193524_cov_77.069373:162166-163305|- -            380 29046                -            140     0.048   11.2   7.0   2   2      0.74   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 NODE_4_length_193524_cov_77.069373_142 # 162166 # 163305 # -1 # ID=4_142;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NODE_20_length_42062_cov_371.455566:15095-15775|-  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_19 # 15095 # 15775 # -1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:15095-15775|-  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_19 # 15095 # 15775 # -1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:23678-24358|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_29 # 23678 # 24358 # 1 # ID=20_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:23678-24358|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_29 # 23678 # 24358 # 1 # ID=20_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:26423-27103|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_32 # 26423 # 27103 # 1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:26423-27103|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_32 # 26423 # 27103 # 1 # ID=20_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:31407-32087|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_39 # 31407 # 32087 # 1 # ID=20_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:31407-32087|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_39 # 31407 # 32087 # 1 # ID=20_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
