#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_16_length_62801_cov_61.371830:30713-32275|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NODE_16_length_62801_cov_61.371830_30 # 30713 # 32275 # 1 # ID=16_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_2_length_304403_cov_65.784473:32453-33979|+   -            509 18543                -            519  1.2e-112  374.4   9.1   1   1  3.6e-114  1.4e-112  374.2   9.1     5   500     4   503     1   507 0.95 NODE_2_length_304403_cov_65.784473_31 # 32453 # 33979 # 1 # ID=2_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_304403_cov_65.784473:100187-100924|+ -            246 18543                -            519   1.1e-40  137.0   1.6   1   1   3.3e-42   1.3e-40  136.7   1.6     6   222     3   218     1   229 0.93 NODE_2_length_304403_cov_65.784473_93 # 100187 # 100924 # 1 # ID=2_93;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_385945_cov_86.278628:231746-232483|- -            246 18543                -            519   2.2e-38  129.4   1.4   1   1   6.9e-40   2.7e-38  129.1   1.4     9   221     7   218     2   228 0.92 NODE_1_length_385945_cov_86.278628_245 # 231746 # 232483 # -1 # ID=1_245;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_17_length_58686_cov_60.941844:4557-5600|+     -            348 18543                -            519   7.5e-38  127.6   1.3   1   1   3.4e-39   1.3e-37  126.8   1.3     6   232     6   236     2   258 0.87 NODE_17_length_58686_cov_60.941844_6 # 4557 # 5600 # 1 # ID=17_6;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_11_length_113754_cov_100.754285:36744-37484|+ -            247 18543                -            519   2.3e-35  119.4   1.6   1   1   6.9e-37   2.7e-35  119.2   1.6     4   218     3   216     1   227 0.91 NODE_11_length_113754_cov_100.754285_35 # 36744 # 37484 # 1 # ID=11_35;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_32_length_14421_cov_57.543925:8652-9725|+     -            358 18543                -            519   2.2e-33  112.9   1.8   1   1   7.3e-35   2.9e-33  112.5   1.8     7   222     2   221     1   239 0.88 NODE_32_length_14421_cov_57.543925_7 # 8652 # 9725 # 1 # ID=32_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NODE_19_length_43876_cov_94.008302:35741-36916|+   -            392 18543                -            519   2.3e-32  109.5   3.3   1   1   5.7e-34   2.3e-32  109.5   3.3     7   223     2   217     1   275 0.90 NODE_19_length_43876_cov_94.008302_35 # 35741 # 36916 # 1 # ID=19_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_18_length_58283_cov_66.770060:20636-21379|-   -            248 18543                -            519   7.3e-32  107.9   0.0   1   1   2.2e-33   8.8e-32  107.6   0.0     7   226     2   216     1   230 0.93 NODE_18_length_58283_cov_66.770060_28 # 20636 # 21379 # -1 # ID=18_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_9_length_122393_cov_64.141746:97955-98647|+   -            231 18543                -            519   3.8e-31  105.5   0.2   1   1   1.1e-32   4.5e-31  105.3   0.2     6   225     4   222     1   229 0.90 NODE_9_length_122393_cov_64.141746_90 # 97955 # 98647 # 1 # ID=9_90;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_12_length_96937_cov_75.325559:77682-78434|-   -            251 18543                -            519   5.2e-31  105.0   0.3   1   1   1.5e-32   5.8e-31  104.9   0.3     4   201     2   205     1   236 0.87 NODE_12_length_96937_cov_75.325559_69 # 77682 # 78434 # -1 # ID=12_69;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_4_length_193524_cov_77.069373:144116-145309|+ -            398 18543                -            519   2.5e-30  102.8   0.5   1   2   6.3e-32   2.5e-30  102.8   0.5    11   223    32   245    21   282 0.85 NODE_4_length_193524_cov_77.069373_124 # 144116 # 145309 # 1 # ID=4_124;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_4_length_193524_cov_77.069373:144116-145309|+ -            398 18543                -            519   2.5e-30  102.8   0.5   2   2         7   2.8e+02   -2.9   0.1   446   485   335   378   296   383 0.70 NODE_4_length_193524_cov_77.069373_124 # 144116 # 145309 # 1 # ID=4_124;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_13_length_81038_cov_67.502957:46300-47217|-   -            306 18543                -            519   1.3e-29  100.4   2.2   1   1   7.8e-31   3.1e-29   99.2   2.2     4   230     6   221     3   283 0.86 NODE_13_length_81038_cov_67.502957_52 # 46300 # 47217 # -1 # ID=13_52;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_4_length_193524_cov_77.069373:114245-115177|+ -            311 18543                -            519   1.9e-29   99.9   0.5   1   1   6.2e-31   2.4e-29   99.5   0.5     6   223     2   214     1   229 0.93 NODE_4_length_193524_cov_77.069373_93 # 114245 # 115177 # 1 # ID=4_93;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_13_length_81038_cov_67.502957:40582-41517|-   -            312 18543                -            519   3.6e-29   99.0   0.1   1   1   1.1e-30   4.5e-29   98.7   0.1     6   231     4   225     1   235 0.90 NODE_13_length_81038_cov_67.502957_46 # 40582 # 41517 # -1 # ID=13_46;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_7_length_162800_cov_68.413407:15208-15975|+   -            256 18543                -            519     1e-28   97.5   0.5   1   1   2.9e-30   1.1e-28   97.3   0.5     5   216     3   218     1   240 0.84 NODE_7_length_162800_cov_68.413407_16 # 15208 # 15975 # 1 # ID=7_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_12_length_96937_cov_75.325559:66595-67296|-   -            234 18543                -            519   4.1e-28   95.5   0.2   1   1     2e-28   7.7e-27   91.3   0.2    17   219    18   215     2   226 0.83 NODE_12_length_96937_cov_75.325559_60 # 66595 # 67296 # -1 # ID=12_60;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_2_length_304403_cov_65.784473:217244-217930|- -            229 18543                -            519   3.1e-27   92.6   0.1   1   1   9.2e-29   3.7e-27   92.4   0.1     5   206     3   207     1   219 0.88 NODE_2_length_304403_cov_65.784473_204 # 217244 # 217930 # -1 # ID=2_204;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_24_length_31976_cov_58.492972:9469-10884|+    -            472 18543                -            519   9.1e-27   91.1   6.2   1   2   8.3e-15   3.3e-13   46.3   0.2    21   226    18   224     1   238 0.79 NODE_24_length_31976_cov_58.492972_12 # 9469 # 10884 # 1 # ID=24_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_24_length_31976_cov_58.492972:9469-10884|+    -            472 18543                -            519   9.1e-27   91.1   6.2   2   2   4.7e-15   1.9e-13   47.1   1.3    23   219   270   447   254   465 0.84 NODE_24_length_31976_cov_58.492972_12 # 9469 # 10884 # 1 # ID=24_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_3_length_223274_cov_181.317177:18018-19049|-  -            344 18543                -            519   2.8e-26   89.4   0.3   1   1   2.3e-27   9.2e-26   87.7   0.3    26   226    22   217     3   230 0.90 NODE_3_length_223274_cov_181.317177_13 # 18018 # 19049 # -1 # ID=3_13;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.433
