#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_385945_cov_86.278628:2740-4476|-      -            579 1614                 -            563  9.6e-216  715.1  16.0   1   1    6e-218  1.2e-215  714.9  16.0     9   562    10   577     2   578 0.94 NODE_1_length_385945_cov_86.278628_2 # 2740 # 4476 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_4_length_193524_cov_77.069373:152078-153913|+  -            612 1614                 -            563   1.7e-79  265.4  12.1   1   1   1.9e-81   3.7e-79  264.2  12.0   133   562   156   602     9   603 0.82 NODE_4_length_193524_cov_77.069373_133 # 152078 # 153913 # 1 # ID=4_133;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_6_length_183174_cov_88.861183:60517-62022|-    -            502 1614                 -            563   1.3e-53  179.9   9.4   1   3      0.14        27    0.6   0.0   158   201    28    73    17    99 0.60 NODE_6_length_183174_cov_88.861183_56 # 60517 # 62022 # -1 # ID=6_56;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_6_length_183174_cov_88.861183:60517-62022|-    -            502 1614                 -            563   1.3e-53  179.9   9.4   2   3   0.00043     0.083    8.9   0.1   116   239   152   276   123   277 0.74 NODE_6_length_183174_cov_88.861183_56 # 60517 # 62022 # -1 # ID=6_56;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_6_length_183174_cov_88.861183:60517-62022|-    -            502 1614                 -            563   1.3e-53  179.9   9.4   3   3   3.5e-54   6.7e-52  174.2   4.4   342   562   272   495   263   496 0.95 NODE_6_length_183174_cov_88.861183_56 # 60517 # 62022 # -1 # ID=6_56;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_1_length_385945_cov_86.278628:95358-96806|+    -            483 1614                 -            563   7.6e-48  160.8  16.6   1   2   1.5e-06   0.00028   17.0   4.0    38   244    49   260     3   262 0.72 NODE_1_length_385945_cov_86.278628_95 # 95358 # 96806 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_1_length_385945_cov_86.278628:95358-96806|+    -            483 1614                 -            563   7.6e-48  160.8  16.6   2   2   9.6e-48   1.9e-45  153.0   6.1   336   561   248   475   247   477 0.93 NODE_1_length_385945_cov_86.278628_95 # 95358 # 96806 # 1 # ID=1_95;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_12_length_96937_cov_75.325559:84455-85498|-    -            348 1614                 -            563     3e-46  155.6   9.3   1   1   2.2e-48   4.2e-46  155.1   9.3   336   562   121   346   102   347 0.92 NODE_12_length_96937_cov_75.325559_78 # 84455 # 85498 # -1 # ID=12_78;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_2_length_304403_cov_65.784473:219910-221250|+  -            447 1614                 -            563   3.9e-44  148.6  11.5   1   2   7.5e-05     0.014   11.4   0.9   125   184   154   213    98   218 0.87 NODE_2_length_304403_cov_65.784473_207 # 219910 # 221250 # 1 # ID=2_207;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_2_length_304403_cov_65.784473:219910-221250|+  -            447 1614                 -            563   3.9e-44  148.6  11.5   2   2   1.3e-44   2.5e-42  142.6   3.6   342   562   219   442   199   443 0.89 NODE_2_length_304403_cov_65.784473_207 # 219910 # 221250 # 1 # ID=2_207;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_31_length_17573_cov_156.005131:1616-2824|-     -            403 1614                 -            563   4.5e-41  138.5   1.8   1   2      0.32        61   -0.6   0.0   159   226    82   150    44   156 0.80 NODE_31_length_17573_cov_156.005131_2 # 1616 # 2824 # -1 # ID=31_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
