#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_385945_cov_86.278628:5770-6108|+      -            113 17357                -            112   8.5e-59  194.3  12.7   1   1   1.8e-61   9.4e-59  194.1  12.7     1   112     1   112     1   112 0.99 NODE_1_length_385945_cov_86.278628_5 # 5770 # 6108 # 1 # ID=1_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.333
NODE_3_length_223274_cov_181.317177:40187-41146|+   -            320 17357                -            112     0.013   13.2   0.2   1   1   5.1e-05     0.026   12.3   0.2    18    56     4    42     1    86 0.78 NODE_3_length_223274_cov_181.317177_38 # 40187 # 41146 # 1 # ID=3_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_3_length_223274_cov_181.317177:62145-63440|+   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_3_length_223274_cov_181.317177_61 # 62145 # 63440 # 1 # ID=3_61;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_3_length_223274_cov_181.317177:62145-63440|+   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_3_length_223274_cov_181.317177_61 # 62145 # 63440 # 1 # ID=3_61;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_4_length_193524_cov_77.069373:99620-100915|+   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_4_length_193524_cov_77.069373_78 # 99620 # 100915 # 1 # ID=4_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_4_length_193524_cov_77.069373:99620-100915|+   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_4_length_193524_cov_77.069373_78 # 99620 # 100915 # 1 # ID=4_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_6_length_183174_cov_88.861183:78804-80099|+    -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.35    8.7   0.0    32    70   123   161   108   184 0.82 NODE_6_length_183174_cov_88.861183_70 # 78804 # 80099 # 1 # ID=6_70;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_6_length_183174_cov_88.861183:78804-80099|+    -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.5   0.2    56    89   290   325   275   348 0.56 NODE_6_length_183174_cov_88.861183_70 # 78804 # 80099 # 1 # ID=6_70;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
NODE_3_length_223274_cov_181.317177:98042-99349|+   -            436 17357                -            112     0.016   13.0   0.8   1   2    0.0007      0.36    8.7   0.0    32    70   123   161   108   184 0.82 NODE_3_length_223274_cov_181.317177_97 # 98042 # 99349 # 1 # ID=3_97;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_3_length_223274_cov_181.317177:98042-99349|+   -            436 17357                -            112     0.016   13.0   0.8   2   2      0.12        62    1.4   0.2    56    89   290   325   275   348 0.56 NODE_3_length_223274_cov_181.317177_97 # 98042 # 99349 # 1 # ID=3_97;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/17357at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:17:08 2026
# [ok]
