#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:737847-738371|+   -            175 23784                -            172   4.3e-76  251.6   0.5   1   1   1.6e-78     5e-76  251.4   0.5     2   172     3   173     2   173 0.99 contig_2_pilon_689 # 737847 # 738371 # 1 # ID=5_689;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
contig_1_pilon:1199352-1199894|- -            181 23784                -            172   3.2e-10   37.2   0.0   1   2      0.64   1.9e+02   -1.2   0.0     7    26    32    51    28    55 0.85 contig_1_pilon_1136 # 1199352 # 1199894 # -1 # ID=1_1136;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.368
contig_1_pilon:1199352-1199894|- -            181 23784                -            172   3.2e-10   37.2   0.0   2   2     3e-12     9e-10   35.7   0.0    93   167   102   175    64   179 0.89 contig_1_pilon_1136 # 1199352 # 1199894 # -1 # ID=1_1136;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.368
contig_2_pilon:426052-426573|+   -            174 23784                -            172   1.2e-09   35.4   0.0   1   1   5.1e-12   1.5e-09   35.0   0.0     8   147     6   150     3   170 0.75 contig_2_pilon_403 # 426052 # 426573 # 1 # ID=5_403;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.351
contig_2_pilon:733299-733862|+   -            188 23784                -            172   1.4e-08   31.8   0.0   1   2     0.019       5.8    3.8   0.0     8    52     2    46     1    79 0.88 contig_2_pilon_683 # 733299 # 733862 # 1 # ID=5_683;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
contig_2_pilon:733299-733862|+   -            188 23784                -            172   1.4e-08   31.8   0.0   2   2   2.5e-09   7.6e-07   26.2   0.0    93   149   116   171   115   183 0.90 contig_2_pilon_683 # 733299 # 733862 # 1 # ID=5_683;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.385
contig_2_pilon:485925-486368|+   -            148 23784                -            172   1.5e-08   31.8   0.9   1   1   1.3e-10   3.9e-08   30.4   0.9    58   160    48   136    25   143 0.83 contig_2_pilon_455 # 485925 # 486368 # 1 # ID=5_455;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.351
contig_2_pilon:1232018-1232485|+ -            156 23784                -            172   4.8e-05   20.3   0.1   1   1   2.1e-07   6.3e-05   19.9   0.1    91   153    59   122    37   131 0.82 contig_2_pilon_1183 # 1232018 # 1232485 # 1 # ID=5_1183;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.380
contig_2_pilon:747247-747816|+   -            190 23784                -            172   0.00038   17.4   0.0   1   1   1.4e-06   0.00043   17.2   0.0    94   159   111   176    61   187 0.86 contig_2_pilon_696 # 747247 # 747816 # 1 # ID=5_696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
contig_1_pilon:443186-443620|-   -            145 23784                -            172    0.0012   15.8   0.0   1   1   6.3e-06    0.0019   15.1   0.0    94   146    76   124    73   131 0.82 contig_1_pilon_426 # 443186 # 443620 # -1 # ID=1_426;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_2_pilon:309989-310477|+   -            163 23784                -            172    0.0046   13.9   0.3   1   2       1.3   3.8e+02   -2.1   0.0    38    38    33    33     4    72 0.51 contig_2_pilon_287 # 309989 # 310477 # 1 # ID=5_287;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
